#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
O75159	P10721	1	KitReceptor	6	physical	SOCS5	KIT	O75159	P10721	1
Q07889	P29353	1	KitReceptor	6	physical	SOS1	SHC1	Q07889	P29353	1
Q7Z698	P10721	1	KitReceptor	6	physical	SPRED2	KIT	Q7Z698	P10721	1
P12931	P10721	1	KitReceptor	6	Phosphorylation	SRC	KIT	P12931	P10721	1
P12931	P10721	1	KitReceptor	6	physical	SRC	KIT	P12931	P10721	1
P12931	P27986	1	KitReceptor	6	physical	SRC	PIK3R1	P12931	P27986	1
P42224	P42229	1	KitReceptor	6	physical	STAT1	STAT5A	P42224	P42229	1
P42224	P51692	1	KitReceptor	6	physical	STAT1	STAT5B	P42224	P51692	1
P42229	P42224	1	KitReceptor	6	physical	STAT5A	STAT1	P42229	P42224	1
P51692	P10721	1	KitReceptor	6	physical	STAT5B	KIT	P51692	P10721	1
P51692	P42224	1	KitReceptor	6	physical	STAT5B	STAT1	P51692	P42224	1
P42680	P10721	1	KitReceptor	6	physical	TEC	KIT	P42680	P10721	1
P42680	P29353	1	KitReceptor	6	physical	TEC	SHC1	P42680	P29353	1
P15498	O15524	1	KitReceptor	6	physical	VAV1	SOCS1	P15498	O15524	1
P42768	P61160	1	KitReceptor	6	physical	WAS	ACTR2	P42768	P61160	1
O43516	P61160	1	KitReceptor	6	physical	WIPF1	ACTR2	O43516	P61160	1
