#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q8NET5	P43403	1	TCR	11	physical	NFAM1	ZAP70	Q8NET5	P43403	1
O95644	P18146	1	TCR	11	physical	NFATC1	EGR1	O95644	P18146	1
O95644	Q13469	1	TCR	11	physical	NFATC1	NFATC2	O95644	Q13469	1
O95644	Q04206	1	TCR	11	physical	NFATC1	RELA	O95644	Q04206	1
Q13469	O95644	1	TCR	11	physical	NFATC2	NFATC1	Q13469	O95644	1
Q13469	P16298	1	TCR	11	physical	NFATC2	PPP3CB	Q13469	P16298	1
P27986	P46108	1	TCR	11	physical	PIK3R1	CRK	P27986	P46108	1
P27986	P16410	1	TCR	11	physical	PIK3R1	CTLA4	P27986	P16410	1
P27986	P62993	1	TCR	11	physical	PIK3R1	GRB2	P27986	P62993	1
P27986	Q9Y6W8	1	TCR	11	physical	PIK3R1	ICOS	P27986	Q9Y6W8	1
P27986	O00459	1	TCR	11	physical	PIK3R1	PIK3R2	P27986	O00459	1
P27986	Q6PIZ9	1	TCR	11	physical	PIK3R1	TRAT1	P27986	Q6PIZ9	1
O00459	P62993	1	TCR	11	physical	PIK3R2	GRB2	O00459	P62993	1
O00459	Q8IWV1	1	TCR	11	physical	PIK3R2	LAX1	O00459	Q8IWV1	1
O00459	P27986	1	TCR	11	physical	PIK3R2	PIK3R1	O00459	P27986	1
O00459	Q6PIZ9	1	TCR	11	physical	PIK3R2	TRAT1	O00459	Q6PIZ9	1
P19174	Q07889	1	TCR	11	physical	PLCG1	SOS1	P19174	Q07889	1
P19174	Q07890	1	TCR	11	physical	PLCG1	SOS2	P19174	Q07890	1
P19174	P43403	1	TCR	11	physical	PLCG1	ZAP70	P19174	P43403	1
P16298	Q9Y6J0	1	TCR	11	physical	PPP3CB	CABIN1	P16298	Q9Y6J0	1
P16298	Q13469	1	TCR	11	physical	PPP3CB	NFATC2	P16298	Q13469	1
P16298	Q13469	1	TCR	11	Dephosphorylation	PPP3CB	NFATC2	P16298	Q13469	1
Q04759	P31749	1	TCR	11	physical	PRKCQ	AKT1	Q04759	P31749	1
Q04759	Q9NSE2	1	TCR	11	physical	PRKCQ	CISH	Q04759	Q9NSE2	1
Q04759	Q9UEW8	1	TCR	11	Phosphorylation	PRKCQ	STK39	Q04759	Q9UEW8	1
Q04759	Q9UEW8	1	TCR	11	physical	PRKCQ	STK39	Q04759	Q9UEW8	1
Q04759	O43516	1	TCR	11	Phosphorylation	PRKCQ	WIPF1	Q04759	O43516	1
O43586	Q05209	1	TCR	11	physical	PSTPIP1	PTPN12	O43586	Q05209	1
O43586	P42768	1	TCR	11	physical	PSTPIP1	WAS	O43586	P42768	1
Q14289	P06241	1	TCR	11	physical	PTK2B	FYN	Q14289	P06241	1
Q14289	P62993	1	TCR	11	physical	PTK2B	GRB2	Q14289	P62993	1
Q14289	P49023	1	TCR	11	physical	PTK2B	PXN	Q14289	P49023	1
Q14289	P15498	1	TCR	11	physical	PTK2B	VAV1	Q14289	P15498	1
Q06124	Q9UQC2	1	TCR	11	physical	PTPN11	GAB2	Q06124	Q9UQC2	1
Q05209	O43586	1	TCR	11	physical	PTPN12	PSTPIP1	Q05209	O43586	1
P26045	P20963	1	TCR	11	physical	PTPN3	CD247	P26045	P20963	1
P26045	P20963	1	TCR	11	Dephosphorylation	PTPN3	CD247	P26045	P20963	1
P29350	P06127	1	TCR	11	physical	PTPN6	CD5	P29350	P06127	1
P08575	Q86WV1	1	TCR	11	physical	PTPRC	SKAP1	P08575	Q86WV1	1
P49023	Q14289	1	TCR	11	physical	PXN	PTK2B	P49023	Q14289	1
P62834	Q7LDG7	1	TCR	11	physical	RAP1A	RASGRP2	P62834	Q7LDG7	1
Q13905	Q14511	1	TCR	11	physical	RAPGEF1	NEDD9	Q13905	Q14511	1
P20936	P43403	1	TCR	11	physical	RASA1	ZAP70	P20936	P43403	1
O95267	Q86WV1	1	TCR	11	physical	RASGRP1	SKAP1	O95267	Q86WV1	1
Q7LDG7	P62834	1	TCR	11	physical	RASGRP2	RAP1A	Q7LDG7	P62834	1
Q04206	P18146	1	TCR	11	physical	RELA	EGR1	Q04206	P18146	1
Q04206	O95644	1	TCR	11	physical	RELA	NFATC1	Q04206	O95644	1
O43353	O95999	1	TCR	11	physical	RIPK2	BCL10	O43353	O95999	1
Q9NP31	P06239	1	TCR	11	physical	SH2D2A	LCK	Q9NP31	P06239	1
P78314	P06239	1	TCR	11	physical	SH3BP2	LCK	P78314	P06239	1
Q15464	O75791	1	TCR	11	physical	SHB	GRAP2	Q15464	O75791	1
Q15464	O43561	1	TCR	11	physical	SHB	LAT	Q15464	O43561	1
Q15464	Q13094	1	TCR	11	physical	SHB	LCP2	Q15464	Q13094	1
Q15464	P43403	1	TCR	11	physical	SHB	ZAP70	Q15464	P43403	1
P29353	P52566	1	TCR	11	physical	SHC1	ARHGDIB	P29353	P52566	1
P29353	Q13588	1	TCR	11	physical	SHC1	GRAP	P29353	Q13588	1
Q86WV1	P06239	1	TCR	11	physical	SKAP1	LCK	Q86WV1	P06239	1
Q86WV1	P08575	1	TCR	11	physical	SKAP1	PTPRC	Q86WV1	P08575	1
Q86WV1	O95267	1	TCR	11	physical	SKAP1	RASGRP1	Q86WV1	O95267	1
O75563	O15117	1	TCR	11	physical	SKAP2	FYB	O75563	O15117	1
Q13239	P20963	1	TCR	11	physical	SLA	CD247	Q13239	P20963	1
Q13239	O43561	1	TCR	11	physical	SLA	LAT	Q13239	O43561	1
Q9H6Q3	P20963	1	TCR	11	physical	SLA2	CD247	Q9H6Q3	P20963	1
Q07889	P62993	1	TCR	11	physical	SOS1	GRB2	Q07889	P62993	1
Q07889	P19174	1	TCR	11	physical	SOS1	PLCG1	Q07889	P19174	1
Q07890	P62993	1	TCR	11	physical	SOS2	GRB2	Q07890	P62993	1
Q07890	P19174	1	TCR	11	physical	SOS2	PLCG1	Q07890	P19174	1
P42229	P20963	1	TCR	11	physical	STAT5A	CD247	P42229	P20963	1
Q9UEW8	Q04759	1	TCR	11	physical	STK39	PRKCQ	Q9UEW8	Q04759	1
P43405	P22681	1	TCR	11	physical	SYK	CBL	P43405	P22681	1
P43405	Q13191	1	TCR	11	physical	SYK	CBLB	P43405	Q13191	1
P43405	Q8NET5	1	TCR	11	physical	SYK	NFAM1	P43405	Q8NET5	1
P43405	Q8NET5	1	TCR	11	Phosphorylation	SYK	NFAM1	P43405	Q8NET5	1
-	P07766	1	TCR	11	physical	TRA@	CD3E	-	P07766	1
-	P09693	1	TCR	11	physical	TRA@	CD3G	-	P09693	1
Q6PIZ9	P07766	1	TCR	11	physical	TRAT1	CD3E	Q6PIZ9	P07766	1
Q6PIZ9	P27986	1	TCR	11	physical	TRAT1	PIK3R1	Q6PIZ9	P27986	1
Q6PIZ9	O00459	1	TCR	11	physical	TRAT1	PIK3R2	Q6PIZ9	O00459	1
P04435	P04234	1	TCR	11	physical	TRB@	CD3D	P04435	P04234	1
P04435	P09693	1	TCR	11	physical	TRB@	CD3G	P04435	P09693	1
P68366	P43403	1	TCR	11	physical	TUBA4A	ZAP70	P68366	P43403	1
P07437	P15498	1	TCR	11	physical	TUBB	VAV1	P07437	P15498	1
P07437	P43403	1	TCR	11	physical	TUBB	ZAP70	P07437	P43403	1
Q13432	P07766	1	TCR	11	physical	UNC119	CD3E	Q13432	P07766	1
P15498	P50570	1	TCR	11	physical	VAV1	DNM2	P15498	P50570	1
P15498	O43561	1	TCR	11	physical	VAV1	LAT	P15498	O43561	1
P15498	Q13094	1	TCR	11	physical	VAV1	LCP2	P15498	Q13094	1
P15498	Q14289	1	TCR	11	physical	VAV1	PTK2B	P15498	Q14289	1
P15498	P07437	1	TCR	11	physical	VAV1	TUBB	P15498	P07437	1
P42768	P46109	1	TCR	11	physical	WAS	CRKL	P42768	P46109	1
P42768	O15117	1	TCR	11	physical	WAS	FYB	P42768	O15117	1
P42768	P06241	1	TCR	11	physical	WAS	FYN	P42768	P06241	1
P42768	Q13094	1	TCR	11	physical	WAS	LCP2	P42768	Q13094	1
P42768	O43586	1	TCR	11	physical	WAS	PSTPIP1	P42768	O43586	1
Q9Y6W5	Q8IZP0	1	TCR	11	physical	WASF2	ABI1	Q9Y6W5	Q8IZP0	1
O43516	P46109	1	TCR	11	physical	WIPF1	CRKL	O43516	P46109	1
P63104	Q13094	1	TCR	11	physical	YWHAZ	LCP2	P63104	Q13094	1
P43403	P22681	1	TCR	11	physical	ZAP70	CBL	P43403	P22681	1
P43403	P20963	1	TCR	11	physical	ZAP70	CD247	P43403	P20963	1
P43403	P07766	1	TCR	11	physical	ZAP70	CD3E	P43403	P07766	1
P43403	P46108	1	TCR	11	physical	ZAP70	CRK	P43403	P46108	1
P43403	Q9UJU6	1	TCR	11	Phosphorylation	ZAP70	DBNL	P43403	Q9UJU6	1
P43403	Q9H4E7	1	TCR	11	physical	ZAP70	DEF6	P43403	Q9H4E7	1
P43403	P51452	1	TCR	11	Phosphorylation	ZAP70	DUSP3	P43403	P51452	1
P43403	P51452	1	TCR	11	physical	ZAP70	DUSP3	P43403	P51452	1
P43403	Q96P31	1	TCR	11	physical	ZAP70	FCRL3	P43403	Q96P31	1
P43403	P06241	1	TCR	11	physical	ZAP70	FYN	P43403	P06241	1
P43403	Q9UQC2	1	TCR	11	Phosphorylation	ZAP70	GAB2	P43403	Q9UQC2	1
P43403	Q9UQC2	1	TCR	11	physical	ZAP70	GAB2	P43403	Q9UQC2	1
P43403	O43561	1	TCR	11	Phosphorylation	ZAP70	LAT	P43403	O43561	1
P43403	P06239	1	TCR	11	physical	ZAP70	LCK	P43403	P06239	1
P43403	P15941	1	TCR	11	Phosphorylation	ZAP70	MUC1	P43403	P15941	1
P43403	P15941	1	TCR	11	physical	ZAP70	MUC1	P43403	P15941	1
P43403	Q8NET5	1	TCR	11	physical	ZAP70	NFAM1	P43403	Q8NET5	1
P43403	Q8NET5	1	TCR	11	Phosphorylation	ZAP70	NFAM1	P43403	Q8NET5	1
P43403	P19174	1	TCR	11	physical	ZAP70	PLCG1	P43403	P19174	1
P43403	P20936	1	TCR	11	physical	ZAP70	RASA1	P43403	P20936	1
P43403	Q15464	1	TCR	11	physical	ZAP70	SHB	P43403	Q15464	1
P43403	P68366	1	TCR	11	physical	ZAP70	TUBA4A	P43403	P68366	1
P43403	P07437	1	TCR	11	physical	ZAP70	TUBB	P43403	P07437	1
