#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q13239	P43403	1	TCR	11	physical	SLA	ZAP70	Q13239	P43403	0
Q9H6Q3	P22681	1	TCR	11	physical	SLA2	CBL	Q9H6Q3	P22681	0
Q9H6Q3	P43403	1	TCR	11	physical	SLA2	ZAP70	Q9H6Q3	P43403	0
Q07889	Q13588	1	TCR	11	physical	SOS1	GRAP	Q07889	Q13588	0
Q07889	P29353	1	TCR	11	physical	SOS1	SHC1	Q07889	P29353	0
Q07889	P43403	1	TCR	11	physical	SOS1	ZAP70	Q07889	P43403	0
P12931	Q86WV1	1	TCR	11	physical	SRC	SKAP1	P12931	Q86WV1	0
P42229	-	1	TCR	11	physical	STAT5A	TRA@	P42229	-	0
P51692	P20963	1	TCR	11	physical	STAT5B	CD247	P51692	P20963	0
P43405	P51452	1	TCR	11	Phosphorylation	SYK	DUSP3	P43405	P51452	0
P43405	P06241	1	TCR	11	physical	SYK	FYN	P43405	P06241	0
P43405	Q8IWV1	1	TCR	11	Phosphorylation	SYK	LAX1	P43405	Q8IWV1	0
P43405	Q13239	1	TCR	11	physical	SYK	SLA	P43405	Q13239	0
-	P04234	1	TCR	11	physical	TRA@	CD3D	-	P04234	0
-	P42229	1	TCR	11	physical	TRA@	STAT5A	-	P42229	0
-	P04435	1	TCR	11	physical	TRA@	TRB@	-	P04435	0
Q9Y4K3	Q9UDY8	1	TCR	11	physical	TRAF6	MALT1	Q9Y4K3	Q9UDY8	0
Q6PIZ9	P20963	1	TCR	11	physical	TRAT1	CD247	Q6PIZ9	P20963	0
P04435	P07766	1	TCR	11	physical	TRB@	CD3E	P04435	P07766	0
P04435	-	1	TCR	11	physical	TRB@	TRA@	P04435	-	0
P68366	P15498	1	TCR	11	physical	TUBA4A	VAV1	P68366	P15498	0
P42681	P06241	1	TCR	11	physical	TXK	FYN	P42681	P06241	0
Q13432	P20963	1	TCR	11	physical	UNC119	CD247	Q13432	P20963	0
Q13432	P01730	1	TCR	11	physical	UNC119	CD4	Q13432	P01730	0
Q13432	P06241	1	TCR	11	physical	UNC119	FYN	Q13432	P06241	0
Q13432	P06239	1	TCR	11	physical	UNC119	LCK	Q13432	P06239	0
P50552	O15117	1	TCR	11	physical	VASP	FYB	P50552	O15117	0
P15498	P52566	1	TCR	11	physical	VAV1	ARHGDIB	P15498	P52566	0
P15498	P16333	1	TCR	11	physical	VAV1	NCK1	P15498	P16333	0
P15498	P78314	1	TCR	11	physical	VAV1	SH3BP2	P15498	P78314	0
P15498	Q15464	1	TCR	11	physical	VAV1	SHB	P15498	Q15464	0
P15498	P68366	1	TCR	11	physical	VAV1	TUBA4A	P15498	P68366	0
Q9UKW4	Q13094	1	TCR	11	physical	VAV3	LCP2	Q9UKW4	Q13094	0
Q9UKW4	P78314	1	TCR	11	physical	VAV3	SH3BP2	Q9UKW4	P78314	0
P42768	P60953	1	TCR	11	physical	WAS	CDC42	P42768	P60953	0
P42768	P16333	1	TCR	11	physical	WAS	NCK1	P42768	P16333	0
P42768	Q05209	1	TCR	11	physical	WAS	PTPN12	P42768	Q05209	0
P42768	O43516	1	TCR	11	physical	WAS	WIPF1	P42768	O43516	0
P42768	P43403	1	TCR	11	physical	WAS	ZAP70	P42768	P43403	0
O43516	P42768	1	TCR	11	physical	WIPF1	WAS	O43516	P42768	0
O43516	P43403	1	TCR	11	physical	WIPF1	ZAP70	O43516	P43403	0
P27348	P22681	1	TCR	11	physical	YWHAQ	CBL	P27348	P22681	0
P43403	P00519	1	TCR	11	physical	ZAP70	ABL1	P43403	P00519	0
P43403	Q9BXL7	1	TCR	11	physical	ZAP70	CARD11	P43403	Q9BXL7	0
P43403	Q13191	1	TCR	11	physical	ZAP70	CBLB	P43403	Q13191	0
P43403	P06127	1	TCR	11	physical	ZAP70	CD5	P43403	P06127	0
P43403	P46109	1	TCR	11	physical	ZAP70	CRKL	P43403	P46109	0
P43403	P62993	1	TCR	11	physical	ZAP70	GRB2	P43403	P62993	0
P43403	Q8IWV1	1	TCR	11	Phosphorylation	ZAP70	LAX1	P43403	Q8IWV1	0
P43403	Q13094	1	TCR	11	Phosphorylation	ZAP70	LCP2	P43403	Q13094	0
P43403	Q14289	1	TCR	11	physical	ZAP70	PTK2B	P43403	Q14289	0
P43403	Q9UQQ2	1	TCR	11	Phosphorylation	ZAP70	SH2B3	P43403	Q9UQQ2	0
P43403	P29353	1	TCR	11	physical	ZAP70	SHC1	P43403	P29353	0
P43403	P29353	1	TCR	11	Phosphorylation	ZAP70	SHC1	P43403	P29353	0
P43403	Q13239	1	TCR	11	physical	ZAP70	SLA	P43403	Q13239	0
P43403	Q9H6Q3	1	TCR	11	physical	ZAP70	SLA2	P43403	Q9H6Q3	0
P43403	Q07889	1	TCR	11	physical	ZAP70	SOS1	P43403	Q07889	0
P43403	P15498	1	TCR	11	Phosphorylation	ZAP70	VAV1	P43403	P15498	0
P43403	P42768	1	TCR	11	physical	ZAP70	WAS	P43403	P42768	0
P43403	O43516	1	TCR	11	physical	ZAP70	WIPF1	P43403	O43516	0
