#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P42229	Q09472	1	Prolactin	56	physical	STAT5A	EP300	P42229	Q09472	0
P42229	P10242	1	Prolactin	56	physical	STAT5A	MYB	P42229	P10242	0
P42229	Q9Y6X2	1	Prolactin	56	physical	STAT5A	PIAS3	P42229	Q9Y6X2	0
P42229	P23284	1	Prolactin	56	physical	STAT5A	PPIB	P42229	P23284	0
P42229	P01236	1	Prolactin	56	physical	STAT5A	PRL	P42229	P01236	0
P42229	P16471	1	Prolactin	56	physical	STAT5A	PRLR	P42229	P16471	0
P42229	P18031	1	Prolactin	56	physical	STAT5A	PTPN1	P42229	P18031	0
P51692	O60674	1	Prolactin	56	physical	STAT5B	JAK2	P51692	O60674	0
P51692	Q13469	1	Prolactin	56	physical	STAT5B	NFATC2	P51692	Q13469	0
P42680	P16471	1	Prolactin	56	physical	TEC	PRLR	P42680	P16471	0
P15498	P16471	1	Prolactin	56	physical	VAV1	PRLR	P15498	P16471	0
P15498	P43403	1	Prolactin	56	physical	VAV1	ZAP70	P15498	P43403	0
P52735	P51956	1	Prolactin	56	physical	VAV2	NEK3	P52735	P51956	0
P61981	P16471	1	Prolactin	56	physical	YWHAG	PRLR	P61981	P16471	0
P63104	P16471	1	Prolactin	56	physical	YWHAZ	PRLR	P63104	P16471	0
P43403	P16471	1	Prolactin	56	physical	ZAP70	PRLR	P43403	P16471	0
P43403	P15498	1	Prolactin	56	physical	ZAP70	VAV1	P43403	P15498	0
