#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q9Y3F4	P15531	1	TGF_beta_Receptor	7	physical	STRAP	NME1	Q9Y3F4	P15531	0
Q9Y3F4	Q15796	1	TGF_beta_Receptor	7	physical	STRAP	SMAD2	Q9Y3F4	Q15796	0
Q9Y3F4	P36897	1	TGF_beta_Receptor	7	physical	STRAP	TGFBR1	Q9Y3F4	P36897	0
P63165	Q13485	1	TGF_beta_Receptor	7	physical	SUMO1	SMAD4	P63165	Q13485	0
Q14186	P28749	1	TGF_beta_Receptor	7	physical	TFDP1	RBL1	Q14186	P28749	0
Q14186	Q08999	1	TGF_beta_Receptor	7	physical	TFDP1	RBL2	Q14186	Q08999	0
Q14186	P84022	1	TGF_beta_Receptor	7	physical	TFDP1	SMAD3	Q14186	P84022	0
P01137	P34741	1	TGF_beta_Receptor	7	physical	TGFB1	SDC2	P01137	P34741	0
P61812	P36897	1	TGF_beta_Receptor	7	physical	TGFB2	TGFBR1	P61812	P36897	0
P61812	P37173	1	TGF_beta_Receptor	7	physical	TGFB2	TGFBR2	P61812	P37173	0
P10600	Q03167	1	TGF_beta_Receptor	7	physical	TGFB3	TGFBR3	P10600	Q03167	0
TGFBR	P56945	1	TGF_beta_Receptor	7	physical	TGFBR	BCAR1	TGFBR	P56945	0
P36897	O15169	1	TGF_beta_Receptor	7	physical	TGFBR1	AXIN1	P36897	O15169	0
P36897	P98082	1	TGF_beta_Receptor	7	physical	TGFBR1	DAB2	P36897	P98082	0
P36897	P17813	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR1	ENG	P36897	P17813	0
P36897	P17813	1	TGF_beta_Receptor	7	physical	TGFBR1	ENG	P36897	P17813	0
P36897	P49354	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR1	FNTA	P36897	P49354	0
P36897	P49354	1	TGF_beta_Receptor	7	physical	TGFBR1	FNTA	P36897	P49354	0
P36897	Q9NPB6	1	TGF_beta_Receptor	7	physical	TGFBR1	PARD6A	P36897	Q9NPB6	0
P36897	P36873	1	TGF_beta_Receptor	7	physical	TGFBR1	PPP1CC	P36897	P36873	0
P36897	O75807	1	TGF_beta_Receptor	7	physical	TGFBR1	PPP1R15A	P36897	O75807	0
P36897	P29353	1	TGF_beta_Receptor	7	physical	TGFBR1	SHC1	P36897	P29353	0
P36897	P29353	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR1	SHC1	P36897	P29353	0
P36897	O15105	1	TGF_beta_Receptor	7	physical	TGFBR1	SMAD7	P36897	O15105	0
P36897	Q9HCE7	1	TGF_beta_Receptor	7	physical	TGFBR1	SMURF1	P36897	Q9HCE7	0
P36897	Q9HAU4	1	TGF_beta_Receptor	7	physical	TGFBR1	SMURF2	P36897	Q9HAU4	0
P36897	Q9UNH7	1	TGF_beta_Receptor	7	physical	TGFBR1	SNX6	P36897	Q9UNH7	0
P36897	Q9Y3F4	1	TGF_beta_Receptor	7	physical	TGFBR1	STRAP	P36897	Q9Y3F4	0
P36897	P61812	1	TGF_beta_Receptor	7	physical	TGFBR1	TGFB2	P36897	P61812	0
P36897	P37173	1	TGF_beta_Receptor	7	physical	TGFBR1	TGFBR2	P36897	P37173	0
P36897	Q96JC1	1	TGF_beta_Receptor	7	physical	TGFBR1	VPS39	P36897	Q96JC1	0
P36897	Q9H0M0	1	TGF_beta_Receptor	7	physical	TGFBR1	WWP1	P36897	Q9H0M0	0
P36897	Q7Z3T8	1	TGF_beta_Receptor	7	physical	TGFBR1	ZFYVE16	P36897	Q7Z3T8	0
P37173	P37023	1	TGF_beta_Receptor	7	physical	TGFBR2	ACVRL1	P37173	P37023	0
P37173	P63010	1	TGF_beta_Receptor	7	physical	TGFBR2	AP2B1	P37173	P63010	0
P37173	P35222	1	TGF_beta_Receptor	7	physical	TGFBR2	CTNNB1	P37173	P35222	0
P37173	P98082	1	TGF_beta_Receptor	7	physical	TGFBR2	DAB2	P37173	P98082	0
P37173	Q8TF09	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR2	DYNLRB2	P37173	Q8TF09	0
P37173	Q8TF09	1	TGF_beta_Receptor	7	physical	TGFBR2	DYNLRB2	P37173	Q8TF09	0
P37173	Q13347	1	TGF_beta_Receptor	7	physical	TGFBR2	EIF3I	P37173	Q13347	0
P37173	Q13347	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR2	EIF3I	P37173	Q13347	0
P37173	P05556	1	TGF_beta_Receptor	7	physical	TGFBR2	ITGB1	P37173	P05556	0
P37173	P05106	1	TGF_beta_Receptor	7	physical	TGFBR2	ITGB3	P37173	P05106	0
P37173	O00459	1	TGF_beta_Receptor	7	physical	TGFBR2	PIK3R2	P37173	O00459	0
P37173	P28340	1	TGF_beta_Receptor	7	physical	TGFBR2	POLD1	P37173	P28340	0
P37173	P29353	1	TGF_beta_Receptor	7	physical	TGFBR2	SHC1	P37173	P29353	0
P37173	O15105	1	TGF_beta_Receptor	7	physical	TGFBR2	SMAD7	P37173	O15105	0
P37173	Q9UNH7	1	TGF_beta_Receptor	7	physical	TGFBR2	SNX6	P37173	Q9UNH7	0
P37173	P61812	1	TGF_beta_Receptor	7	physical	TGFBR2	TGFB2	P37173	P61812	0
P37173	P36897	1	TGF_beta_Receptor	7	physical	TGFBR2	TGFBR1	P37173	P36897	0
P37173	P36897	1	TGF_beta_Receptor	7	Phosphorylation	TGFBR2	TGFBR1	P37173	P36897	0
P37173	O95405	1	TGF_beta_Receptor	7	physical	TGFBR2	ZFYVE9	P37173	O95405	0
Q03167	P32121	1	TGF_beta_Receptor	7	physical	TGFBR3	ARRB2	Q03167	P32121	0
Q03167	O14908	1	TGF_beta_Receptor	7	physical	TGFBR3	GIPC1	Q03167	O14908	0
Q03167	P34741	1	TGF_beta_Receptor	7	physical	TGFBR3	SDC2	Q03167	P34741	0
Q03167	P10600	1	TGF_beta_Receptor	7	physical	TGFBR3	TGFB3	Q03167	P10600	0
Q15583	Q13547	1	TGF_beta_Receptor	7	physical	TGIF1	HDAC1	Q15583	Q13547	0
Q15583	Q8IU81	1	TGF_beta_Receptor	7	physical	TGIF1	IRF2BP1	Q15583	Q8IU81	0
Q15583	P29590	1	TGF_beta_Receptor	7	physical	TGIF1	PML	Q15583	P29590	0
Q15583	Q13485	1	TGF_beta_Receptor	7	physical	TGIF1	SMAD4	Q15583	Q13485	0
O15350	Q15796	1	TGF_beta_Receptor	7	physical	TP73	SMAD2	O15350	Q15796	0
O15350	P84022	1	TGF_beta_Receptor	7	physical	TP73	SMAD3	O15350	P84022	0
Q9Y4K3	O43318	1	TGF_beta_Receptor	7	physical	TRAF6	MAP3K7	Q9Y4K3	O43318	0
Q12931	Q13485	1	TGF_beta_Receptor	7	physical	TRAP1	SMAD4	Q12931	Q13485	0
Q9UPN9	P84022	1	TGF_beta_Receptor	7	physical	TRIM33	SMAD3	Q9UPN9	P84022	0
P62837	Q15796	1	TGF_beta_Receptor	7	Ubiquitination	UBE2D2	SMAD2	P62837	Q15796	0
P61077	P12757	1	TGF_beta_Receptor	7	Ubiquitination	UBE2D3	SKIL	P61077	P12757	0
Q9Y5K5	O15105	1	TGF_beta_Receptor	7	physical	UCHL5	SMAD7	Q9Y5K5	O15105	0
Q9Y5K5	P36897	1	TGF_beta_Receptor	7	Deubiquitination	UCHL5	TGFBR1	Q9Y5K5	P36897	0
Q96JC1	Q13485	1	TGF_beta_Receptor	7	physical	VPS39	SMAD4	Q96JC1	Q13485	0
Q96JC1	P36897	1	TGF_beta_Receptor	7	physical	VPS39	TGFBR1	Q96JC1	P36897	0
Q9H0M0	Q15796	1	TGF_beta_Receptor	7	physical	WWP1	SMAD2	Q9H0M0	Q15796	0
Q9H0M0	Q9HCE7	1	TGF_beta_Receptor	7	physical	WWP1	SMURF1	Q9H0M0	Q9HCE7	0
Q9H0M0	P36897	1	TGF_beta_Receptor	7	physical	WWP1	TGFBR1	Q9H0M0	P36897	0
Q9GZV5	Q96RN5	1	TGF_beta_Receptor	7	physical	WWTR1	MED15	Q9GZV5	Q96RN5	0
Q9GZV5	P84022	1	TGF_beta_Receptor	7	physical	WWTR1	SMAD3	Q9GZV5	P84022	0
P46937	O15105	1	TGF_beta_Receptor	7	physical	YAP1	SMAD7	P46937	O15105	0
P37275	P84022	1	TGF_beta_Receptor	7	physical	ZEB1	SMAD3	P37275	P84022	0
O60315	P84022	1	TGF_beta_Receptor	7	physical	ZEB2	SMAD3	O60315	P84022	0
Q7Z3T8	Q13485	1	TGF_beta_Receptor	7	physical	ZFYVE16	SMAD4	Q7Z3T8	Q13485	0
Q7Z3T8	P36897	1	TGF_beta_Receptor	7	physical	ZFYVE16	TGFBR1	Q7Z3T8	P36897	0
O95405	Q15796	1	TGF_beta_Receptor	7	physical	ZFYVE9	SMAD2	O95405	Q15796	0
O95405	P37173	1	TGF_beta_Receptor	7	physical	ZFYVE9	TGFBR2	O95405	P37173	0
