#node1	node2
Q13976	Q9UHL9
O95167	O95178
P19878	P53778
P08069	Q9Y6I3
Q14344	Q99500
P58107	Q16695
P19438	Q96AG4
O15111	Q92985
Q08209	Q13936
Q96EP1	Q96LR5
P00533	P13688
P54652	Q9NYJ8
O14512	Q14765
P63261	Q14247
P05412	Q16539
O95644	P51817
P02751	Q14766
Q9NWW0	Q9Y328
P14678	Q969L4
Q02930	Q9UQM7
Q8WXW3	Q9Y2U5
P50570	Q9Y478
O15479	Q9BS40
P17948	P49763
P17612	Q04206
P63151	Q9NY47
Q04721	Q9UBG7
P00533	P13866
Q99963	Q9Y343
Q14161	Q92609
P07333	P51532
Q05397	Q08043
P06213	P12034
O43353	Q12933
P15248	P16871
P32302	Q9Y258
P08571	P16220
Q8N6F1	Q96B33
P16234	P52798
A4D2G3	P38405
P01571	Q969J5
P01889	Q15078
Q13573	Q8WVM7
O00459	O14654
O43353	Q9H173
P07948	P08637
A7MCY6	Q92844
O43913	Q9Y5N6
P55197	Q13315
Q14344	Q92888
P03372	P22692
P38398	Q10586
P08670	Q9GZT8
P14555	P18054
P00533	Q13239
Q15102	Q8N8V2
P10451	P26006
P12931	P47712
P12524	P61244
P54289	Q14738
P18848	Q9BY44
P51571	Q76N89
P04637	Q99445
Q01201	Q93009
P62753	Q9BPZ7
P05129	P15311
Q9NVA2	Q9Y4K3
P18621	P62424
Q92874	Q9H2G2
O14920	Q9UDY8
P16220	Q13976
O95631	P43146
P30530	Q07912
O14495	Q13393
O15399	Q13255
P08670	Q15714
Q00610	Q676U5
O75914	Q7L0Q8
P63261	Q9Y623
P62249	Q9H1Y0
P15260	Q04206
P48023	Q9NSI8
O14744	P08621
P61586	Q6ZSZ5
P08887	P40763
P07333	P09603
P26012	P46109
Q13573	Q9NYF8
P01116	P53778
O60341	Q9NY46
P62851	P62854
Q12988	Q13432
P48059	Q15831
P38405	Q96RC9
Q9BY27	Q9NS73
P31749	Q9UBK2
P23246	Q9UKA9
Q99962	Q9NYF0
Q5UIP0	Q9HCU9
Q92905	Q9BXR0
P18206	Q9UQ03
P07942	P53708
Q05516	Q9NWR8
P18146	P98164
Q13444	Q5TCZ1
P08648	P18084
P29322	P48736
P42830	P46092
Q14457	Q14687
Q13153	Q9H1Y0
O15372	Q14152
P53708	Q92752
O94805	Q6STE5
P01106	Q6UWJ1
O00459	Q9Y259
P24522	Q969G3
P35221	Q5W0B1
P08648	P50552
P05387	P42766
A8MT69	Q9BXW9
P01730	Q14005
P17252	Q8NFM4
P26599	Q8IU81
O15264	P30153
P23470	P42768
O14543	P31785
P06241	Q92988
P15882	P52198
P05556	P06756
P00533	Q9NP95
Q00403	Q12857
P41182	P42229
P23508	P47756
P56705	Q13467
P14317	P63261
O00574	P10145
O00213	P04626
P01106	Q9NVR2
O75365	P42224
P31946	Q96Q42
P54253	Q15942
P40933	Q14626
P19388	Q9Y535
P01112	Q5VWQ8
P19793	Q92793
P26992	Q8WXH5
P49286	Q9UBI6
O96000	P03901
Q13555	Q14643
P00374	P62942
P55854	Q9HC62
Q14194	Q9UKV5
P01889	P26639
P15880	P62280
Q13535	Q92667
P06899	Q96KK5
P07359	P40197
P19235	P29597
P22612	Q6IN85
P08575	P10912
P35626	Q13607
P20042	P68400
Q01130	Q15365
P61289	Q9H832
P13805	Q92993
P14653	P40424
P05231	Q8N6P7
P22694	P50150
P35225	Q6UXL0
P61077	P62987
Q9UHD2	Q9Y265
P10828	P27361
P0DJD0	P55854
P12757	Q16557
P22607	Q9Y371
P61964	P68431
P04150	Q05516
P01241	P61326
P25705	P61981
P30084	P40337
P28702	Q15596
Q14596	Q9GZQ8
P08708	P15880
P37231	Q9H0E9
P36405	Q5UIP0
O43865	Q13535
P11940	Q14103
Q14974	Q8WYP5
Q07889	Q8WV28
Q16659	Q96IZ6
P02686	P54259
O95163	Q9UFN0
P10828	Q15648
Q9Y4K3	Q9Y616
P05015	Q9HC73
P46783	P62244
P29350	P78314
P01889	P61163
Q15052	Q6UXF1
Q12933	Q8N5R6
P52756	Q08211
P10415	P53355
P01566	Q99665
P05455	Q14164
P38936	Q9H324
P0CG48	Q9Y2U5
Q00005	Q13085
P38398	Q96RL1
P56537	Q9UL03
P50591	Q15628
P12956	Q9NY59
Q66LE6	Q99832
P31749	Q6ZVD8
P63104	Q13263
P22736	Q09472
P19438	Q05655
P23378	Q9BXR5
P24530	Q14344
P42331	P60953
P56705	Q9H1J7
P01241	Q16740
P0C5Y9	P62875
P62750	P83731
O14561	P03891
P53778	Q9BQI3
P18146	Q9H0M4
P98177	Q96BR1
Q15853	Q9UM73
Q01726	Q96G30
Q13698	Q9NPA1
P13727	Q15744
O43184	Q5HYK7
P41279	Q6VAB6
P50995	Q99459
P23508	Q9UBT2
P22612	P25963
P02751	P16144
O95352	Q8IY92
P27824	P61619
Q71U36	Q9NQC7
P30304	Q96PV7
P62333	Q00653
Q8IYH5	Q9NS73
Q8WUW1	Q9Y2A7
Q13535	Q8WWQ0
P42575	Q9HB75
P23511	Q13126
P63000	Q9UKW4
P04637	Q9UK53
P17301	P29350
O14904	Q13467
Q96EU7	Q9NS00
Q15717	Q96RU7
Q05516	Q8TC92
P01243	Q16186
P05106	Q9Y490
Q99623	Q9Y4G8
P15927	P40763
P35626	Q96R27
O00233	O75832
Q13535	Q8IYB3
P52952	Q92833
P35225	P48551
P10914	P40306
P19838	P61626
Q13873	Q15759
P31785	Q9NPH9
O43281	Q8N5H7
P16188	Q8NHL6
P04899	P21462
Q00653	Q9Y297
P41182	Q9BXS1
P17252	Q5SW24
Q13642	Q16643
O75197	P56703
P03372	Q6PL18
Q05513	Q9Y243
P35638	P61247
O75914	Q9H4E5
Q8IYW5	Q9Y3C5
Q01130	Q96S94
P17861	P18850
P07910	P26599
P55072	Q9P2S5
Q04917	Q9UQC2
Q07889	Q9GZY6
P62736	P62993
P09341	P09874
P42574	P62258
O75116	P61587
P08107	Q96HS1
Q07889	Q15283
Q13315	Q9UPN4
Q9UKK9	Q9Y478
Q14197	Q7Z7F7
P17612	Q9Y6W5
P19012	Q9BY27
P01137	Q04771
P18089	P50148
P24385	Q13105
Q04206	Q13625
P01567	P78552
O15541	Q9NRM2
P45983	Q16082
P06241	Q9BXT4
O14974	Q13464
O00238	Q6P3X3
P61587	Q9NZN5
P26599	Q99504
P62826	Q5TAQ9
P16234	Q9H0M0
Q5VTD9	Q9UBX5
P31260	Q03164
P45984	Q8N5C8
P05109	Q9UKR5
O95983	Q16576
Q00653	Q16836
P22694	Q9NP71
Q96AY2	Q9H816
O75365	P31689
P19012	P62195
P22736	Q9Y6Q9
O60516	O60573
P05106	Q13418
P35908	Q00005
O76071	Q13085
P01889	Q15436
P00167	P04798
P01106	Q13263
P31947	Q9UPU9
O14639	Q9Y3Q8
P27361	P62879
P09455	P98164
P10909	Q9NRI5
P48357	Q9UBD9
P0C1Z6	Q9C086
Q8WXH2	Q9Y6E0
P41743	Q9H492
Q14152	Q14240
P13569	Q9Y6M7
P05386	Q6ZRI6
O14543	P48551
Q96DU9	Q96EP5
P08700	P40238
Q12789	Q13535
P27361	Q13464
P62993	Q9NYL9
P26717	P30466
P01112	Q9UKT9
P18146	Q9BZJ6
Q13177	Q8TEJ3
P04637	Q9UER7
P16104	P23528
O75674	Q9NP72
P60709	Q6PI98
P38484	Q8IZI9
O00327	Q99814
P16520	Q96PN6
P35544	P62273
P07333	P61328
O60934	P16104
O43320	P16234
Q04771	Q96D21
P21796	Q8N9P6
P01111	P04899
P26599	Q01081
P35222	Q9Y3M2
P68036	Q13064
P14618	P18754
P10301	P46108
P63098	Q99683
P15923	P35222
P04049	P98170
P01106	Q8TBQ9
O14576	P50570
P62829	P83731
Q01094	Q13794
Q96CN9	Q9BYG5
P49815	Q8TDY2
P31947	Q9H1Y0
P14174	Q14164
Q8IUE6	Q9BY41
O43889	Q13554
P01889	P26927
P25440	Q9H0E9
Q9ULE0	Q9Y5J5
P63104	Q9H1R3
Q08945	Q6DRA6
P0CG48	Q99759
P62993	Q9NR12
P53618	Q02156
P08172	P59768
P00540	P01116
P67870	Q9UQE7
P55157	Q8WX92
Q8TBB1	Q9Y620
Q96DF8	Q9Y6D9
406971	Q00534
P08631	Q8WYR1
O43915	P04626
P49642	Q969H0
P35968	Q01970
P49716	Q9Y2H8
P62258	Q7KZI7
P12931	P78345
P18621	P62910
P15153	Q9Y4W6
Q7L0Q8	Q9P107
P51965	Q06587
P23508	Q01469
Q13177	Q14247
P60568	Q9H334
Q9BQA1	Q9H9G7
Q01082	Q13573
P68133	Q13315
P56559	P61421
O14686	Q01201
O43318	Q8IYH5
P18754	Q9UMN6
P13805	Q12873
Q15388	Q9BXM7
O75159	P42226
O60512	Q9NXU5
Q13387	Q15910
Q6PEY2	Q8NCM8
P35609	Q07157
P06748	Q12996
P31943	Q14683
P19838	P29459
O00329	P42336
O14640	P62879
P22612	Q9H0K1
Q99459	Q9H0H5
O60832	Q14978
P08100	P62873
Q5T3J3	Q9NZL4
O15379	Q92786
P28062	Q03518
P08670	Q9Y572
P63096	Q13585
P35222	P60484
P25098	P46092
Q14181	Q9GZR7
P09914	P52630
P04003	P0C0L5
O43390	P67809
P62263	Q13573
O15116	Q14684
P49757	Q8TBB1
P78386	Q9NR96
P62266	Q96B02
O75165	P00533
Q13227	Q99459
P63010	Q96CW1
O14640	Q13467
P11940	Q13573
O15198	Q8NEV8
P48551	P63244
Q12873	Q9Y6Y0
P26599	Q8IX12
P08107	Q9Y239
P08670	Q5UIP0
P36954	Q6P1J9
Q15910	Q9NYS7
Q92993	Q9H840
O00175	P51685
P36897	Q9Y5K5
O15297	P13051
P05114	P16403
Q99459	Q9Y6E0
Q8IXI1	Q9P107
Q15475	Q99502
Q8IZC6	Q9HCN6
P25054	Q9UP83
P28566	P43686
P16885	Q9H204
O60814	P61964
P62805	Q12888
P35626	Q8NGK5
Q9H9E3	Q9Y2V7
Q96A54	Q96RR4
P63104	Q16531
O15524	Q9HBE5
Q10586	Q14683
Q9HAW0	Q9NVI7
P55210	P80303
Q04759	Q4KWH8
O15264	Q13202
P19838	P50750
O15273	Q8WZ42
P50616	P61978
P09923	Q12778
O14744	P62805
O60412	P32121
Q15021	Q9HC98
P62753	P62851
Q13547	Q9P0M6
O43257	O96019
A7KAX9	Q13588
Q12772	Q92793
P01344	P24592
O00212	Q9P286
P12931	Q8WTW4
P27986	Q9UBI6
P06734	P20702
P52434	Q9NW08
Q15834	Q8NEF3
P06241	Q9H204
O60884	Q9GZX7
O95832	P08253
P48051	Q9P2W3
P19174	Q15139
P62837	Q96FW1
P31930	Q14197
P00519	Q92466
P11388	Q9H3D4
Q7Z3T8	Q9Y3C5
P12980	Q6ZN11
P51684	P80075
O43143	P01106
O15287	Q06547
406991	P78504
P51681	Q9NX70
P30304	Q9BWU1
494324	P46937
O14745	P47900
Q15283	Q9UBI6
P36954	P53803
Q13443	Q9UI95
Q02045	Q15746
P01225	P23945
P32241	P62158
O00501	Q8N6F1
O14817	P05556
P11940	Q9UQ80
P05060	Q13885
O95096	P08151
P04637	P63165
P30153	Q5FBB7
P38405	Q8NH69
P13631	Q12796
P63104	Q99829
P05783	Q6WCQ1
Q15306	Q86TG7
O15151	P27348
P24522	Q06330
P15498	P40189
Q13573	Q16513
O75529	Q86TJ2
P12980	Q9HA65
Q01844	Q15637
Q13547	Q14938
P52292	Q9H213
Q7Z6B7	Q9Y6N7
P01579	P16871
Q15233	Q9P1U0
P40197	P42336
P45984	P62873
O00555	P63096
O76096	P19525
P0CG47	P26358
P09874	P49959
Q05513	Q13158
P05388	P63173
P40189	Q13191
Q00839	Q04206
P54259	Q5TH69
P60709	Q9Y281
P07900	Q92597
Q9Y265	Q9Y4K3
P62191	Q9Y6X2
P10275	Q9UBK9
Q12905	Q13535
Q15843	Q9BY44
O00182	Q9Y2J2
P30153	P53778
Q8WVZ9	Q9H0R8
P19429	Q9HAU4
O15344	P51965
P49768	Q9Y2W7
P08047	P46695
P01241	Q99062
Q13114	Q9H6S1
Q9BUH8	Q9H4K1
P25101	P29992
P05129	Q9H0R8
O43390	P61978
O94875	P55055
P04049	P61224
Q13873	Q13976
P04183	P51805
P49411	P56537
O60262	P43657
P19525	Q00526
P11171	Q9UI30
P27986	P50570
P04278	Q15155
406906	P13591
P22694	P50151
P06241	Q13224
P52198	Q9P227
P23921	P56537
O00574	P63096
O43918	P19174
P47992	P51679
P10071	P48730
P61513	P62899
O43679	Q13363
O75019	P31994
Q86U06	Q8IWX8
Q99933	Q9UNE7
O95715	P25025
P40145	P62873
P62917	P62987
P05771	P57087
Q8NE71	Q99459
O95166	Q00610
P84090	Q15047
P01106	Q13347
P23921	Q9UKE5
P10275	P78317
P56556	Q9Y375
O95639	P62140
Q06413	Q92905
P07333	P09038
P05787	Q16539
P37173	P67775
P05109	P63000
P68104	Q9HCU9
O14874	Q52LJ0
P36873	Q68CJ9
P03886	Q9NX14
O95989	Q6RFH5
P23258	Q08AG7
406923	P11831
P55196	P62070
P05386	P49207
P62714	Q9Y624
P25786	P25789
P50150	Q9H1C0
P01589	P60568
406954	Q9NRR4
P16104	Q9BY41
P04141	Q04206
O43521	Q92843
O75581	P49674
Q7L5N1	Q9Y239
O43809	P33240
Q12933	Q5T1R4
P68366	Q9H0H5
Q7L590	Q99741
P22681	P31946
P51813	Q96T51
P53708	Q13751
O95793	P62241
Q66LE6	Q96Q15
Q13619	Q9H7D7
P18146	Q00534
P20333	P48594
Q9BWU1	Q9H944
Q02641	Q9UQM7
O60496	P16333
O60840	P22612
O15155	P23511
O15354	O60260
P41235	Q13485
Q13415	Q9Y5N6
P19876	P46094
Q04637	Q9UGR2
Q12968	Q16539
P25445	Q13158
P01889	P20700
O43147	Q9HCC8
Q3T906	Q9UJJ9
O15264	Q13115
Q13573	Q86VP6
P04637	Q16539
O60333	Q92993
P13612	Q13753
O15169	P19022
P18124	P83731
Q06787	Q7L576
P63261	Q14315
P00519	P07947
O00267	O43148
P60953	Q13233
P08754	Q3MJ16
O43639	Q05397
O95990	Q96ED9
P09622	Q14197
O00329	O14939
O15056	P16333
Q0VDF9	Q9UBR2
P35225	P40238
P62993	Q9H3D4
P05107	P42338
O00329	O60674
Q07812	Q16548
P60953	Q53QZ3
O75448	Q71F56
O14543	Q14627
P10912	P18031
Q01196	Q92922
Q16777	Q5VVJ2
P31943	Q13243
P00519	Q9Y3S1
407026	Q13569
P34820	Q9H2G2
Q09028	Q96ST3
P06241	Q16620
Q01844	Q9P2K8
P08107	P45984
P11308	P15036
O60231	Q13435
P41235	Q86WA6
O00459	P23443
Q53H96	Q9UBU9
P41159	Q99062
P58876	Q9UBL3
O43242	P01241
O60566	Q10567
P35558	Q9UGJ0
Q13561	Q99816
P49798	P63096
P15374	Q13315
O75581	P56706
P29353	Q9UKW4
P06729	P13987
P68400	Q53GL0
P07550	P62993
O95402	Q9UHV7
P16050	Q15365
O95782	Q00610
P42771	P53355
O00305	Q00005
P19876	P51677
Q13257	Q8NHZ8
P62280	Q15843
P68133	Q9UI47
P53779	Q8WXG6
A6NHL2	Q9Y6G9
P61088	Q8N8N0
P06746	P12004
P18077	Q15843
O14522	P62993
P62937	P63098
Q01201	Q99558
O75791	Q93062
O00213	P51693
P27986	Q92988
P10916	Q99972
P17948	Q03014
P36896	Q9HCE7
P05549	Q99967
P11229	Q5JY77
Q14790	Q16539
P51991	Q05519
P42766	P62899
P08581	P09038
O43318	P12757
P01889	Q9Y266
O96014	Q9ULV1
P51617	Q8IXI2
P07900	P11021
P08575	P41240
O15145	Q9UPY6
P26367	P55347
P25098	P62166
P02751	P23142
O95295	P26641
O60814	P0C5Y9
P38405	Q8NGK2
P35222	P45984
P09544	Q96HF1
O15524	P78552
P23511	Q16181
Q96B02	Q9Y4L5
P11802	Q9UQE7
P78536	Q99075
Q93070	Q9HAU5
P46531	P62979
P34820	Q13253
Q01081	Q8IYB3
Q12778	Q9Y618
P41594	Q96LZ3
O43502	Q8IZS8
A4D0S4	P18564
P16066	P49768
P51817	Q02641
O14920	P53350
O60783	Q9NY93
P18146	P38936
O14980	P61925
Q8TAQ2	Q99459
P52272	Q6ZVL6
P04637	Q96Q15
O95257	P29622
P07910	Q92620
A6NMZ7	Q9UKX5
O15264	P61978
Q9H832	Q9H8W4
P11831	Q14192
P30968	P50281
P13501	P32248
P35548	Q9Y5V3
O43660	O75533
P02766	P98160
P13747	P61769
406929	P08134
P00505	Q9UET6
P34931	Q13233
P55854	Q5T5X7
P54652	Q9NZL4
P10914	P41217
A4D1P6	Q13315
O60739	Q9NR31
P48380	Q8HWS3
P35609	P55884
Q96HA8	Q99750
Q05086	Q9P2M4
P30480	P61970
P37231	P38936
P23508	Q9HC36
P05783	Q2TAY7
P17252	Q6R327
P04839	P14316
O75438	O96000
P23458	P52630
P48039	P57088
P04637	P98161
P15927	Q5RL73
P09455	Q9HCU9
O43306	P22694
P26373	P46779
Q9BZG8	Q9Y5S9
P21246	Q9UBS4
P01562	P42224
P29992	P30556
P84095	Q5JSL3
P12931	P53708
P22732	Q9Y243
P61978	Q9BUJ2
Q04637	Q9Y4K3
P07900	Q07869
P17540	Q13432
Q7L5D6	Q8NBM4
P10145	P14780
P61224	Q9UKW4
9757	O43586
Q15517	Q9NRR5
P56856	Q07157
406922	Q9UL51
P16671	P35442
O43741	Q13131
P53778	P63211
O15264	Q9UK08
Q8IY92	Q9NZM5
Q13509	Q969W0
P06756	Q05397
P16885	Q14247
O14640	P84022
Q96CV9	Q9Y3C5
P12757	Q9UPN9
P05014	Q969J5
O14686	Q9UBL3
Q8TAD8	Q92793
Q16890	Q99683
Q99459	Q9Y2Z0
P00533	Q03135
P42336	Q9Y243
O15360	Q15788
O76070	Q93063
Q92985	Q99731
O14893	Q15287
P62140	Q8TEY5
P13942	P20073
P30480	P49915
O95785	Q9NPF4
P45984	P53778
P31947	Q9Y446
P00734	P05121
O95169	P35080
P52952	Q9NS56
O60563	O60885
P15153	Q6H8Q1
P12107	P26012
O75815	P26639
P0CG48	P20333
P08238	Q04206
O75446	Q09028
P25205	Q7L590
P22607	P43234
O75143	P42345
P11912	Q02548
Q7RTX0	Q8TE23
P49721	Q96RN5
P30304	Q13616
P07550	Q8TEY7
Q13387	Q7Z5J4
P43405	Q14247
P21964	P23508
P09429	Q04724
Q8IXH7	Q9Y241
407026	P09486
P01889	P42704
Q8IY92	Q9UJS0
O95817	P00441
P15336	Q04206
P10276	Q15466
P05026	Q13976
Q16612	Q9UMN6
P25098	P32302
P10071	P22612
P13569	Q14974
O60841	Q13573
Q13547	Q9P0W2
Q12923	Q9HB19
P23511	Q9ULW8
O43566	P18146
P26368	Q99717
P20333	Q9BYX7
Q99665	Q9UHD0
O94992	P50750
P62993	Q07020
Q9NP81	Q9UET6
P84090	Q13432
O75489	O95139
Q13315	Q99592
Q12873	Q15424
P24666	Q14164
O43889	Q12982
P17948	Q9Y4K3
P30968	P84022
Q14289	Q9Y6R4
P00519	P15172
P35626	Q8NGF7
P49863	Q01105
P00488	Q92890
P42771	Q14164
P27707	P48443
P16333	P23759
P12956	P49917
P16885	Q9GZY6
P56524	Q16777
Q01130	Q8IYB3
64397	P63279
P49721	Q9Y4K3
P12236	Q9BQ66
P41235	Q9UNU6
P27986	P30874
P32969	P49366
O00459	P10721
P41586	Q9UBI6
P03372	Q4ZG55
P50851	Q9H2G2
Q13616	Q15796
P07737	Q562R1
O43390	Q15428
O43561	Q9UQC2
P17028	Q15697
P56537	Q9H293
P53804	Q6VMQ6
P22681	Q9UHF4
P01567	P31785
P28062	Q99436
P32239	Q96SB3
J3KNP4	O15031
P61586	Q68EM7
O14965	Q9UD71
Q08999	Q13547
P25440	Q15906
P53350	Q14683
P27348	Q02241
P13807	P18146
Q13573	Q9H4L7
Q7L0Q8	Q9UNA1
Q14653	Q92844
P07437	Q9Y375
P25963	P56524
Q05397	Q13683
Q10586	Q9UKL0
P35998	Q99459
Q13332	Q15286
O60477	Q9Y5J5
P52597	Q8IWZ8
Q96EE3	Q9NRG9
O43156	Q9Y4R8
Q15796	Q9H6Z4
Q13042	Q9UJX4
P48061	P51677
Q13310	Q14201
P17568	P51970
O75439	Q16595
P21580	Q92985
P12107	Q9HCN6
P60763	Q9UNA1
P19875	P41597
Q76I76	Q9Y281
P12644	P46531
P30153	Q86US8
P10451	P26012
Q8IU57	Q9UBD9
Q99250	Q9HCE6
P46782	P62851
P16298	Q13522
O43791	P35638
P01241	P29401
P25787	P49720
P49792	Q99459
O60271	P19838
P62140	Q8WXS5
O43390	Q00839
P06241	P20827
P51531	Q96GM5
P40925	Q13368
O75306	Q16718
P27348	P46778
P16619	P61073
P12757	Q9UBW7
O15360	P27986
P35626	Q8NGS6
Q13315	Q9UIG0
P08134	Q96N67
P12931	P16234
P20023	Q06330
P51955	Q14240
P19634	P63104
Q8WW43	Q9NZ42
C9JDP6	O95471
Q6WCQ1	Q96SB3
P08575	P20701
Q13200	Q99460
O00327	P19793
P57678	Q9BQ83
P11047	Q14112
P18146	P48145
P14635	P30291
O43320	P11362
P51668	Q9BUB5
P13994	P68104
Q13315	Q9H1E3
P04278	P17661
O60711	Q9NV31
P27797	Q16659
Q00005	Q9BXT2
Q9NWS0	Q9Y3Q8
P18846	Q6UUV9
P53675	Q96CW1
Q92832	Q9NWH9
