#node1	node2
O95197	Q9Y5P4
P05019	P24592
P50552	P56199
Q92997	Q969F2
P18077	P83881
P06493	Q15717
P01112	Q9Y613
P28482	P50549
Q969Q6	Q9BXT2
O75159	P42229
Q92563	Q9ULL4
P23508	Q96GG9
O75716	Q8N5Z5
O60290	Q96AY4
P55795	P62993
Q8NEV4	Q9Y678
O75815	Q9Y286
P14784	Q9NPH9
Q13085	Q9Y478
P17861	Q53ET0
O14492	P29353
O15239	O96000
Q08AM6	Q9Y2I7
O14610	Q92633
P29597	Q92783
P25025	P42261
P36404	Q8WZ55
P62979	Q9Y6K9
Q13753	Q7L1I2
Q8N6Y0	Q8TDP1
Q16629	Q8IWZ8
P23396	P62269
O43741	Q16875
Q96T60	Q99717
P25963	Q13233
P61088	Q13404
406906	Q86SR1
P11142	P16871
P62330	Q9UJY5
Q13087	Q9H2G2
P61981	Q92905
Q8IZL8	Q9NU22
P12755	P84022
Q01780	Q86UX7
Q13233	Q9H1R3
P08908	Q99500
P39023	P62913
P01106	Q96T76
O96019	Q96JC9
P84022	Q14192
O43318	Q9HC29
O43557	Q13490
P06899	Q16514
P36897	Q8WUH2
O43663	Q53HL2
P34931	Q00613
Q86YP4	Q92769
O14832	Q9P2S5
O95072	Q13362
Q96F07	Q9NYB9
Q8N196	Q99504
P01857	P49327
P06401	Q13569
P37198	Q96QU8
P05556	Q14192
O43312	Q14247
Q01094	Q14186
P22392	P63104
P52435	Q9HCS7
Q13242	Q5JVS0
Q13546	Q8N5C8
P35080	Q07889
O14964	Q5VSY0
P01568	Q99062
Q9HD36	Q9UMX3
O95271	Q96RU3
O75159	P31785
406947	Q9BZW5
P55789	Q9H1I8
P04216	P11215
P12270	Q5SRE5
P16885	Q13191
P48729	Q9UJU2
P19793	Q9Y6Q9
P10244	Q14209
P49023	P56199
P13569	P17612
P15882	Q07890
P67809	Q07955
P16144	Q9UKX5
Q13315	Q15046
P51817	Q92806
P30279	Q8N726
5512	P41236
Q12778	Q99873
O60341	Q13573
O75970	Q9H205
Q14596	Q9H492
P48059	Q9NPH0
P23396	Q96HC4
Q13151	Q13243
O95793	Q16352
O96019	P25440
O00329	P63244
P40818	Q9BZP3
P40933	Q14626
Q06187	Q99755
P31946	Q13671
P18084	Q13683
P51452	Q15759
P04280	P29590
O43464	Q16539
P01111	Q92569
Q01831	Q96KM6
P25786	Q15008
P53041	Q16543
O15530	Q9BXL7
Q13748	Q96CW5
P25705	P31946
P33240	Q13315
P49747	Q13797
Q8WWW0	Q9GZQ8
O60674	P15260
P34931	Q13077
Q92529	Q99963
O76093	P35968
Q01449	Q9P2M7
P23508	P41252
Q53TQ3	Q9H981
P01106	Q96BN2
P42702	Q86WN2
P61981	Q96F86
P42771	P62140
P32121	Q8NGI8
Q15038	Q9P0T4
Q13315	Q8N2W9
P03372	Q9Y3R0
P12931	Q15223
O95400	P62136
Q9NX70	Q9UHI6
P15153	Q9NQU5
P06241	P32927
P25025	P42830
Q16566	Q8NFM4
P04637	Q04837
O75131	Q13573
P53803	Q9GZS3
P29466	Q16666
P04049	Q13237
P00519	P03372
O14775	Q00975
P40337	Q5XKP0
P29322	Q8N5V2
P55157	Q8WX92
P16871	Q9HBE4
O95786	Q9H6S1
P46937	P49792
Q15653	Q9NYR9
Q13554	Q4G163
P12268	P62993
O00327	Q16665
P22694	Q8NFM4
P63104	Q99961
P46782	P62847
P54253	Q9BYW2
O95644	Q9Y277
O60260	Q13616
P35968	P52797
P15880	P46782
P20273	Q13094
P09601	P27540
P30307	P63104
O75309	P18146
Q15052	Q15797
P42680	Q92729
P36507	Q9UHA4
O60583	P06400
Q13315	Q15075
P52943	Q96AW1
P01889	P43307
P48736	P63000
P33991	Q8WYH8
P49916	Q96FI4
Q14683	Q9BV47
P16220	Q8NFW9
P49427	P68400
P13164	P42224
P00441	P43004
Q7L5D6	Q9P2H0
Q01167	Q12873
P50502	Q96BK5
P62714	Q9BRV8
Q13064	Q15819
O95813	P56706
Q99578	Q9NZL6
P07766	P16333
Q13469	Q13554
Q13573	Q7L5N1
Q15334	Q9BYG4
O95168	P03897
O00217	O95139
O00471	Q92766
P31749	Q13522
P16333	Q13191
P17706	Q12933
P42336	Q9UQC2
P35544	P46782
Q9UHV7	Q9ULK4
O60921	Q92547
P32121	Q8NGE8
O60341	Q96BD5
P48740	Q13387
Q9BRT8	Q9P003
O00329	Q13393
P30273	Q8WTT0
Q01113	Q16619
P63104	Q00839
406995	Q8WYQ5
O43264	O60566
P62993	Q96D71
P08047	P29474
P19235	P32881
P09661	P40337
P49716	Q13370
O60925	P21246
O43927	P26641
P84022	Q9UEE9
P16035	P20336
P29597	Q99570
P51965	Q86UD3
P16871	P54920
P20333	P51571
P10636	P49841
P41235	Q9UK32
Q02641	Q06190
O94761	Q8IWV7
O95376	Q9BVJ6
O60383	Q16637
Q14192	Q9H173
P57088	Q14164
P02545	Q13155
P84996	Q03431
Q9C005	Q9UPS6
P05771	Q9UBI6
P46783	P60866
P08631	P50570
P08107	Q96HS1
O15530	Q9NRX1
P06241	P32239
Q00653	Q13547
P55157	Q92874
P55081	Q14562
P15531	Q13232
P23528	P57058
O60739	Q02543
P09619	P48736
P0C0S8	Q99879
Q8IW50	Q9UFN0
P10966	P30450
O43320	Q02763
A8MTJ3	Q8TE23
Q14674	Q8NDV3
O14764	O60296
Q14999	Q92990
P05060	P60484
Q13315	Q86XL3
Q9BQY4	Q9Y2Y4
P67775	Q9H0K1
P40937	Q5T3J3
Q15303	Q96B97
P12814	Q9UMD9
P62913	P63173
O95166	Q9Y4P1
P08648	P25940
P22455	P55075
P61586	Q9H7D0
Q14192	Q9Y2G2
P46108	Q9Y5H5
P61956	Q03405
P18847	P45984
P12694	P21953
P05997	Q13797
P62081	P62266
P38432	P51116
O14807	P15056
O15162	Q0VAR9
P62136	Q13224
P51149	Q9BQS8
P61201	Q9GZT8
O60671	Q99615
P05771	P62993
P07900	P09874
Q15303	Q99961
O95402	Q15648
P07237	Q8TCT9
P18146	Q9H4A5
O00712	Q14938
P0CG48	Q969F2
P49841	Q92945
Q9P0K7	Q9Y572
O75420	Q9UMX1
P61088	Q96BK5
P30304	Q9Y297
O43586	P39023
Q14565	Q9Y620
O76071	Q96T76
P10915	P48436
Q13362	Q13698
P62955	Q14738
P54259	P98095
Q8ND90	Q9NPB6
P22681	Q9UHF4
O75800	O95628
O43439	Q06455
P61218	Q6P1J9
O00299	P11171
O00206	P04899
Q15788	Q9H204
Q99708	Q9NY61
O15143	Q9UPY6
Q9BZ29	Q9HBH0
P01106	P16070
P17612	Q16558
B1A4H9	P15509
Q13315	Q14562
P25791	Q02575
O95997	Q9UJX5
P01137	Q9UBB5
O75808	Q8N806
P02686	P20916
A8MT69	Q00597
P16298	Q13255
P18583	Q8TAD8
Q07912	Q9Y5X1
Q9NX58	Q9Y6K5
Q06609	Q14209
P17612	P63211
P49418	P50570
P30450	Q14954
P60520	Q13685
P51681	Q15835
P62258	Q96E39
Q16539	Q16644
P22626	P31943
P49716	Q70EL3
O00560	Q06945
P16333	Q9UMN6
O43915	P08138
Q13098	Q13616
O15169	Q14134
P22301	Q9HC73
P55854	Q16665
P52789	Q16665
P26368	P38159
Q13573	Q8IYB3
P01574	Q8IU57
P15923	P63208
O75909	Q8HWS3
P0C0S8	Q16778
P43360	Q86Y56
P55957	P68400
P28222	Q9UBI6
P09237	Q9NQB0
P16220	Q12873
P12110	P26006
P35626	Q8NGF6
P12931	P21860
Q9H4B6	Q9UGP4
Q6P2E9	Q96F86
P22455	Q13191
P01106	Q96AG4
P21246	Q99689
Q05066	Q15599
Q7Z5R6	Q9Y4G6
Q96BY6	Q9HBH0
O00303	O15519
O95983	Q8NHZ7
P07996	P18564
P05231	Q01344
P04745	Q86UN6
P48058	Q12840
P18846	Q13535
P07333	Q9GZP0
P54253	Q8IWR1
406938	Q13464
O75352	O95714
P32246	P51671
P51955	Q14240
P34931	P41279
P50876	Q15819
O95067	P41002
Q92956	Q9Y230
Q8WVZ9	Q9H761
P17676	P58166
Q13153	Q9H4E5
O00212	Q96QB1
P49768	P49841
P01574	P16871
P84095	Q07889
P10827	Q9Y6Q9
Q99832	Q9UHD2
P01562	P20023
P04626	P20936
Q13153	Q9NPC7
Q02556	Q14344
Q13469	Q9Y277
P30153	Q9NY47
Q7L1V2	Q9P253
P46781	P62249
P04629	P35222
P09936	Q92905
P08047	P46108
P23396	P62266
Q71F56	Q9NX70
Q9GZX6	Q9HC73
P17301	Q8WYR1
P60568	Q01113
O95433	P80404
P13727	Q15744
P01112	P27482
O95166	Q14596
406904	Q9UL51
P06899	Q92830
P14373	Q9H2F5
Q16363	Q5UIP0
P09172	Q15811
O15355	P67809
P08648	Q9Y490
P69892	Q99717
Q15172	Q96Q15
P60709	Q13077
O76021	O95819
P07814	Q9Y572
P20226	P55317
P46776	Q92901
O15524	P31785
P00519	Q9UHL9
Q12873	Q13332
Q92851	Q9Y6K9
O00459	P52333
P04637	Q07817
Q13509	Q8NCM8
P78330	Q9NVP2
P13994	Q9Y2I6
O15105	Q16539
P06899	P20671
P19838	Q9BUF5
P63218	Q9Y272
P04626	P49767
P09769	P42336
O75937	P84103
P23527	Q96DB2
P23634	P29474
O00468	P30101
O00459	Q9HBH0
P05107	Q15139
P35221	Q8TEW0
P28356	P40424
O00273	P63104
Q15047	Q9Y383
Q00325	Q9UL18
P14635	Q99459
P38484	Q96EY1
P04899	Q86XP0
P11362	P21781
P32121	Q96G25
Q12774	Q14161
P20618	Q14164
P15336	Q92793
Q14683	Q29RF7
P01106	Q9Y5X1
P08047	P16333
P02768	Q7Z333
O75962	Q9NV70
P43686	P61289
P23458	Q05513
P12931	P23458
P04350	Q9Y6G9
P23025	Q92889
P16104	Q9NV56
P06213	P42336
P01106	Q8N3Y1
P63010	Q9Y6Q5
P52756	Q08211
O76064	P51965
P56537	Q9P2H0
P08123	P18827
P01589	P05013
O00141	P25942
O43592	P00533
O95402	Q9NWA0
P60709	Q04206
O95167	P03901
P21781	P22607
P19532	Q99460
Q9BPX5	Q9Y6W5
P42766	P61353
Q08050	Q16363
P19438	P31689
P12931	P28340
P11142	P49407
P52565	Q11206
Q7L5N1	Q8IYL3
P56746	Q16625
O15162	Q14774
P03950	P13385
P31749	Q9Y5P8
O75167	P27986
P00533	P05771
P40763	Q14765
P25054	Q16363
P07947	P10721
Q13315	Q7L590
P16520	P22612
Q13263	Q16587
P04406	P23246
O96006	P0DI81
P20138	Q13191
P54646	Q96B36
P48549	P62879
Q14241	Q15370
P05106	Q9UBP9
O00459	P63096
Q9P2I0	Q9UKF6
Q02543	Q9UL18
O14576	Q6PEY2
P13569	P31689
P20340	P30480
P12270	Q9NRG9
P38919	Q9GZY0
P12004	P62979
P52630	Q8N2W9
Q8WXA9	Q92841
P04626	Q12913
P24855	P60709
P19793	Q06710
Q8IZJ0	Q99650
P29275	P63092
P08173	P59768
Q13573	Q9UKM9
P48736	Q9UM73
P32969	P46776
P08253	Q99727
P01589	Q8IU54
Q9BSH4	Q9UET6
Q12986	Q15287
P53708	Q14315
P02549	Q01082
P33992	Q09472
P30304	Q9NYV4
O00327	P49674
O94761	Q9UNS1
P57678	Q13233
O60245	Q13535
Q13616	Q49AN0
Q15645	Q6BCY4
Q13315	Q9NVC6
Q96B02	Q9Y508
O95864	Q13485
P52630	Q00978
Q13485	Q13950
Q16621	Q96J02
P05787	P11532
P53779	Q13387
Q16584	Q9Y243
Q14152	Q99613
P09471	P45983
O15520	P22455
O75955	Q14242
P46934	Q15038
P06241	Q9Y5X2
Q96S59	Q9H4A3
P08238	Q08752
P78330	Q14558
P24385	Q13547
Q01085	Q12906
P00451	P04275
P05013	Q99665
P01583	P35228
O75528	Q8IYH5
P23396	P62857
Q96CG3	Q9Y3M8
P03915	Q9NX14
P11487	Q12951
P16104	Q9BXW9
O15230	P13612
407051	Q9H9Z2
Q14161	Q8IW93
O14519	P42772
P08670	Q9BZW7
Q15287	Q9NRR5
Q13573	Q15717
Q96HF1	Q9UP38
P31689	Q00653
O95267	Q68DD2
P50222	Q9Y512
P36873	Q9UD71
O00629	Q00978
O95166	P34903
Q13233	Q9Y463
P62873	P62879
Q6ZRS2	Q86X55
P67809	Q9BUJ2
P22612	Q9UK08
P10599	P27695
P41220	Q8NAF0
O94875	P31749
P36954	Q6PD62
Q13478	Q9NZH6
P05387	P61927
Q07890	Q96L33
Q14789	Q99986
P26010	Q13797
Q12834	Q4G163
P62906	P62917
O00203	P49407
P17987	P67775
P35226	P61077
Q14164	Q3ZAQ7
P18146	P32456
P01138	Q02763
P45983	Q0VDF9
P46527	Q9Y243
P12882	P61586
Q15910	Q9UKV8
Q8WXI9	Q9H3N8
P31270	Q03164
P78362	Q01081
O14576	Q13509
P0CAP1	P62424
O43390	Q01130
P14778	P42574
P20671	Q8N257
O95639	P36873
P05556	Q9UL25
O15537	Q6SZW1
P32519	Q04864
5512	Q15435
P05556	Q01955
P50213	P51553
P61981	Q9UMS6
P51617	Q9Y6K9
P25054	Q12959
P63104	Q92900
554210	O60315
P01889	P62333
P05121	Q16665
Q15287	Q8IWX8
P19320	P27986
O00329	P22681
Q15750	Q99558
P01138	P22607
O14576	P04637
P54259	Q9H2X0
P07437	Q12933
P17252	P19883
Q16531	Q99459
O95166	Q9BPW8
P00519	P63000
O75030	P56645
P12277	Q13418
Q15102	Q9Y4G2
P51398	Q92731
Q9HCJ0	Q9UKV8
P00519	Q14767
P11171	Q9Y237
P38405	Q8NGQ4
P10144	P42574
P21860	P52735
O60333	P50539
Q06587	Q9BQ52
P51668	Q96EP1
P06576	P31483
O15297	Q00987
P07437	Q9Y6N7
O75534	P16333
P56747	Q9Y5I7
P54253	Q9UKJ3
P35226	P78364
O43323	Q9Y6C5
P04637	Q92754
Q01130	Q8IX12
O60674	P08700
Q15797	Q5T5Y3
O95989	Q16643
P16871	Q13011
P29597	P52630
Q06609	Q99728
P54253	Q96MN9
P08575	Q99569
P05556	P10451
P11142	Q9UKG9
P02751	P35555
Q99700	Q9NWB1
P18206	Q92499
P17858	P54259
P04899	P35346
Q12840	Q16637
P45984	P50150
O15211	Q14194
P53778	Q9Y5S8
O15264	Q13541
P10912	Q969D9
P40337	Q15370
P40337	Q9NR31
O95838	P62158
Q07890	Q9NZN5
P49841	Q9P1W9
P22694	P63218
P00519	Q15464
Q14192	Q9Y4K3
P49901	Q9BQ66
Q6ZVK8	Q9BPX1
P53708	Q13797
P05113	P48551
P62333	Q9UNM6
P25963	Q92769
P01730	P08637
P78369	Q07157
Q12791	Q13936
P61962	Q8TEW0
O94832	Q6WCQ1
P35268	P60520
O94885	P31947
Q8N6T7	Q9UNN5
P12814	Q9UKX5
O15524	P38484
P30613	P36956
O15131	Q9Y6F8
P49841	Q12879
A6NI73	P12314
Q9BQG0	Q9Y5X4
P35080	P42858
Q32MK0	Q9P286
P23229	P26012
Q13315	Q6ZU80
Q15038	Q9UBV8
P05388	Q9H4L4
Q9C0C9	Q9HAJ7
P04406	P06493
P19235	Q9UBD9
Q13616	Q99618
P42166	Q9ULX6
P46734	Q14203
P62993	Q13233
P15121	P23508
Q03111	Q9UHB7
P13994	P68104
O14978	Q9H8W4
O00716	P41182
O14543	Q9Y4H2
