#node1	node2
O75586	Q9NX70
P07437	P41279
Q6ZVL6	Q9NTJ4
P00519	Q05193
P12314	P46109
406922	P11831
P15884	Q6ISU1
P12931	P15153
P14678	Q6Y7W6
Q96BI3	Q99466
P31314	Q13642
P00519	Q9H2X0
P35557	Q92934
P35222	Q5TCQ9
O95467	P41587
P51149	P61020
P06239	Q13191
P45983	P54652
P23396	P62244
O94906	Q8WWY3
P09619	P42229
P22736	Q13162
Q86T65	Q92997
P14784	Q14765
Q14627	Q9UHD0
P12931	P14780
P53708	Q9Y4G6
P01876	P10909
Q16637	Q6UXH1
O15123	P67870
Q68DD2	Q7LDG7
Q15750	Q99558
Q04206	Q9Y2U5
P31930	Q9Y230
O00422	P31153
P0C869	P19086
P30050	Q9UKV8
P04222	P62158
Q9H1J5	Q9H461
O95865	P11802
O75558	P17980
Q14152	Q9UL03
O43292	Q13002
Q07890	Q13546
P08138	Q8WYR1
O43707	Q8WWI1
P21246	Q9Y657
P18124	P61927
Q92900	Q99459
Q02224	Q96BD8
P51817	P62158
P49642	Q00653
Q15047	Q8TAD8
P10275	Q14192
P82930	Q9UBC1
Q00839	Q9UKV8
P06241	Q9H204
P62847	P63220
P62993	Q96SB3
Q03135	Q14108
Q15796	Q9H0M0
O15162	Q9BVI4
O15297	Q00987
P29350	P48551
O00327	Q99743
Q9C0J8	Q9NP77
P36941	Q13490
Q13573	Q96QD9
P23508	P57721
Q9HCS7	Q9UNP9
O95544	Q8TBB1
P62913	Q00987
P38936	Q13098
P02741	P19838
P14625	Q9Y243
Q06455	Q9P2A4
P31947	P78406
P35222	Q14678
P60866	P62081
P61586	Q12967
O75365	Q13617
Q8ND25	Q9Y2X8
P08754	P32246
Q8TEU7	Q96QZ7
Q12913	Q15118
P01243	P84022
P06756	Q16787
P34903	Q9NQX3
Q8IXH7	Q8N163
P01583	P29466
P28482	Q96MX0
P18084	P43146
P16118	P22612
O15514	P24928
O95467	Q99614
P30480	Q9H773
P16471	Q13191
O43815	Q9Y6E0
O00422	Q6NXE6
P27986	Q9NSC5
P29350	P51692
Q969Y2	Q9NP50
P22626	Q9HA38
Q9NYG5	Q9UI95
O00482	P58012
O75943	Q13535
P63096	Q14833
P14616	P42338
P05107	P61224
P05015	Q13651
P20333	P35580
P24864	P51946
P27824	P49286
P00505	P01241
P22694	Q15361
O43561	Q15464
O60869	P05412
P33240	Q9NRR5
Q13308	Q9NQB0
P08754	Q8WYR1
Q9HAU4	Q9NP98
P01116	Q9HC35
P15408	Q15759
P62873	Q8WYR1
P26010	P56945
Q03113	Q3MJ16
P19447	P43351
P11182	Q9HCK5
P62633	Q9BUJ2
P61587	Q8IZD9
P14902	Q96I34
Q04917	Q92974
P51610	Q96EK4
O43237	Q9NY65
P27361	Q13480
P10721	P52797
O43237	Q13885
P18887	Q01094
O00206	Q15399
P62714	Q13698
P38405	Q96KK4
P15153	Q68EM7
P62258	Q0VF96
Q15303	Q15700
P09651	Q16539
O96020	Q01094
O14576	Q9GZM8
P62993	Q9UL51
P60174	Q9GZR7
Q13242	Q15365
P49716	Q6ZNG1
P68032	Q07157
P08754	P63215
Q00839	Q13616
P35222	P51817
Q92673	Q9UJY5
P39019	P40337
P16520	P51817
P52736	Q16659
P11802	P24864
P17066	Q13233
P62979	Q12933
P12931	Q14247
P98160	Q14112
P46783	P62857
O00203	Q13573
P60660	Q14164
Q13188	Q6ZTQ3
P38936	Q9UHC7
P06756	Q9HBI1
P04637	Q9HCN2
P10275	P62136
P05015	P24394
P31152	Q9H1R3
P15170	Q13310
P08069	Q15389
P36405	Q8WZ55
Q15633	Q9UPY3
O14576	Q8NFZ8
P62993	Q8WXR4
P40337	P43307
P13994	Q9Y2I6
O15530	P12956
O43670	Q15428
P38405	Q8NGG2
P62910	Q02878
Q6UB35	Q9HC98
Q07955	Q13242
O15264	P11940
Q13315	Q96B54
P63096	Q08462
O60941	Q9NRG1
Q9NV56	Q9Y265
Q71F56	Q9BTT4
P09471	Q00975
Q8IXJ6	Q9NP81
P01106	Q07889
P19438	Q9BVA1
Q16777	Q93079
P31785	P52333
Q99873	Q9Y5L4
O75159	Q9UHF4
P23229	P48509
P08865	P62266
P05060	Q6IBS0
P32121	Q8NG80
P99999	Q9BZ95
O15144	P61158
P29966	Q9UFF9
P05231	Q00653
P29466	Q12772
P49116	Q99570
P45983	Q99956
C9JDP6	O75508
C9JDP6	P56856
Q9NYJ8	Q9Y4K3
Q13573	Q9H223
P13073	Q07820
P04049	P14784
P19387	P24928
P35626	Q6IF99
Q01844	Q9NS23
P17612	P35222
P07359	P43405
Q8NEM0	Q9NYB0
O15524	P40238
O60264	Q01826
P35659	Q10586
Q8WUI4	Q96KK5
Q6VN20	Q96KG7
P08575	P20701
Q14164	Q9H329
P25116	P63092
Q8NE71	Q9NX58
P38398	Q92922
P05026	Q8IZ69
P18146	Q969P0
P20936	Q9UM73
Q8WVM8	Q9UPT9
O95376	Q13315
Q14527	Q9NS91
P23458	Q8N6P7
P38405	Q8N628
P04085	Q02763
Q01082	Q9NQ66
O15344	Q9Y2X8
P18124	Q04206
P04637	P31947
O14965	Q49MG5
Q8WXI9	Q9H3N8
Q6DRA6	Q9Y5B9
Q9BQ83	Q9NSB2
Q02447	Q92819
P20073	Q8IV08
P63000	Q15286
P15153	Q92556
O14920	O95786
P16871	P27361
P30307	P31947
P07947	Q8IZP0
O60716	P15153
P11940	Q14CS0
P52564	Q16512
P09496	Q9GZQ8
P62873	Q9HBW0
P04183	Q5UIP0
Q86YT6	Q96B02
P68133	Q9Y265
P01567	P08887
P43631	Q06124
P07900	P50502
Q13485	Q8TAK6
P50570	Q9NZW5
P15880	P25398
Q15008	Q9UNM6
P05107	Q9Y3P9
Q9UBC1	Q9Y676
O15085	P62745
P19419	P63279
P20338	Q13526
P51817	Q8TD86
A8MYU2	Q13237
P11229	P63218
P20936	Q15303
P48436	P51817
P25054	Q15047
P30559	Q01668
P08912	P50148
P19367	Q16665
O15524	P51692
P27361	Q68CJ9
P46934	P61077
Q13535	Q5VUA4
P50151	Q96PN6
Q9UHI6	Q9Y478
P21796	Q15459
P06241	P07900
Q13573	Q99729
P07996	P18084
P22612	P49768
O43374	P62070
P25787	P60900
Q13547	Q8N9N5
Q01081	Q9UMS4
P31949	Q9Y4K3
P49815	Q9NX09
Q16629	Q8IYB3
O95433	Q9H5I1
P56856	P78369
O14610	O60503
P04406	Q14653
O14508	Q9Y4H2
Q13573	Q5SW96
P27694	Q9BX63
P0CG48	P23246
P23508	P99999
P05129	Q96KS0
O00401	P42684
Q14CB8	Q9NSB8
A0JLT2	P52434
Q03111	Q9HC52
Q14195	Q9NRI5
Q9P0U4	Q9Y573
O95757	Q15853
P05455	P49863
O75044	Q9Y6N7
P20963	P43405
Q16553	Q969H8
P08670	P35900
O43432	P42574
O15264	P08754
P38405	Q8WZ94
O15479	P10276
P08631	P08637
P01009	P10114
Q16566	Q99941
Q12888	Q92547
Q92945	Q9UHX1
O75746	Q9Y5J5
P62269	P62273
O15198	P27361
P54132	Q15554
P01563	Q13651
P62158	Q13972
P24928	P38398
P49917	Q96T60
P12236	Q9UKV8
P09327	P12931
Q01094	Q05682
A6NH00	P35626
P04275	Q05397
P30304	Q09472
P98170	Q8WVN8
P60602	Q07817
P10070	P22694
P25788	P25789
O15264	Q8WZA2
P15923	Q02535
P21333	P25054
O14640	O60353
Q96PU8	Q9BQA1
P48023	Q96RU3
O15111	O75569
O60739	P67870
P13236	P51685
P01112	P53779
Q01094	Q6PL18
P06401	P53778
P00734	P25116
P27824	P30050
P10398	P45984
P11142	Q00613
P08670	P41219
O60861	Q9Y2A7
O95503	P51784
P60568	Q09472
Q9UQB8	Q9Y6W5
O95155	Q99615
O15417	Q14457
P61313	P62891
407021	Q00534
P98161	Q05397
P32246	P42830
P52198	Q9BRR9
O14867	P18846
Q9HCS7	Q9ULR0
P08311	P49913
O75251	P56556
Q9BVP2	Q9NX58
O96017	Q9Y248
P62258	Q01814
O76039	P00519
P15336	Q92793
Q13257	Q9H1A4
Q13185	Q13263
P17301	Q8WYR1
P30480	P99999
P0C0S5	P62805
P31152	P51812
Q01081	Q9UBU9
P62633	Q9Y3U8
Q15744	Q99062
Q96CV9	Q9UET6
O14777	Q16254
Q14164	Q9Y3U8
P46776	P61353
O14625	P51681
P53803	Q9Y250
P23258	Q96JB5
Q14653	Q86WV6
P26368	Q99717
P11233	Q3MIN7
O95382	P31947
Q14457	Q9Y4K3
P40763	P42701
O14544	P01589
Q92793	Q99966
Q92934	Q9P286
P20226	Q15572
P05231	P17181
Q5VWQ8	Q9BY43
P40337	P49773
P01579	P10914
P39656	Q9BV47
P12004	P38936
P14672	Q05513
O15198	Q8N3P4
P06241	Q06418
P15336	Q13485
P15056	P61224
Q16778	Q9P0U4
Q13177	Q92730
O95999	P62987
P49639	Q9BQ66
Q12834	Q9UJX5
P46092	Q99616
P23193	Q8WVC0
P16144	P54253
P26951	P48736
O43187	Q6SZW1
O94979	Q9NR31
P04899	P21462
P10912	Q9NPF7
P13569	P17612
P15260	P29350
P04637	Q7Z6E9
O14893	Q9UL18
P35558	Q9UGI9
P27361	Q07889
P49674	Q7L7X3
A6NM45	P56750
Q14674	Q8WVM7
P25025	P34947
Q9UET6	Q9UJZ1
P61077	P98170
Q09472	Q8IZL2
P57103	Q13237
O14610	P22612
P10398	Q92614
P40426	Q6RW13
O76000	P32121
P62857	Q9BQ66
P10244	Q9GZQ8
O75970	O95477
P63104	Q5T200
P46527	Q16254
Q59EK9	Q9BXS5
P04626	P51451
P23229	Q16363
O00329	P35968
O00221	P04350
P80098	Q08117
P53779	Q86UL8
O94921	Q9HCE7
Q96L34	Q96N67
P35626	Q8NH04
P40937	P40938
Q16760	Q92956
Q96Q83	Q9NV56
P09651	Q01130
O00459	Q9Y4K3
P08670	P40763
Q12805	Q16610
P14780	P35070
P31947	Q8TEW8
Q99459	Q9BQL6
O60262	Q15759
Q9UBS5	Q9UBU3
P06213	Q9UEF7
O15392	P07900
O95198	Q9P0U4
O00329	P60763
P10828	Q09472
P49005	Q14191
P29992	P34998
P06702	Q00005
P23634	Q12959
P45985	Q99683
P02458	P18564
P16104	Q9UBV8
P67775	Q13315
P31947	Q8WUI4
407019	P37231
O43353	Q9H173
P08123	Q05397
P35626	Q8NH54
O95832	P56747
P54253	Q9UGR2
P54253	P63279
P05112	Q6UXL0
O00232	Q06323
Q16576	Q9BQG0
P0CG48	Q8N668
O00141	O95202
P08571	Q03113
Q8IXH7	Q8WX92
Q6UXN9	Q93079
O60880	P60953
P43146	Q9H8Y8
P48444	Q9NTJ5
P62258	Q8N122
P62993	Q9HCM9
P48023	Q8TEC5
P09619	P27986
P53803	Q9NVU0
Q08043	Q15942
Q9P2A4	Q9Y6W5
P00519	Q07890
P35626	Q8NGJ0
P28676	Q9NWB1
O95837	P43088
P55268	Q05397
O14662	O60499
O75832	P62191
O43306	P61952
O95251	P33991
P28799	P80370
P10275	Q9UKG1
P51617	Q9Y616
O75626	P42226
Q6P4R8	Q9Y5K5
Q13651	Q9UHD0
Q8N1F7	Q99459
Q96B36	Q9UGJ0
O76009	Q9ULA0
P13569	P62979
P23508	Q9UI30
O75448	Q9BWU1
Q9NY59	Q9Y3C7
P04628	Q6ZQN5
P18583	Q15654
Q01449	Q9P2M7
P0C0S8	Q92769
P42226	Q9BZP6
P18124	P47914
P61586	Q03113
P05556	P60709
P38432	Q96KG9
Q99689	Q99728
O14788	Q86WB0
O76071	P22087
Q06187	Q8WV28
P62195	Q9BRP4
P04350	Q01101
O00144	O00744
O00206	P43405
P19793	P67870
O75569	P63279
P42263	Q13224
P32969	P62906
Q8IUE6	Q9UKV0
O75159	P16471
P04156	P14136
P10275	Q92759
P29466	Q9NWB7
Q12778	Q13557
P54725	Q8TBC4
P12081	P62195
P11802	Q9P1U1
Q13153	Q8IXI1
P49336	Q15648
O75439	P27448
P60484	Q8WYR1
P49411	P56537
O75044	P17081
P40337	Q92839
P56537	Q9BZE4
O00506	Q08379
P09651	Q92973
O43169	Q9Y4K3
P25100	Q03113
P26006	P26012
P01889	P38606
P55211	Q05513
Q6GPH4	Q96CA5
P40763	Q00653
P18146	Q6NUT2
P21127	Q13153
P10074	P38936
P04628	Q9BXY4
P07900	Q9UKG9
406913	P46109
P15924	Q9BSL1
P68104	Q9BX70
P15880	P62979
P17081	Q9UPT5
Q08379	Q96HA1
P07333	Q92569
Q13263	Q9UQK1
P15153	Q13017
P05129	Q9NYA1
P02462	Q9UKX5
Q15831	Q7RTN6
P17535	Q9HBE4
P49407	Q15835
P62993	Q92947
P15924	Q00005
Q16531	Q5T6F0
A8MYJ7	P60510
P45985	P78527
P23508	Q13642
P98082	Q96CW1
P04626	P16885
Q14738	Q9NY47
P04004	Q9UKX5
O95427	Q9H1C4
Q14457	Q92574
P00395	P60953
64397	P06241
P01106	Q6PL18
P04083	Q9BQ83
O43186	P26367
O75940	Q14684
P11940	Q99700
406984	Q8WW38
Q8IUC6	Q9UHD2
Q04637	Q14164
P15153	Q53QZ3
Q8NDP4	Q9BQ66
O43791	Q7Z7J5
P62070	Q9NS23
Q5QNW6	Q9C005
O15209	P98095
Q14566	Q9UNS1
P27361	Q96BA8
Q16891	Q8NCD3
Q12933	Q14164
P28799	P98160
Q12988	Q96DV4
P11362	P49765
Q13315	Q99873
O75970	P47881
P15336	P25490
O43617	Q9Y296
O15111	P24385
Q01201	Q3ZCQ8
Q6ZVD8	Q9Y243
P05106	P78509
P61020	Q8NEB9
P12980	Q15700
P10244	P78396
P12004	Q9NRF9
P62820	Q9H8Y8
O15519	Q16658
P09874	Q13315
P51149	Q9NY65
Q96JB5	Q9Y3C8
P23381	Q9UBC3
P07900	Q15750
Q99558	Q9Y265
P61970	P62826
P43246	Q13315
P04085	P11362
Q13573	Q13838
Q9UDY2	Q9Y4K3
P22607	Q9H4P4
P63167	Q9NRX3
P08107	Q99558
P29622	Q15750
Q15323	Q9ULA0
Q9HAU4	Q9UJX4
P00747	P07355
P17858	Q16665
Q8IY92	Q9UDV7
Q96JN2	Q9NRI5
P46934	Q9H469
O00144	Q00722
P51668	Q9HCM9
406933	Q96JJ3
P17301	P22612
Q9NYG5	Q9UM11
P05106	Q9Y4G6
Q99873	Q9C0J8
P01588	Q6UXL0
P11171	P40939
P23458	Q14289
P05771	P63211
Q5T1C6	Q9Y243
P60604	Q05086
Q13145	Q14332
Q03013	Q05516
Q13501	Q96GM8
P16989	P49841
P30260	P63098
O15145	P59998
Q5VVX9	Q7Z419
P35225	Q9HBE5
O15111	O95786
O75970	P78369
P00441	Q15046
Q15172	Q9UBN1
P62136	Q9Y698
P22607	Q9HCT0
P06213	P22681
P02686	Q96QT4
O43918	P00519
Q13332	Q9P2H0
P0CG48	P63104
Q96EY7	Q9UL18
P30050	P63173
Q14318	Q16539
Q16821	Q8TD86
O60739	P24534
O95622	P04899
P0CG48	P12931
P10242	Q9H2X6
Q99650	Q9UHD0
Q13315	Q9HCE1
P25490	P62942
Q13315	Q9Y2H1
P08069	P62258
P26368	P54253
P62873	Q99759
P49810	Q9UMX0
Q14194	Q9Y3A3
P04792	P19838
P04899	P48039
O43157	Q9C0C4
P30153	P51959
Q13114	Q9UHD2
Q92730	Q9P2F6
Q9BPW8	Q9H492
P18146	Q15723
P31751	Q96BA8
P63000	Q13009
O14788	P61968
P50914	P61513
Q14103	Q16629
Q13315	Q9P244
P08588	Q96AW1
P50616	Q5JQF8
P08559	P52429
P62258	Q04912
P35626	Q9NZP0
P04637	Q9BRQ8
A6NI79	Q9NYL2
P10275	P15923
Q01844	Q16558
P29460	Q99665
O60641	Q5VST9
P08754	Q68DD2
O75506	Q00613
P30480	P52907
P42262	Q14957
O00148	Q99459
P06241	Q9BWW9
Q92956	Q9P2H0
P19086	Q13255
P68133	Q07890
Q92636	Q9H0R8
P38936	Q9BT40
O95402	Q9BUE0
P20827	P54764
P19532	Q14152
Q7Z6B7	Q9HCK4
P15153	Q92997
O95400	P14866
P01111	P50148
Q14691	Q9BVW5
Q14738	Q8IZS8
O95402	P42166
O15264	Q99733
Q13444	Q8WV41
P99999	Q9Y478
P12814	P53708
O00264	P23508
P23443	P30154
Q12904	Q14164
P15822	Q92979
O00468	Q5VTD9
P26651	Q9HAU5
P40225	Q9HC73
P55774	Q9BZ71
P26012	P29400
P38936	P41235
Q93079	Q9BY41
O95696	P08670
P62979	Q13077
O60285	Q8TCW9
Q8IYH5	Q92830
O95661	Q01094
O00206	O43353
Q7L0Q8	Q7Z6B7
Q03518	Q15788
P53779	P62834
O94972	Q8N5R6
P29597	Q8N6P7
O95232	Q13315
Q9HBW1	Q9Y2I2
Q92793	Q9UJU2
P10144	P55210
P62258	Q13627
P31749	Q92569
P13725	Q01344
O14807	O15211
P31749	P46527
P63000	Q12929
O14980	Q9HCE7
Q14627	Q969D9
P52907	Q14164
Q13077	Q15233
O76071	Q9BWH6
Q14469	Q9NVI1
P01137	Q8NER5
O60934	P24864
Q07890	Q969Y2
P49662	Q15008
O00459	P04234
P16104	Q9H2F5
P52292	Q01201
P07996	Q96LA8
P50570	Q96RU3
P23508	P68402
P04264	Q86UA6
P62834	Q13905
P0C1Z6	P55199
P60763	Q8TEW0
O75528	Q96ES7
O95073	O95400
P17693	P43632
P13612	Q8WWW0
28881	O43521
P42574	Q13490
Q9H160	Q9UK53
P16104	Q96FW1
P43403	Q9UQC2
Q00987	Q8WWW0
P21359	Q07890
P22681	Q14289
O00291	Q14790
P04183	P38936
P78536	Q04721
O75909	Q16181
P49711	P67809
P62979	Q9NZ52
O95751	Q9C0A6
P01106	Q14839
Q96C92	Q9Y2X7
P02511	Q9UKT5
Q9H5I1	Q9UFW8
P09038	P35968
P28065	Q03519
P25445	Q5T3J3
P42338	Q13094
P04637	Q9H160
Q04724	Q9Y261
Q86TM6	Q9H832
P04279	P22735
P15172	P47928
P35580	Q14164
P05771	Q8IV61
Q99459	Q9BZK7
P10321	Q99706
O95359	Q02224
P46108	Q7Z408
Q13535	Q8N680
P23193	Q6P1J9
P62807	Q9BTM1
O15230	P13612
P43403	Q13191
P31749	P49841
P62263	Q9Y3D8
P35968	Q9HCE7
P08133	Q07157
P27361	P51817
P46060	P63279
P31431	Q8IZC6
Q13432	Q99547
O00418	P17252
P14923	Q12913
Q13315	Q8NCE0
O00585	Q9NRR5
O00161	P43243
P53779	Q07812
P06493	Q96R06
P07359	P61981
P10415	Q15257
P48431	Q92858
P01178	Q92731
O14639	Q12933
P38398	Q12962
O14512	P32927
P32121	P58181
Q16665	Q9BZW7
O43237	Q96AH8
O76093	P22607
O14646	P18146
P46379	Q16637
P61086	Q9UHQ1
P00519	P06241
P01116	Q8TD86
P63208	Q8TCJ0
Q15475	Q99502
P67775	Q08289
Q13309	Q14005
O00221	O75170
P42226	Q13287
P35225	Q01344
P04062	P21281
Q96B26	Q9NQT4
Q7L0Q8	Q9H7D0
P02751	P49023
O75689	Q02156
P04637	P42771
Q12873	Q8N6T7
Q8TAX0	Q9UET6
Q8N2W9	Q9UKY1
P19105	P60660
P22736	P31751
Q15654	Q9HBW0
P05109	Q9H0B6
P98161	Q13563
O15524	P42226
Q8IUQ4	Q9HD26
Q9NRQ2	Q9NV56
P62328	Q9BPY3
Q13573	Q969G3
O43463	P46527
P06493	Q9UJX3
P15509	P23458
P13232	Q9UHF4
Q01081	Q13242
P49768	Q96BI3
P62191	Q9UL46
Q13573	Q9UBP9
P27348	Q02241
P07741	P23508
P57739	Q8N7P3
O15399	P22694
P08865	P62263
P07942	P16144
P51610	Q9NS37
P11161	P56645
Q13315	Q5JTV8
P32969	P61513
P15976	P25791
P09619	Q07889
Q8N163	Q9Y2Q3
A4D0S4	P16070
P13569	Q07157
P55157	Q9HCM9
Q8TF46	Q9Y3B2
P25686	Q13485
Q5VU43	Q9UHA4
Q14562	Q96FV9
P52272	Q15653
P43360	Q9Y679
Q16777	Q99496
O43172	P49759
P55036	P60900
P05106	P29353
P14373	Q96B02
Q71U36	Q9BVJ7
Q13315	Q96RU2
O15287	Q9HB96
Q06190	Q7Z3S7
P11171	P24941
O43194	P49841
P12883	P68032
Q13555	Q8NEB9
P84090	Q92905
P11177	Q14164
O00222	P63215
P26599	Q13151
Q6UXL0	Q8IU54
Q99880	Q9UKV0
O15198	O15550
P30872	P63096
Q16665	Q58FF8
O75251	Q9UI09
O14686	P51610
406911	O75626
P34931	Q13233
Q14686	Q96PK6
O14920	P55210
Q15834	Q9Y580
Q6P1M3	Q9BYG5
P04637	Q53T94
Q08345	Q16659
P0CG48	P35226
P15248	Q99062
Q8WTW3	Q9H9E3
P26006	P26010
P27986	Q8NFW9
O14836	Q99836
P12644	Q04771
P32780	Q9H7U1
P04075	P63104
P07355	P23508
P01243	P61247
Q5T5P2	Q8IYF3
O00206	P12931
P05412	Q15744
Q14191	Q96S55
P50281	Q15109
P01106	P0CG48
P30084	P60520
P12757	P14543
P31946	Q13813
P62873	Q15147
P48506	Q16236
Q13315	Q8IX01
O60508	P26368
P52333	Q9HBE5
P20333	Q00839
O60291	P51965
P04637	Q9Y230
Q9H9F9	Q9Y5K5
P21673	Q9BQ70
P04637	Q96FX8
O14641	Q8IYF1
P06737	P27482
Q02556	Q9BT78
P01889	P49411
P26368	Q8N7W2
P05230	P22607
O76093	P17948
P35354	Q9UNS2
P10912	P46108
P16520	P43657
P18848	Q9NR55
P33778	Q16777
P17813	P18146
P18754	Q04724
P14598	P19878
P12757	Q9UHP3
P10600	Q9UBG0
O00459	P31751
P0C5Y9	Q9Y5B9
A4D0S4	P17301
P18077	P62993
Q8TDR0	Q9NTJ3
P28222	P62873
P10275	P23771
P10242	Q00610
P11021	Q30201
P01570	P40189
O14777	P51955
P47813	P55010
P01569	P26951
O00501	P56747
Q16795	Q9Y6M9
P19875	P46092
P27348	P46527
O14508	P42701
O14641	Q9HC62
Q13555	Q86YW0
P10644	P35250
P29597	P78552
406967	P04637
P28069	P37231
P62263	P62701
O60879	Q13185
P27361	Q9Y508
Q92830	Q9H0E3
P06239	Q9HD43
P09341	P46092
P10644	Q9Y6D5
P38405	Q8NGP9
Q8WV48	Q9UGN5
P62308	Q969L4
P05771	Q15080
P27449	P51149
P52272	Q92844
O14640	Q15796
Q9H8Y8	Q9NXV2
P48051	P63215
O00505	P07910
P04271	Q00987
P56880	P57739
P63208	Q9NRD1
Q16254	Q9BR39
P10412	Q9Y468
Q9H9Y6	Q9Y2S0
P13569	Q9Y2H5
A2IXV5	O75015
P19387	P62875
O60503	P63096
Q07889	Q13797
P42331	P60763
P62851	P62993
P39023	P62750
P04350	Q12933
Q00534	Q7L590
P62241	P67870
P01024	P01031
Q07912	Q13243
O00548	Q9NZ42
Q15819	Q5UIP0
P30153	Q15172
P51817	Q02930
O00505	P01889
P61224	Q86WV1
O00214	P06756
Q9HC52	Q9UPN9
P05000	P40189
P35080	P40337
P18146	P28562
P46527	Q9Y243
406984	Q9P2R6
O00159	Q9GZS1
P68363	Q13885
P46977	Q9NQX7
P51168	Q96PU5
P01106	Q9H8V3
O60925	Q9H254
406916	P35226
P49792	Q8TEM1
Q8IZS8	Q9Y5P8
B5ME19	O14602
P26373	P62910
Q99962	Q9BWN1
P62826	Q9BQ83
Q07889	Q9UKS6
P37173	Q8NER5
Q15287	Q9Y383
P56750	Q8N7P3
P08100	P49407
P12272	P49407
Q9BZS1	Q9H334
Q15834	Q9UPT5
P62805	Q13619
P01583	P01584
O43889	Q8TEY5
O14508	P35568
P63244	Q8IWX8
P04637	Q16611
P14635	P38936
O00716	O75496
Q9UK41	Q9Y294
P47870	P54257
Q13464	Q13480
P46937	P67775
P01570	P16471
P07333	P17676
P28482	P84095
Q13131	Q92574
Q01081	Q13151
P30307	Q08050
O95999	Q14525
O60506	P62633
O95251	Q96BR9
O60671	P27695
Q96C10	Q9NXV6
P53778	Q9NZJ5
P56182	P68104
P52272	P52756
Q14432	Q9Y6D5
O00401	P63261
P01889	Q9Y262
P61247	P62266
O00193	P30480
P67809	Q86V81
P52434	P62487
Q05655	Q68DD2
Q96MA1	Q9NWB1
Q08828	Q9UQM7
O60493	P12931
O43294	P40337
P16333	P26992
Q16612	Q96ID5
Q9NZI8	Q9UL18
P01857	P02671
P19320	Q15080
P68133	Q59H18
P18754	P62879
O43927	P41597
Q00653	Q08211
P27448	P31947
O43318	O43353
Q13162	Q8NBS9
P12956	Q96P48
406947	Q13158
P07359	Q9NPF4
P53355	Q86YT6
O95793	P31749
P51665	Q9Y4K3
Q15008	Q99460
P55795	Q92620
P32121	Q6IFN5
P01106	P49720
O94916	P10275
P20042	P43146
P17655	Q9H1Y0
P10599	Q99683
O00213	P04626
O43390	P07910
Q14686	Q92753
P98160	Q6VMQ6
P02751	P98095
P15927	P46063
P30480	P49189
P78317	Q96LR5
Q15369	Q93063
P63104	Q9Y4D8
P07947	P46527
Q13315	Q9Y6D5
P26010	Q12929
P12004	Q9UET6
P63165	Q99856
O75038	P14314
P38936	Q09028
P15153	P85298
P68032	Q14847
