#node1	node2
O95071	Q8IY92
P30530	Q63HR2
Q9GZM8	Q9Y383
P52948	Q9H1B4
P63092	Q86XP0
O00213	Q07954
O14920	Q13546
P24666	P40337
P06213	P52797
O95402	P42166
P55157	Q08209
P47869	P54257
P61981	Q9H307
P32121	Q8NGR6
P46379	Q5JPE7
O15123	P08138
P43307	Q9HAW0
P62330	Q9BXR0
P18564	Q13753
P15336	Q8TDY2
Q13546	Q9H171
P07951	P68032
P63104	Q9Y4D8
P01574	Q13007
P62081	P62249
Q00597	Q9NW38
P67870	Q15287
P68431	Q13619
Q13315	Q9Y4A5
P06401	P53779
P38405	Q8NGF6
O43513	Q9BZE3
P35232	Q9HCU9
Q13315	Q9NYB0
Q14289	Q14511
Q8N7P3	Q9UDY2
O75116	P27361
P22694	P62158
Q12931	Q99459
P37231	Q9BYK8
P21246	Q9UBS4
P04350	P68366
Q08211	Q8IWZ8
Q13573	Q9P2I0
P09914	P52630
O15264	P35236
O15335	P16144
O76061	P19387
Q99469	Q9BU70
P43364	Q9BQ70
P43364	Q8N720
P12757	Q09472
P60763	Q9UKW4
O14508	Q99650
P29466	Q9NWB7
P0CG48	Q96S55
O15534	Q13616
P30480	Q02750
P52198	Q9NZN5
P52597	Q08170
406901	Q6DJT9
P61247	Q9H6J7
O95704	Q9HBG4
O00217	O95168
P55036	Q99460
P04908	Q9BY41
Q13557	Q92793
P19838	P46531
O14625	P51684
P49841	Q9H095
Q09472	Q12906
P67870	Q99698
P01566	Q13261
Q14457	Q16254
P31751	Q6ZVD8
P00519	P46937
O00144	O75197
Q9C0K7	Q9UGI9
P60520	Q13685
P55055	Q00013
O75800	Q14164
Q02641	Q9UQM7
P51677	Q9H2A7
P60709	Q9UPY6
P18146	P46527
P37173	P61586
O14686	Q13573
Q8IU60	Q9UL18
Q96FW1	Q9H1Y0
P08172	P50151
P19388	P62875
Q16778	Q9UKV0
P55854	Q13129
Q01780	Q15155
P42224	Q9UIS9
O15524	P31785
P00519	P06400
P62805	Q15788
Q99878	Q99880
P05106	Q06124
O95551	Q01543
P31270	Q03164
O00329	P60484
O15226	P35228
P08514	P12111
9757	Q15291
Q13547	Q9UBP5
P01241	P99999
P18146	P53667
P14136	P42224
P04899	P48039
O00555	P16520
Q01658	Q13952
O14508	Q9HBE5
O00716	O96020
406885	P52926
Q5JWF2	Q9UP65
Q14155	Q92888
P16104	Q969S8
P53672	P53674
Q99728	Q9Y2X7
P11940	Q9UQ80
O14495	P41182
P29323	P98172
P09012	Q15287
O95398	P53778
P62917	Q9H8M7
P54252	P54725
Q8IUE6	Q9UQL6
O15479	P61247
Q8IX12	Q9HAU4
Q08378	Q9HD26
Q14197	Q9Y2S7
P49459	P62987
P01889	Q9NP97
O15264	P31948
P14136	Q9NR12
Q12923	Q16513
Q9HA65	Q9P1Z2
P27986	Q99704
Q13509	Q6PEY2
Q99459	Q99460
O00459	P10721
P05204	Q86U86
P09326	P29692
O00522	Q9P246
O60359	Q13555
P03886	Q9Y375
O95747	Q9Y376
Q05655	Q9UP65
O00151	P35609
O60262	P22694
O00463	P25942
Q99497	Q9UBT2
Q13325	Q96BY9
O43567	P61077
Q96HA7	Q9Y2Z0
406890	P01112
P43628	Q31612
P11362	Q92915
P51965	Q86UD3
O75400	Q6NZY4
P22004	Q13873
P15735	P62140
Q00610	Q14919
O00487	Q99460
O14733	O96013
O60674	P46092
P54253	Q8NEM7
Q13151	Q15365
P01857	Q96T68
Q9Y478	Q9Y617
O15394	P04156
P55345	Q01094
P06400	P15692
P07332	Q16555
P98160	Q969H0
P08887	P29597
P30153	Q9NWZ3
P32121	Q5TZ20
O95696	Q8WYB5
P17947	P29590
O15264	P04899
P04183	Q9BRP4
P40337	P61077
Q13487	Q16533
P02647	Q9C093
P18827	Q9UQP3
O95931	P35226
Q13185	Q92793
P46379	P48304
Q02878	Q07020
Q16890	Q8IZ08
P52701	Q13315
P50151	Q9UBY5
Q15645	Q9NZF1
Q14919	Q9NWU5
P00519	Q9ULD4
P08253	P13498
O43150	P16333
P35790	Q8WYR1
P63165	Q9H2Y7
P01106	Q9H9B1
P27348	P50990
Q99759	Q9BZF9
P15336	Q6UUV9
P55196	Q96NY8
O15520	Q14512
Q86VX9	Q9H270
P30291	Q8WZA2
Q13535	Q9Y5H3
P07910	P62993
P24941	P39748
Q96PM5	Q99613
P02775	P51684
P53041	Q99683
P23769	Q92793
Q16611	Q96JQ0
P12236	Q02156
P38398	P53803
P02741	P24071
P47897	Q12933
O75038	P17252
Q13573	Q9UKM9
P0C0S5	Q9GZN1
P0CG47	P62987
P12814	Q13683
P05412	P18848
O75446	Q9H160
P02768	P49619
Q96MF7	Q9NXX6
P27986	Q9Y5X2
O14639	Q12933
Q92730	Q9P286
P01892	P43632
Q969S8	Q99879
Q16891	Q9H7E9
O00555	P09471
P49716	Q9NR97
Q09472	Q9Y230
P40337	P51148
Q01130	Q92993
Q8IYD8	Q96E14
P28482	Q13480
P13797	P40337
O60603	P01100
P62993	Q9H400
Q13485	Q13501
P16333	Q13111
P03891	P03923
P01116	Q12967
Q12948	Q99697
P06241	P35612
O76099	P38405
