#node1	node2
O95197	Q8N612
Q08828	Q13557
P60484	Q8WYR1
P78371	Q99836
P61088	Q9NX47
P48443	Q92831
Q14204	Q96IP4
P51149	Q9BVA1
P29400	Q8N5U6
P00533	Q13153
Q8TEM1	Q9NRG9
P54709	Q13237
O95295	Q99570
O95166	Q9BPW8
P11309	P34896
O60341	P68431
P54252	Q01844
O60383	Q96IZ7
P14316	P61769
A0JLT2	P51610
P17301	Q01955
P16871	P63261
P26641	Q16236
P08708	P62277
P15923	P63208
O43306	Q9UK08
P62310	P62314
O14640	Q9NPB6
Q13111	Q9NVP2
P06400	Q9Y676
P0C0S5	Q9UBU8
406906	P30825
Q9BS18	Q9UJX4
O43251	Q9P2R6
P40189	Q9UHD0
Q96A37	Q96LR5
O43318	Q13555
P49662	Q6UB35
P53567	Q68CJ9
P43360	Q9Y5M8
O94817	Q9UH99
O43242	P01241
P15509	P29460
O95067	P21333
P01892	Q8N109
Q15645	Q969Q4
P06239	P08174
O75449	O76071
P84103	Q05519
Q12933	Q5D1E8
Q96KM6	Q9BUZ4
P17612	Q99941
P42336	P50150
P08700	Q8IU57
P18124	P60709
Q14289	Q8IXJ9
P22314	P22557
O75143	Q9BSB4
P16333	Q96NS5
Q13219	Q15796
406921	A7KAX9
O43869	P32121
P30480	P51452
P35398	Q15596
P24534	Q13268
Q9H936	Q9P2S5
P00533	Q9NYD6
O14508	Q99665
P11362	Q00722
Q09028	Q9H160
P01889	Q9UBT2
Q01081	Q15366
P09917	Q8N7K0
P15153	Q7L576
Q9NVH6	Q9NWA0
P29400	Q16637
P60763	Q9BZ29
P05231	P15509
P01241	Q16186
P01106	Q9ULZ2
P56192	Q13233
Q13753	Q16610
Q13043	Q9GZQ8
Q15653	Q71U36
O75832	P48556
P06400	Q16533
P08670	P61981
P06748	P31749
P01106	Q13200
P54274	Q8WVM7
406887	P05231
P11473	Q15596
P11802	Q8N720
P14923	P35222
P22681	Q7Z698
P13693	Q16643
P11215	P61224
P06733	P16871
Q05655	Q9H5V8
O94875	Q13444
Q15084	Q86YB8
Q15427	Q9BUJ2
P38919	P63104
P40238	P41159
P48051	P63211
P78369	Q16625
P15407	P53779
O95980	P01106
P04921	Q00013
P09874	P61956
O43639	P07766
P38405	Q9H210
P19235	Q12913
P35968	Q9NR46
O94817	Q9NT62
Q15843	Q9UBW8
Q14493	Q8WTR7
P02545	Q13155
P08621	Q9BZL6
O75051	P63000
P24385	P52630
O75251	O95139
Q16552	Q96F46
P0CAP1	Q9P298
O96019	Q96L91
Q14686	Q9C005
P26368	P78362
P17612	P48058
P82675	Q9NR30
P18146	Q8IYK4
P38432	Q96CN9
Q13444	Q15645
P07602	Q05086
P29459	Q5VWK5
Q13363	Q9H171
O60941	P37198
Q14397	Q9NR80
P22694	Q9Y691
Q10587	Q16520
P45983	Q16828
Q53ET0	Q6IN85
Q96EX3	Q9Y4K3
P62913	Q9UHD2
P05413	Q07869
P10276	P43699
P08134	Q14164
P11474	Q9NPJ4
O95376	Q13404
Q00994	Q15834
O43741	Q9NP71
P47756	Q9NR96
Q13387	Q96JG8
O00221	Q00610
P01225	P41587
Q14164	Q16543
P19438	Q6GQQ9
O95782	P49757
A5YKK6	O75175
P22626	P61978
Q13315	Q8IX21
P55795	Q05519
Q14197	Q3SY69
P05113	P08887
O43318	O95999
P04629	P23470
P25445	Q12923
P14859	P51610
O43293	P04150
O43493	Q9BXS5
P21333	P51587
P22607	Q01970
O60238	Q15382
P36956	Q2TB90
O43150	P19174
P42702	Q9P0W0
P33993	Q9Y6K9
P05107	Q96S59
A6NHL2	Q9H4B7
Q13702	Q8IUQ4
P20809	Q5VWK5
P51617	Q6IA17
P07858	Q9BPY3
P04637	P04731
Q99728	Q9Y2X7
P11362	P14210
P31943	Q9NR56
P49336	Q92585
P17081	Q9UNA1
Q16512	Q9NRA0
P08708	P46783
O95622	P23219
Q9BRX9	Q9Y3C6
P16615	P20333
Q96HP0	Q96L33
Q6UXN9	Q9UBL3
Q7Z699	Q9BPY3
P62979	Q15303
O15522	P12980
O00329	P36888
P01241	P23458
P17252	Q9P212
O00161	P51116
Q13107	Q53GS9
O15211	Q07889
P01241	P35998
P26373	P61254
406991	O43609
P84022	Q9UHL9
P38405	Q8NGL1
P45983	Q9NYJ8
P38936	Q8NBE8
O95197	O95872
Q13315	Q7Z6I8
O15264	P30101
P13500	Q16570
O00755	Q9ULV1
P04637	Q8TBK6
O60739	Q16543
P42768	Q86TM6
P08637	P12314
P50613	Q13888
Q16513	Q96B18
Q8TBZ2	Q99417
P55957	Q9HC29
P41236	Q16821
Q16763	Q9Y5L0
P02766	P18848
P49336	Q71SY5
O95967	Q9NRQ2
P24864	Q13526
P61289	Q15287
P24864	Q08999
Q8NEY8	Q9H1Y0
P16112	P98095
P09211	Q16539
P08754	Q9H228
O60282	O95295
O60566	Q13547
P10912	Q9NSE2
O94805	Q16637
O96019	P01106
P0CG48	Q07812
P07947	Q8IZP0
P01138	P04629
P62979	Q13501
Q15750	Q9UIC8
P48742	P67870
P05129	Q15147
P68104	Q9HCU9
Q13009	Q7L0Q8
O75478	P01106
P30084	Q969Q1
P31751	P46527
P13612	Q13477
Q6EMK4	Q92542
O15520	P00533
P05388	P32969
P49336	Q9BWU1
P16144	P60709
P56556	P62380
Q92917	Q9BQA1
Q13418	Q86Y56
P54619	Q9BUM1
P07949	Q96J02
P40227	Q9H7D0
P78527	Q13426
P04406	Q9UHD2
P12236	P20333
P32121	Q8NGJ0
O15379	P48443
Q8IZ07	Q9H0E2
Q13315	Q15334
P29597	P48736
O60318	P25054
O60885	O75400
Q00653	Q15025
P27348	P27448
O14904	P56705
Q92905	Q99759
Q8IY92	Q9UDV7
P15822	Q92979
P15172	P62324
P54259	Q06455
Q12888	Q96T60
P35580	Q96QT4
O94906	Q9BUQ8
O94921	Q8ND76
P84022	Q9HDC5
P08754	Q14832
Q15287	Q92614
P04070	P08651
P01137	Q15796
P61073	Q16656
P08708	P15880
P30480	Q9BWD1
P32302	P80098
P05015	Q13261
Q96DE5	Q9H1A4
P22612	P55011
O95819	Q9Y6K9
P24522	Q9H254
Q13936	Q9Y5P8
O43143	Q8N5F7
Q15118	Q8WTW4
Q14703	Q92956
P01588	P10276
P16220	Q96RG2
P01242	Q5VWK5
P30307	Q13554
Q15147	Q9BYG4
O00459	P36542
P28472	P67775
P04637	Q14526
P04350	P19838
P30450	P43628
Q0VDF9	Q9UBR2
P46094	Q16627
O15550	Q15291
P20618	P53350
P15311	P16070
P30050	P32969
O14544	P14784
P33240	Q6P1J9
P10914	P42229
P42574	Q92851
P22695	P31930
O75970	P41595
P08887	Q9GZX6
P14635	Q99828
O75365	Q92616
Q01094	Q9NS23
P38405	Q8N0Y3
O15264	P49137
P62136	Q8NI77
Q13418	Q9H2U1
P54619	Q96A54
406886	P01111
O15061	Q9Y4J8
O75554	Q01844
P84103	Q86U42
Q15084	Q92956
P02741	Q92496
O14908	Q13641
O14807	Q96PV0
P41220	Q08345
P01570	Q13568
Q9HCS4	Q9P1Z2
P54725	Q99460
O75078	O76061
P04004	P13612
Q8TDB6	Q9Y2X8
P61086	Q8N2W9
P25942	Q12933
Q01844	Q96CB9
P14635	Q01094
O43920	O75489
O14508	P35568
O14787	O95988
P30480	Q15631
P17813	P37173
Q13546	Q8TEL6
Q7Z6L1	Q9Y4P8
P55273	Q9HA65
P16871	P29460
Q8NHH9	Q9NS25
A3KFT3	P32121
P32121	Q8NGE3
P63151	Q9NWZ3
O95715	P51685
P62191	Q5VTR2
P42166	Q99459
Q8NEB9	Q92622
P24522	P38936
P22415	P36873
O15519	P10275
Q29RF7	Q7Z5K2
O95400	P26599
P30153	Q9H7D0
P46531	Q04864
P15498	P43405
P84103	Q15365
P39019	P62280
P13612	P63261
P10275	Q6AZZ1
P01106	Q92925
P46199	P67870
P55795	Q9BWF3
Q9NX70	Q9UHV7
Q5JSL3	Q9HBH0
P04792	Q04206
P41221	Q9H237
Q5JY77	Q96KB5
P11171	P61923
P01112	P50148
P10827	Q15648
Q14197	Q9BYD6
O00459	Q12933
P09341	P49238
P50616	Q99717
O43586	Q9UMN6
P49703	Q15796
Q9NW08	Q9Y250
406933	P45985
P61513	Q92901
Q96JB5	Q9H2U1
P82912	Q14197
Q15047	Q96RU7
P17535	P24385
O15519	P22087
P18564	P56945
Q03111	Q03164
Q6IA17	Q99836
P80188	Q9BYH8
O43921	P21709
A8MTJ3	P08100
P18146	P46527
P18206	P55084
P08754	Q9H492
Q13547	Q93079
O14746	O60832
Q00987	Q96FW1
406933	P61812
P19235	P29460
P62714	P63151
P27361	P40763
Q14247	Q9UBN7
P63104	P68363
P63211	Q8WYR1
P48454	P63098
P29350	Q99706
O95985	Q9UKJ5
O60739	P62854
P07437	Q9Y4K3
P54710	Q9UEF7
Q02878	Q9UL18
Q15370	Q9H765
Q9BTP7	Q9NVI1
P40933	Q969J5
P06748	P10914
O15264	Q8WZA2
P22087	Q9NY93
Q13797	Q9UKX5
P47898	P62879
A5YKK6	P19793
P05771	Q14344
P60953	Q9H8S9
P52657	P62380
P42574	P49023
O00522	P62834
Q96LR5	Q9NVW2
P55957	Q14194
P36897	Q9Y5K5
Q9BUV8	Q9UBB4
O95222	P35626
P30443	P43632
P30260	Q9NYG5
P82251	Q9UKV8
P19174	Q92831
Q16891	Q99816
P49459	Q6ZT12
O00459	P01111
P12931	Q13873
P46459	Q05209
P46108	P53779
A2IXV5	O75015
P10275	Q02548
Q6AI08	Q9NZN5
P84022	Q13642
P19838	P60660
P48736	Q08881
P46527	P62877
P0CG48	Q8N488
Q16637	Q96HA8
P61088	Q9H6Y7
P29474	Q13557
P62993	Q15078
P00395	P60953
P60983	Q9Y4K3
Q13127	Q9Y297
P40145	Q8TD86
O15145	P63261
O43318	O43734
O43303	Q8ND90
P08069	Q6PIS1
P31942	Q92841
P33992	P62805
O43639	Q16513
P27694	Q13156
P08069	P63092
O60343	Q9NR30
P01106	Q9ULX6
O14908	P04629
494336	Q02750
P28482	Q14247
P48544	Q9HAV0
P08700	Q9HBE5
P09038	P16234
P63173	Q07020
P40238	Q8IZJ0
P04637	Q96PG8
P78504	Q04721
P0CJ68	P25090
P02462	P16144
P35498	Q9UK08
P24855	P68133
P28749	P63167
A0JLT2	Q96RN5
Q00059	Q8WVM0
P30050	P50914
P17948	Q03014
P33991	Q9UBD5
O75694	P30480
A6NM45	P56746
Q9NZ52	Q9UJ41
O75947	Q14197
Q14197	Q96EH3
O00574	P09341
P31947	Q9UJM3
P15153	Q14289
P08631	Q08881
P16104	Q15907
P49914	Q9Y3Q8
Q96JB2	Q96MW5
P05386	P61313
O75400	Q8TBK6
P41567	Q13347
O60739	Q13155
P19438	P63000
Q00987	Q15717
Q14765	Q15306
O15040	O95166
P0CG48	Q15750
P16452	Q99684
O14965	P53350
P08670	Q14203
Q14457	Q9H3D4
Q8IYH5	Q9ULM3
O95714	Q8IYW5
O60266	Q13554
P16104	P51531
P0C0S8	Q92769
P01242	Q13651
P26368	P52597
P51817	Q6IN85
P49238	P49407
Q92698	Q92878
P11234	P53779
P08107	Q99558
O60477	Q00653
P63261	Q9UKX3
P22392	P50502
P07910	P63104
O95169	P51970
O75886	O95630
P15559	Q16236
O00339	P53420
P07996	P61812
Q14CB8	Q92730
P31948	P53041
P13612	Q13753
P30622	P53350
P27348	P30305
P01275	P48546
P62140	Q8N726
P38405	Q96R27
O43676	P03905
P22626	Q86V81
Q92731	Q9Y2X0
O43143	P01106
Q15714	Q9Y241
P17948	P23467
O75925	P03372
P11047	P13612
P51513	Q15365
P46108	Q15036
Q9UL45	Q9Y3C0
406981	P54253
P56524	Q5QNW6
P61073	Q9NRJ3
P23470	Q13480
Q8WYR1	Q9HBW0
P53708	Q9HBI1
O60493	P23508
P40429	P62899
O15524	P58753
O43353	P63279
Q13137	Q86VP1
406948	Q9NP90
P30153	P31751
Q01201	Q93008
Q13651	Q9NPF7
P62314	Q15428
O43186	Q8TC57
P54619	Q49AN0
P27986	Q9ULH1
P18848	P35638
O95166	Q32NB8
406991	P40763
P16144	P35443
P10914	Q96AZ6
P10721	P29350
Q12906	Q13535
Q13315	Q99592
P62333	Q99460
P17931	Q8WUM4
P01100	P56279
P31946	Q9H1K1
P18206	P27658
O14893	Q9NRG4
P04004	P05121
P16220	P60983
P29466	Q13153
P12757	P14543
P18146	P48426
P62899	Q14164
P09874	P55854
Q13347	Q99613
P05106	P50552
P53582	Q9BRT8
P15407	Q15853
P60953	Q13576
P40337	Q3ZAQ7
P35626	Q8NGN1
P54259	Q9NWB1
P61313	P62899
P12643	Q13873
P12956	Q00653
P63092	Q9H1C0
P21918	Q14344
P26012	P60709
Q96DI7	Q9BUQ8
P53539	Q15759
O00422	P24385
O75376	Q15303
Q13191	Q5VWK5
Q6FHJ7	Q9GZT5
P0C1Z6	P62805
P56747	Q8N7P3
O14508	P40189
P32121	Q8NGC7
P53355	Q9H553
P23508	P68402
O15259	Q14315
P68104	Q9NRR5
P17252	P31431
P07333	P11487
P10275	Q9H3R0
Q13315	Q92575
O15335	P16144
406991	Q13126
P05412	P20702
P61513	P62750
O15511	Q92747
P20809	Q01344
Q96BK5	Q9Y2Q5
P42830	P49682
P13378	P38936
P20809	Q8IU57
O43447	P18146
P11831	P43694
P14324	Q9HCD5
P08567	P16871
P35749	P63267
Q13555	Q9NY47
P0DJD0	P55854
O60244	Q15648
Q15303	Q99075
P38159	Q13243
O14744	P62993
Q9BUF5	Q9Y6G9
P14616	Q9NRA1
O60840	Q13362
Q96KK5	Q9UBN7
Q9NS56	Q9Y385
O14920	P19525
P26368	Q9BWF3
P05386	Q92901
P62714	Q14BN4
P03950	P51864
Q13451	Q14164
P07948	Q03405
Q13469	Q15759
O15511	Q9P1U1
P14866	P61978
P24522	P61968
P52272	Q8IX12
P39656	Q9UL18
O00459	Q9UM73
P28340	P43360
P25440	Q9NXR8
P06400	P29375
P51970	Q9UI09
O14788	Q14703
O95182	O96000
P60709	Q07820
P78364	Q9HAT8
P22694	Q9UBI6
P61586	Q12802
P06493	P0C1S8
Q92841	Q9NRR4
P04626	Q14289
P42701	Q9UBD9
P10275	P19447
P12980	Q8WWB5
Q13127	Q969G3
Q15834	Q8N302
P01579	P15260
Q00839	Q8IX12
Q16401	Q9UNM6
P10412	Q9UGN5
P05014	Q9HBE5
P19875	P58012
Q13547	Q16778
O00329	Q9H1I8
P52758	Q9UET6
P60709	Q15286
P01112	P06756
P13994	P68104
P12109	P23229
P22681	Q12913
P52756	Q9BUJ2
P04183	Q9Y5U9
Q93009	Q9HCI5
Q6ZVK8	Q96CN4
P17612	P63027
P23527	Q9BY41
P19532	Q96KN7
P12830	Q6IQ23
P12107	Q13797
9757	P61964
Q8N257	Q9UBL3
O43172	P55769
Q13137	Q9BSM1
B5ME96	P08637
P56545	Q01196
Q13535	Q9BXW9
P23467	P41240
P19447	P24385
P10828	Q96HR3
Q6P2Q9	Q92917
P11940	Q9NZC7
P42336	P43403
P18146	Q9NVF9
P17844	P20936
P01023	P38936
P98170	Q15750
P60983	P62993
O75800	Q9Y3Q8
P46781	P62244
Q04206	Q9Y618
O15344	Q02556
P62834	Q86WV1
Q08945	Q6DRA6
P07451	P10275
P22392	Q7L2H7
O15031	P21246
O15335	P26010
O95813	Q9Y6F9
O95163	P51813
O00253	P54646
P04150	P08833
P10721	Q9ULZ2
P07333	P20827
P11142	Q13546
O14497	P06400
O14788	Q8TBF2
P04083	Q13546
O43379	Q9UKM9
P62195	Q7Z2V1
Q96HN2	Q9Y4K3
O14640	P20073
P22694	Q13972
P01112	Q01201
Q15036	Q15788
P42345	Q6R327
O76002	P38405
Q16762	Q9Y697
P04156	Q96A00
P18564	P25940
P40763	P48357
P05113	Q6UXL0
Q14181	Q96HD1
P11274	P13569
P36956	P54646
P19367	Q16665
Q7Z2E3	Q9UID6
P49841	Q8IWV7
P19838	P22612
Q12933	Q14397
P35227	Q8IY57
P62280	P62851
Q99836	Q9NYK1
O14641	O95817
P04839	P53778
A7E2Y1	P60709
P62834	Q8WZA2
P11498	Q00005
P53355	Q15796
P35626	Q8NGI7
P63000	Q07960
Q13255	Q99490
Q6VMQ6	Q9Y6X2
P55851	P63104
Q13554	Q8IWT1
P61421	Q8N1B4
O00522	Q9P246
P01891	Q9Y4L1
P04899	Q13698
P23246	Q8WXF1
O76071	O95995
P63261	Q07890
Q8TBB1	Q9Y620
A0JLT2	Q9BUE0
P50224	Q16637
P0CG47	P36897
P08107	Q9BXL5
P22736	Q15648
P62891	Q9Y3U8
Q68E01	Q9NRY2
P06493	Q00597
P78356	Q06187
P08138	P62993
O43182	P52198
O00574	P19875
O14715	Q6EEV6
P48436	Q13285
Q96SB3	Q9UQK1
Q00534	Q16543
P62256	Q13105
P30480	P61077
P05231	Q99062
P15336	Q9Y243
P11142	P49368
O60260	P24864
Q9BSI4	Q9NUX5
O00574	O00626
Q92797	Q9NZC7
P35626	Q8NH61
O00141	P02788
Q13571	Q6ZVM7
O60506	P16104
Q14164	Q6XUX3
O60315	Q7L5N1
A6NMS3	P35626
P20671	Q8WUI4
C9JDP6	P78369
P46100	Q92793
P62995	P84103
P52597	P52756
Q14457	Q92574
P38936	P39748
O15400	P54920
P49674	P61981
P08238	Q00653
O95467	Q92633
P78386	Q9NR96
P30050	P83916
P22681	P35968
P49917	Q15233
P04156	Q13642
P27482	Q8N5S9
O43707	P06756
Q13535	Q7Z5Q5
P08754	Q8TDS4
P19525	P46087
O95785	P46783
P40763	Q9Y5S9
P38398	Q16576
P63218	Q15147
P22607	Q99962
P17096	Q01844
P05000	P32927
P42574	P55211
P02545	Q92993
P98095	Q15067
Q9BXA5	Q9UBU3
P46778	Q9UNX3
P27986	P50993
P02787	Q13315
Q96HA8	Q9UI14
P01375	P21810
P12814	Q9UGI8
Q13315	Q9UIG0
P06400	P51948
P55011	Q13315
P18146	Q12947
P16220	P27361
O00329	P40189
P07602	P55072
P04899	P14598
O14798	Q9Y2P4
P21246	P21695
P05129	Q13393
Q14573	Q86YM7
P04233	Q6ICR9
O75143	P78527
P48051	P62873
A6NHL2	P51149
O60331	P42768
O00526	P55317
P11802	P47897
P08910	P18146
P01106	Q96Q11
P25815	Q9HB71
P35080	Q9C0J8
Q14197	Q96EY8
Q12933	Q8N2X6
P59768	Q99677
O43541	P01579
O95983	Q96T58
P36406	P62256
P63104	Q5SW79
P62993	Q9UBS4
P56747	Q8NI35
P27348	Q99683
P20936	P29322
P18146	Q9BZE4
Q9P2W3	Q9UBS5
Q9GZV5	Q9UDY2
P48546	Q5JWF2
O43318	P29350
Q07021	Q13077
P04629	P35222
P38484	Q9ULV8
P14555	P50148
P46108	Q14315
P62979	Q9NYJ8
P14923	P15884
P63208	Q96EF6
P0CG48	Q9H4L4
Q9ULV8	Q9Y371
Q15797	Q9UNE7
P0CG48	P10636
P52630	Q99731
P50750	Q9Y5B9
O95816	Q13077
P01241	P10912
P31751	Q04206
P01106	Q9BZE1
P35222	P67870
O75182	Q16254
P30954	P32121
O96019	Q92993
Q7Z6Z7	Q93008
P54289	Q13315
P14618	P27540
P35080	P47736
Q12805	Q13485
P35442	Q05397
P10275	P55210
O15389	O43914
P45984	P61586
Q12933	Q8TBE0
Q96CS7	Q9NSB4
Q96RU7	Q9Y2D1
A6NMZ7	P31431
A0JLT2	O60244
P15056	Q15349
P48730	Q96RY5
Q14185	Q9HBH0
O14763	O15519
P00734	P02679
P11487	Q02763
P19086	Q9UP65
P17252	Q9GZT9
P16473	Q9Y2W7
Q92905	Q9UDY8
P61978	Q9H3D4
Q13485	Q96KC2
P51149	Q9Y487
O00425	Q9UHX1
Q13554	Q13936
O60258	P22607
Q8NEA6	Q9UMX1
O00206	P08754
P10412	P12544
O00571	P17844
P08173	P63215
Q15648	Q9NPJ6
P84090	Q96ID5
Q99836	Q9UGK3
P84022	Q12778
Q16643	Q6KC79
Q712K3	Q969U6
O75925	P48552
Q9HAT8	Q9NRR5
O95990	Q8TCG1
P04637	Q16531
P05113	P42701
P31943	P35637
O00299	Q14164
P22392	Q00005
P01111	Q9NYA1
Q14566	Q53TS8
Q8IUX8	Q99963
P06756	P53420
P02545	Q13573
P07199	P20073
P04350	Q14155
P30411	P63096
Q14654	Q15878
O43924	Q8IW50
P23511	P28906
O43521	P45983
Q15427	Q9H2G2
O75964	P24539
P17081	Q5T5U3
O60869	P18846
P41182	Q8WUI4
