#node1	node2
P22626	Q13242
Q8TEW0	Q9Y624
Q99459	Q9UKF6
P13569	P27824
Q13077	Q96GX9
O75154	Q15907
Q16637	Q5VU43
P54753	P55196
P25391	P26006
O14775	Q9HBW0
Q13330	Q9UBB5
P48444	Q99459
P12318	Q8NHJ6
Q02952	Q13315
P01106	Q14684
O95785	Q13526
Q16891	Q9H8K7
P35442	P56199
P42345	Q14318
Q13976	Q9BZL4
P06241	Q99259
O14974	Q9H2G2
Q9UBC1	Q9Y676
P01563	P16471
P24666	Q9UKE5
Q13535	Q15382
O95760	P29466
P01106	P53611
O60551	P20073
Q06609	Q96CW5
P30876	P52435
O14979	Q9Y4K3
Q9BQG0	Q9Y5X4
P55209	Q9UET6
Q01844	Q9NS23
O14641	Q969F2
P01892	P61769
Q96GM5	Q9NZS9
O95639	Q6P1J9
Q8N392	Q96L33
Q13363	Q9H2S9
O75947	P18146
P31751	Q15653
P16220	Q9C091
Q92934	Q9P286
O95760	P62807
P52756	Q01130
P01574	P42224
O43422	Q13217
O60814	Q9BY41
P08887	Q9UBD9
P05067	P61812
P35346	Q9UBU3
P05106	P22105
P08887	P32881
P23786	P61421
P42285	Q15287
Q15047	Q9UN74
P29590	P83916
P43686	Q9UNM6
P42224	P45984
Q05193	Q8IWF7
Q8N1I0	Q9HBH0
P21333	Q9Y6K9
28938	Q92973
P27708	Q00653
Q13310	Q96EP5
P08172	Q96D09
Q96ES7	Q9H8E8
O75815	P49321
Q12923	Q9HB21
O15151	Q13315
P02545	Q13535
P17252	P51817
O60739	Q96CX2
P08581	P15692
O75935	Q99624
P09651	Q16629
P05388	Q99459
Q13315	Q86UW7
O00182	P20701
O60568	Q9BQY4
O60503	Q05655
P10321	P43629
Q14134	Q96JP2
P62306	P62316
P38398	Q96RL1
P45880	Q9Y4K3
P51532	Q13127
P12931	Q13349
P30305	Q14192
O43149	P29074
P63208	Q9UK22
P68371	Q9H9G7
P52272	P52756
Q8NBJ4	Q9UFN0
O95298	Q86Y39
Q96NY9	Q9BQ83
O00571	Q9UHD2
P60953	Q9UQB8
P56545	Q92769
P05231	Q99665
O43586	Q9UJX6
Q93077	Q9UQL6
O76096	P19525
P15056	P62070
O95067	P37173
O00291	P46783
P13010	Q8IW19
P09466	Q7L5N1
P35544	P46782
O43586	Q99996
P78347	Q99459
Q92560	Q969T4
P05187	P63165
P17612	Q9UD71
P18848	P28482
P35680	Q8TCC7
P27824	P35610
P38398	Q9UGJ1
Q13501	Q9Y4K3
P01876	P04264
P00519	Q9BQ89
O75528	P45974
Q13315	Q96JI7
P35236	P53779
P32121	P49407
P50148	Q13255
O00574	O00585
Q15759	Q16539
P62993	Q9NRD5
P22612	P50993
P35998	P62333
P49406	Q969Q1
P52803	P54756
P01111	P63096
P51114	Q5UIP0
Q8NBJ4	Q9BQ52
P56559	P61421
Q13163	Q13164
Q8IWZ8	Q92620
Q14683	Q16629
P24385	P55273
P24941	P63208
P25116	P51161
P11215	P42336
P25054	P35658
O00471	Q96A65
P33993	Q13415
O75398	Q13642
P24723	P57087
Q01094	Q14526
O95166	P07437
P47224	Q6YP21
P04637	P45984
P04054	P28482
P0C5Z0	Q92769
O00422	P61981
Q92851	Q99558
P29466	P50453
Q71DI3	Q96T88
P01106	P42166
P27986	Q9H400
Q15834	Q9NX63
P14649	Q15746
P23229	Q14031
P36896	Q9HAU4
Q99750	Q9NX55
P61088	Q96EQ8
Q06587	Q96LR5
P05771	Q05397
Q13573	Q9H9A6
Q13625	Q9BYC9
Q8TD86	Q96DU7
O60303	O60343
P50150	Q96PN6
P36897	Q96LT4
P35813	Q15796
P08908	P63211
P26367	Q16630
P19012	Q9NTK1
P11802	P37840
P04406	Q6DRA6
O95257	Q8NBN7
P11229	Q8WYR1
P02765	P55157
Q9UIA9	Q9Y2Q3
P30533	P55854
P27361	Q15583
Q6FHJ7	Q9ULW2
P00533	Q06190
O15264	P19838
O15399	P42263
Q99459	Q9Y4A5
P18206	Q08043
P08913	Q13424
P60842	Q9H074
Q96PV6	Q9Y3Y4
O60383	P04183
Q8WUB8	Q969R5
O95059	P43246
P46781	P62979
O95785	Q16637
P32121	Q14738
Q08493	Q13557
P49023	Q13882
Q03164	Q8WXI3
P00533	P53680
Q14103	Q86V81
P52948	Q9NRG9
Q99558	Q9UM73
P46459	Q9BWH2
Q8NDI1	Q9BY11
P56545	Q9H171
Q9UBE0	Q9Y4K3
O75909	P02511
O14757	P68431
P36952	Q8IY92
O14512	P40189
P51531	Q8NFD5
P67809	Q08170
O60674	Q08334
P45984	P98177
P27701	Q99567
O00329	P54710
P62249	P62854
Q9NYJ8	Q9Y6K9
P01111	P17252
Q13191	Q16526
O94810	P18146
Q15366	Q92797
P0C5Y9	Q969S8
P30279	P42773
P08311	Q9UIV8
P32121	Q9Y4A9
P51817	Q05397
P61586	Q9P212
P33991	Q9UBU7
O60925	Q15287
O75554	P08621
P41220	Q8N6T3
P19525	Q00577
P05014	Q5VWK5
O14775	Q15406
O14530	Q16891
P18621	P62910
P46663	Q9UBI6
O14508	P10912
Q13509	Q13748
Q9UDY2	Q9Y5I7
Q15834	Q16512
Q06124	Q9Y286
442890	O75364
Q15672	Q96HZ4
P56282	Q9NRF9
Q00839	Q13535
P28482	P62714
P22681	Q99962
P0C0S5	Q9Y4A5
Q13489	Q9NR28
Q12840	Q15811
Q93097	Q9Y5W5
P42229	Q06124
Q676U5	Q9BXW4
Q6UXF1	Q99962
Q01201	Q96ST3
406953	P29279
P16220	P35354
