#node1	node2
P09237	Q9HCS4
P01225	Q13164
P30101	Q02809
Q12933	Q8IUC6
Q15843	Q9Y4K3
O60262	P28482
P16333	Q9H222
Q86Y56	Q99689
P05455	P20718
O14727	P42574
P63165	Q5VWQ0
P18146	P60002
P11171	P43686
P63167	P68104
O95405	Q8NBJ7
O75791	P14136
O60359	P17612
P00533	P35568
O75821	P62330
P08238	Q96P20
P11142	P60709
O00501	P56746
P18887	Q08050
Q14197	Q9Y2R9
O15264	P16152
Q9H1C4	Q9UBV2
P26010	Q7Z6G8
P78560	Q5T3J3
P45983	Q01538
Q14674	Q9UQE7
P51003	Q13247
P24844	P62140
P62873	Q13936
Q16630	Q9NZC7
P05014	Q5VWK5
O14925	Q9NQG6
P51817	Q8NER1
O00206	Q9NWZ3
O95210	Q6VMQ6
P0CG48	P46531
P62899	Q9NVP2
P28715	P78549
Q8IY18	Q9NXX6
Q13188	Q9H8S9
P52434	Q9H1D9
P15336	Q13554
O75529	Q9UPT9
P01112	Q8WWW0
P12111	P16144
P09603	P29317
P55055	Q00013
Q8TBB1	Q9P209
P63211	Q5JWF2
Q15796	Q8TAI7
P21675	P53350
Q00975	Q9P2W3
O43913	P49736
Q06187	Q9NR97
P10124	Q6PGN9
Q02750	Q9NR09
Q13685	Q9HC29
Q9UJ41	Q9UL25
P07550	P84996
P27540	Q15185
P28288	Q9UBJ2
P62851	P63220
P45983	P84095
Q13315	Q9UKG1
P54274	Q9BVJ6
O15264	Q9NYJ8
P04183	P06576
P42574	P62877
P31689	Q9Y333
P42356	Q9H9J2
P78509	Q13797
Q9BRX9	Q9BZL1
P07814	P26641
P62993	Q92928
P40145	Q8WZA2
P63096	Q9NQ66
Q13505	Q9HC24
P04626	Q92729
P22612	Q14432
Q92830	Q9H0E3
P14316	Q14790
P15153	P16333
O95786	P0CG48
O95837	P30411
Q14626	Q9ULV8
Q13242	Q86U42
O43924	P36405
P62837	Q96PM5
Q15038	Q93062
O60296	P48169
P18146	Q9HCM9
P31751	Q05513
P05231	P40763
Q93100	Q9NZT1
P07900	Q16543
P02462	P08253
Q16557	Q6VMQ6
O15145	Q07889
Q13501	Q96GM8
P31749	Q9UKY1
Q3SY69	Q8NEV4
O43809	P10074
P59998	P60709
Q14203	Q16543
P37840	Q9BRK5
O14818	P17861
O14939	Q92569
P25024	P35626
O14879	O95786
P32121	P58182
O15371	Q99684
P01889	P60660
P01112	P10721
P68431	Q9BYW2
P31749	Q04206
O00193	Q75N90
Q15052	Q96D09
Q16821	Q93100
P51817	Q9NY47
P22301	Q8IU57
P23219	P45984
P55854	Q9HCK8
Q12809	Q15669
P35606	Q9UKE5
P10827	Q13547
P07437	Q96AH8
P04637	P30153
P09769	Q6S5L8
P06213	P62745
P15880	P62280
P28907	Q13976
P36873	Q9UKF6
O43150	P46108
P08708	P62280
P17980	Q99460
O75335	Q9UPW5
Q96EZ8	Q9Y3C0
O00329	P08631
P08138	P52803
P05015	Q01344
P41594	Q13554
P22415	P61769
O60674	Q99570
O00267	Q16643
Q05639	Q16659
Q9NXR8	Q9Y265
O15162	P26367
P08572	P56199
P00505	Q9UKS6
P51571	Q9Y478
P42336	P59768
P62993	Q16548
O15144	Q92747
P26367	Q02962
Q06124	Q13094
407050	Q8WY64
P36888	P42338
P14209	P62937
Q13616	Q8N668
P01106	Q9NVI1
Q9BQD7	Q9Y383
P22681	Q99961
P63096	Q92806
P78352	Q12879
P04083	P31949
P04179	P23508
P02458	Q9UKX5
O75400	Q15428
P45984	Q96J02
Q969Y2	Q9NP50
O15160	P15531
Q9ULH1	Q9Y5X1
P08865	Q5VVX9
P28749	Q15329
406891	P05231
O14730	P43360
P06756	Q07889
P62136	Q13224
P38405	Q15620
P62633	Q00577
O94915	P61981
O00232	O43242
Q92530	Q9BQY4
P67775	Q02641
P67870	Q9Y5Z7
P26641	P62316
A6NI79	Q9NYL2
O43320	P07333
O15551	Q9Y5I7
O15379	P16104
P25054	Q96HA1
P24941	P51946
Q6PEY2	Q9UGJ1
P14635	Q13952
O15264	Q9HB71
P60520	Q9BPW8
P57087	P67775
P05997	P53708
P27986	Q9Y4H2
Q96L34	Q9NPB6
P59998	Q9UPY6
P61604	Q5UIP0
P25054	Q9UJU2
P42338	Q9Y259
P60953	Q13009
P61247	Q9Y4K3
P01614	P02647
O14745	P07947
O15524	P15498
P20073	Q12766
407050	Q4LE39
O15230	Q05397
P36578	Q9UKV8
P11802	P35249
O15105	Q96J02
P14866	Q00839
O43556	Q16586
O00141	Q9H8S9
Q00688	Q9UKE5
P63104	Q9BQA1
P78527	Q9HB75
O43765	Q9BXJ1
P49815	Q8NI35
P35222	P98161
Q14254	Q9BX66
P35626	P51679
Q16236	Q9P2K8
P62854	Q9NX58
Q13131	Q86V24
P22455	P46934
Q13547	Q9UIF9
P99999	Q7Z419
P55081	Q70Z53
Q8IX12	Q9Y6K9
O60262	P51828
P00374	Q01094
Q14919	Q9UIJ7
O75530	Q15714
P62070	Q13671
Q00653	Q9BUF5
Q7Z5Y7	Q96L34
O00231	P17980
O43251	Q92731
P55160	P60763
P00533	Q8IZW8
O95835	P58012
P20333	P35580
P36897	Q9UII6
Q13769	Q6I9Y2
P05107	P46108
P46783	P62851
O95197	Q9Y5P4
P16144	Q9HBI0
P14778	Q12933
P22694	P41181
P34931	Q01201
P38919	Q99459
P15822	Q7Z2E3
Q86YP4	Q9BTC8
Q14527	Q9Y5J5
P08311	P18827
P14649	P63267
P50148	Q9NPG1
P22455	P48736
O43909	P46108
Q14197	Q9UJS0
P24928	Q8TAQ2
O00501	P78369
O43908	P30466
O94868	Q15834
Q04206	Q96L73
P16234	Q92913
P10916	Q9H1R3
Q03518	Q13087
Q07890	Q8IVF5
P01568	Q8N6P7
O00499	P39880
P0CG47	P43405
Q99928	Q9NQX3
P29992	P41586
P19838	Q9Y4K3
Q04771	Q9UII6
P52735	P53680
O75694	P01106
Q9H0E3	Q9UPT9
P33991	P33992
P12956	Q6ZU52
Q14161	Q86YR7
P16144	P51636
P16070	Q12955
P0C0S5	P46736
P07992	Q99459
P05771	P28482
O15244	P08047
Q07869	Q9Y618
P46092	P55773
O76021	Q9NV56
P41091	Q14152
O00459	P01112
P60763	Q92558
P42574	Q9Y243
P17544	P53567
P62263	Q9Y2S0
P42704	Q9HC98
P51817	Q9P2W3
Q9NY59	Q9Y3C7
P30307	P61981
P22607	Q9HAU4
P16520	Q92633
O15047	O43521
P49796	Q13568
O60262	Q99677
Q14134	Q9BSW2
P00492	Q9Y478
Q07889	Q8IZP0
O95628	Q969T4
Q04206	Q9P2J5
O14775	P34969
Q01201	Q96EB6
P01889	P26640
P31946	Q9Y2A7
O60603	P68104
Q14562	Q9UHR5
O95084	P63261
P54257	Q8N8D1
P08107	Q00597
P63010	Q07889
P18146	Q8IUH4
P46934	Q9Y3C5
P61313	P62888
P01571	Q8IU57
P04629	P42338
P30443	Q99706
P01100	P20823
P15502	P23142
Q13309	Q13415
P19474	P63104
P25786	P38432
Q9UIF9	Q9UIG0
P07602	Q9NYQ6
Q15116	Q9BQ51
P04626	Q68CZ2
P26441	P60228
Q15025	Q9NPE3
P84996	Q99614
P12018	P55157
O43819	P01106
P23443	P48736
Q13555	Q92736
P04217	P62877
Q05639	Q15843
O14965	Q9Y6K9
O95751	Q5VWN6
Q12933	Q9Y575
P16220	P20396
O75626	Q7Z7L9
P17301	P63261
P01236	Q9HBE5
P04040	P42684
P18146	Q14894
O95271	P54274
Q96NA2	Q9Y6G9
O15530	Q13485
P33176	P40337
O95750	P16234
Q13683	Q9HBI0
P48551	Q9NPH9
O00217	Q9UI09
P54253	P54368
P01566	P31785
O43353	Q494V2
P02766	Q9UQB3
P11940	P24941
P34998	P62158
P52198	Q07889
O00144	Q15147
O14576	P18754
P36873	Q96C90
P31946	Q9Y2J2
Q02556	Q5W186
P11388	P25208
Q12840	Q9Y4G8
P16220	P49913
O15144	Q14247
P61812	Q9NNX6
P08581	Q15389
P49736	Q9UBD5
O60603	P07585
P26368	Q15287
P03372	P06850
Q8N474	Q9H461
O94805	P01106
O43306	P63096
P13725	Q8IU57
O14733	Q13387
O43353	P27361
Q9UKX5	Q9UQP3
P67870	Q96NT0
P61968	Q8WW01
Q16778	Q96RL1
Q15819	Q9H5I1
Q07020	Q9UL18
O43674	P03886
P21673	Q5T3J3
P49716	Q9UNL4
P22090	P62841
P10721	Q6S5L8
P40238	Q86WN2
P61978	Q14011
Q13114	Q9NWF9
O14980	Q9UL18
O75956	P05386
P55884	Q7L2H7
P61586	P98171
P36888	P49771
O75365	O95347
P58012	Q9UBK2
Q8TBE0	Q96KG7
P17252	P30154
Q9UL18	Q9Y4W2
P46527	Q02156
P62277	P62701
P01857	P15814
Q9BYG4	Q9NQ66
Q13838	Q99459
O96020	Q9H1A4
P62249	Q15628
Q969G3	Q99459
Q9NSC5	Q9Y566
P05937	Q9NQA5
P17535	P45984
P00533	P68431
Q16531	Q96JK2
P02458	Q05397
P04637	P11021
Q13432	Q14061
P62308	Q16637
P10914	P40763
P28074	Q00653
P17948	Q15147
P06756	P60709
P07948	P21854
P31941	Q9Y4K3
P20674	Q7L5N1
406947	P61586
P40145	Q13557
P67870	Q9UQE7
P13987	Q2TAY7
P31314	P36873
O14933	O43164
O00193	Q9Y6H5
Q13625	Q8NEY8
P54920	Q9P1U0
Q8IYB3	Q9UBU9
Q14676	Q96RU2
P46736	Q6UWZ7
O95067	P25208
P16070	Q8IZC6
P02786	P23508
Q14669	Q9NQ25
P60709	Q92558
P36542	P62736
P20226	Q96A83
Q9BTE1	Q9Y2I6
Q9NYY1	Q9UHF4
P27348	P78314
P10415	Q15172
P62258	Q9NYF5
P12830	Q9UNH5
406889	P01111
P35813	P50750
P56524	Q96KK5
P30480	P52907
P52272	Q96HC4
Q07817	Q96BY2
P49841	Q96A73
Q13315	Q5VT52
P04222	Q9Y262
P60709	Q07020
P05362	P19174
P78527	Q14562
P04083	Q92796
O14827	Q07890
P30450	Q8N743
P55795	P61978
P00533	Q14134
P60842	Q9BTT4
Q04206	Q9UNN5
P11021	Q15750
P50552	Q13797
P01241	Q9Y262
Q13464	Q9Y2I7
Q96A72	Q9BZI7
P52272	Q92844
P53621	Q9UL18
P12931	P15941
Q05516	Q12933
P35232	P62258
Q13315	Q15390
O75688	O95267
Q9H0A0	Q9NX58
O15264	P15407
P61601	Q86UW9
P38159	Q15428
P02511	Q07817
P05106	P29353
P12235	P20333
Q15149	Q9BZW7
O00459	P42681
P22736	Q9NQC3
P60709	Q14315
P15882	Q92730
P16234	Q92529
Q13485	Q8TAD8
O43663	Q8N6Y0
Q93070	Q9HAU5
Q13405	Q14197
P30511	P43632
Q8NBV4	Q96KQ7
P06241	Q9Y4K4
P49411	P78396
O60232	Q99873
P33240	Q92499
P62837	Q14139
P13639	Q15843
P62979	P63220
O00329	P22455
P25788	Q13177
O96017	P62136
Q15628	Q9NR12
Q16777	Q92769
Q86Y56	Q9Y2Q3
O43924	Q92730
O00221	P31751
P26599	Q92945
Q02224	Q8N3U4
P06703	P07355
O00459	P0CG47
P25445	Q06187
P31749	Q13315
Q13573	Q99832
O15264	Q9BY84
O75533	Q15393
Q15269	Q99442
P32121	Q96R67
P09874	Q9NQB0
P05112	P16871
O75044	P15153
P18084	Q9HBI1
Q13042	Q9UNH5
P11047	Q7L0J3
O60896	P63092
P10275	P82094
Q13554	Q8IZS8
A6NM76	P35626
P78368	Q96NL0
P49407	P51681
P35222	Q96CA5
P18564	P60709
O43809	Q9H8Y8
P60953	Q96PY5
P20248	Q99741
P11171	Q96AG4
P04183	Q9BRP4
P10720	P25025
O76061	O95831
O95619	P62805
P49841	Q06330
O95832	Q8N6F1
O14543	P29597
P23229	Q05397
Q6WCQ1	Q99832
P21802	Q15389
O14893	P26368
P36954	Q6PD62
O95822	P54646
O95168	P03891
O00254	P12544
P06241	Q9UJV9
Q96NA2	Q9BVA1
P12956	P41220
P32121	Q15612
P62081	P62241
P31152	P51812
P49790	Q9HC62
P54253	Q9NRR5
P06213	Q9UQB8
Q5JWF2	Q99677
P05771	Q9ULK5
O60784	Q9H0E2
P13807	Q16821
P32246	P63096
P30153	Q05513
P55036	Q9H816
O60269	Q99750
Q99459	Q9UPU5
P62993	Q02763
P06400	Q9UQL6
O15085	Q9H2G2
P41586	P50150
O75694	Q8NFH5
P11684	P98164
P07910	Q13435
P55327	Q16890
P31749	Q15653
O60264	Q9UBC5
P60709	Q9Y572
Q9BX67	Q9Y624
Q14197	Q9NWU5
Q8IUQ4	Q9HD26
O14730	Q96JQ0
Q9H1J7	Q9ULW2
P55209	Q6ZVT0
Q6P1J9	Q9BRQ0
P04275	P14770
P63096	Q08462
P17252	Q9Y6R4
P46940	Q99459
P19022	P23467
P01579	Q06323
P16104	P62805
P14770	P42336
P00441	P18146
Q05516	Q06455
Q9BVA1	Q9NY65
P26951	P29459
Q9H1Y0	Q9UJZ1
P49915	Q9Y478
O15524	P48357
O76080	Q9Y4K3
574411	Q9UKV8
P16070	Q16787
Q9BS18	Q9UJX6
P49407	P51685
O14503	Q99814
O15198	Q96EY1
Q15323	Q9NR96
Q8ND90	Q8TEW0
P27986	P29074
O75251	Q9NX14
Q00839	Q92597
Q9ULG1	Q9Y265
O15085	P19174
Q9BRT8	Q9P003
Q15572	Q15573
P17936	Q14766
Q92796	Q9UQM7
O15524	P08069
P18124	P62910
P83731	Q9HCK5
O14905	Q96HF1
A6NHR9	Q99459
P12931	Q9NRD5
P17980	P62333
P51681	P80075
P42702	Q06124
O95644	P16298
O15530	P84022
O00472	Q15306
O95201	Q15834
P21741	P98164
P12081	P46777
P17275	Q13485
P18433	Q9P2Y5
Q6AI39	Q96EV8
P84022	Q8WXF1
P20264	P51636
P24863	Q9UHV7
Q93034	Q9Y6I7
P16401	Q16777
P63104	Q9BYG4
Q9GZQ8	Q9HAU5
P24864	Q9NX02
P27986	P29353
P04899	P49238
P52292	Q93009
P98177	Q15759
P04070	P35237
P05388	P62917
O43264	O95229
P62993	Q7Z7G0
P08107	Q15750
P10828	Q9NPJ6
Q5QNW6	Q92769
A8MYU2	P22694
P00533	P11487
P26006	Q9Y490
P28676	P54253
P09471	P12931
Q15038	Q8TDP1
O95822	Q9UGJ0
Q07889	Q14185
P10321	P26717
P46108	Q9UKX5
O15264	P63096
P29401	Q14164
P36402	Q9H6I2
P53680	Q07889
P35626	Q8NGF4
O00755	Q96HF1
P05230	P10721
Q13404	Q14164
P25208	P29350
O75800	Q14164
Q969T9	Q9NZC7
O15111	P14921
P24522	Q68CP9
P14222	Q9GZR7
P29459	Q9HBE5
P53350	Q13315
O60934	Q9H816
Q09161	Q86V81
O00483	Q9NX14
Q13315	Q9UIM3
P47872	Q5JWF2
P62249	Q15843
P10636	Q9UQF2
Q9BPX7	Q9NYF0
O75582	Q04206
O00422	P31689
P17858	Q16665
P18509	P41586
P04731	P49407
P52198	Q8IVF5
Q96BH1	Q96LR5
P17480	P23443
Q12933	Q9BT49
P26373	P62917
P51813	P62834
P36873	Q13315
Q5JVS0	Q99873
O14640	P48730
Q5VYV7	Q9UBW8
Q05193	Q9Y237
Q8N456	Q8N5Z5
P31949	Q9Y4K3
P20290	Q14164
O95568	Q9NRH1
P23508	Q9Y3B4
P38432	Q8TBB1
P05000	Q9HBE5
P24928	P50613
O94874	Q969T4
P62136	Q9UBN1
P01116	P16234
P31785	Q8WYR1
Q13616	Q9UKB1
P31943	P61981
P01100	P05129
P38405	Q8NGN3
Q6FI13	Q9UQL6
Q86V24	Q8N5S9
O43320	P35916
Q9BQG0	Q9NY93
P25445	Q92851
P29371	P50148
P42261	P62140
P01589	Q9HBE4
P54257	Q15154
P05090	P0CAP2
P04234	Q99759
O00499	Q99963
Q96P70	Q9UKV8
P26639	P40337
P31749	P32927
P18206	Q9HBL0
Q05519	Q15365
Q9BRV8	Q9Y228
P01567	P31785
P51790	Q9HD26
Q9GZQ8	Q9UHC7
P04637	P23297
P49116	Q9Y5K6
P61201	Q14164
P28290	P62258
Q04206	Q9BYH8
Q08050	Q13309
O00220	Q9Y6K9
O95816	Q9BQA1
Q15428	Q9BQI9
Q8IYD8	Q9HB96
P51965	Q9Y4K3
P05771	P07948
P16885	Q02156
P02458	P08514
O00329	P42345
P01584	Q01201
P35626	Q8NH05
P01889	P20290
P51681	P51692
Q13123	Q8TAD8
P09769	Q8WYR1
Q96SB4	Q9BRL6
Q6R327	Q9BPZ7
Q15555	Q9UPY8
P22314	Q9Y6X2
Q13541	Q8N122
P35228	P42224
P01588	P52333
P15260	P35228
P10147	P51684
Q96HF1	Q9NPG1
Q14562	Q9Y580
P37198	Q9BVL2
P27694	Q99638
P29459	Q15306
O14745	P14060
O60260	Q99719
Q13952	Q15796
O75533	Q14164
O95685	P15735
Q04864	Q99558
Q99880	Q9P0U4
O15162	Q96ME1
Q12834	Q9BYQ4
O60477	Q9NYJ8
P05164	P21281
P55957	Q13315
P32121	P43626
P81274	Q14980
O95433	Q9Y6E0
O75380	Q16659
P25787	P55036
P38405	Q8NGP9
Q00987	Q86V86
P51116	Q14134
P35222	Q13526
P21246	P78537
P15248	Q99665
P35354	Q09472
406947	P17947
P32121	Q6IF82
P23025	P54727
P09603	P16234
O14497	P24522
P47914	P62910
P52294	Q16778
P35626	Q8NGP6
O75636	P26022
P01614	P01871
P63000	Q9Y3M8
O60566	P63010
Q9BQ66	Q9BYD3
P28065	Q9Y3R0
O95711	Q9Y6Y9
P35626	Q96KK4
Q06124	Q9H706
P01589	P14784
P42680	Q92729
O43175	P62993
P01137	Q9HBG4
Q00688	Q9UGN5
P49757	Q96J02
Q92917	Q9Y2I6
P04216	Q13017
O95059	P51513
Q15759	Q9HAV0
406977	O14920
P01375	Q9UKB1
P07332	P27986
P08138	Q92890
P63165	Q05516
P45983	P62879
P04350	P41279
O95467	P43116
P06493	Q01538
P12004	Q9UNA4
P32881	Q6UXL0
P21333	Q13153
P43146	Q8N5X7
P35225	Q08334
P63010	Q15811
P10914	Q9HBE5
P05771	P16520
P31749	Q58FF6
Q13387	Q8WXH0
P62891	P62987
Q9GZS1	Q9NXS2
O95622	Q9HAV0
Q9UJY5	Q9UMZ2
P63104	Q9HCI7
O00501	P57739
Q15834	Q9HAF1
O60671	Q92547
O75800	Q9NS56
P46937	Q07812
O75581	P48729
406906	Q16819
442918	O95980
P01375	Q9Y297
P06213	Q13257
P19793	Q9BZL6
Q13315	Q8N573
P62258	Q02878
P04637	Q6AZY7
P52566	P60763
Q52LW3	Q7L0Q8
O00716	P24941
P38405	P40145
P02768	Q5T442
P48357	P67870
P35268	P84098
O95619	Q99459
P25705	P31946
O95644	Q9UQM7
P31689	Q8IXH7
P11229	P63215
Q15628	Q9Y6K9
P25787	P40337
P07333	Q01970
P18084	Q16787
P62993	P78559
Q14164	Q99623
O15264	Q92804
P12644	P36894
Q13573	Q99729
P11215	P46109
P17081	Q96N67
O95685	Q16816
P37173	P62993
P08631	P98077
P0CG48	Q01201
P78362	Q8WYA6
Q01970	Q9BYG5
P42766	P46777
P62249	P62979
Q9NWB1	Q9UBD0
P13501	P62993
P49427	Q13309
P53779	Q8N726
P63098	Q53ET0
O60674	P01568
P16035	P25208
P03891	Q86Y39
P41220	Q13237
Q01082	Q9Y572
P25205	Q6IE81
Q03181	Q04206
Q16531	Q9Y4A5
P84090	Q99962
Q8WYB5	Q8WYH8
P04908	Q96A08
P46778	P46779
P18077	P27635
P28482	Q15759
P41227	P63279
P50395	P62491
P30559	Q8IZS8
O14775	P62873
P16871	P52565
407008	Q12857
P01106	Q9Y6X0
P18206	P62304
P62140	Q9UKF6
P16144	Q13753
P02549	Q9UI08
P01112	P04637
P25445	Q9NXR7
P04085	P35968
P25054	P31350
P61073	P80075
O15144	P60709
Q96CA5	Q9NR28
P41091	Q9Y4K3
O15160	Q9H9Y6
P01571	P23458
O75116	P48426
O00712	P08651
P09919	Q14626
P25786	P41227
O95741	P04183
P17676	P31513
P46778	P62987
Q14008	Q9Y6A5
P60660	Q9Y572
Q13469	Q13554
P35232	Q9UKV8
P25398	P62979
374462	P19022
Q8NI35	Q9Y5I7
O95900	Q14197
P09601	Q16236
Q7Z3C6	Q9P2Y5
P53779	Q99956
P84996	Q13639
P27635	P46379
5512	P36873
O15479	P39019
O15105	Q96PU5
O75956	P01023
Q00534	Q08999
P17301	Q9UQP3
Q13573	Q8NI27
O75593	P55316
Q96MF7	Q96MG7
Q04206	Q92598
P52198	Q9BZ29
P27482	Q13555
Q13554	Q9UKV0
P46108	Q9Y5H8
Q96B02	Q9UPQ4
P28698	Q13952
Q8WWF5	Q969T4
O43815	Q9Y6E0
P07910	P52756
P10398	P53611
Q12834	Q16254
O15547	P04637
O43474	P40763
P08908	Q9HAV0
Q8WVD5	Q9HCE7
P68431	Q9Y468
P14618	Q92597
P06213	Q13322
P56524	Q96KG7
P62873	Q15147
P41279	Q02750
O00273	P27348
P08865	P62266
P17676	P63165
O15123	P16234
Q13501	Q14596
Q13131	Q16877
P15260	P29350
P53803	Q9H9Y6
Q99417	Q9UKV8
P09972	P27540
P35232	Q13268
Q9UQB8	Q9Y6W5
O15162	O43597
P20749	Q92993
O95405	Q4LDE5
P04629	P20783
O60447	P53350
P31946	P55916
O43292	Q96S52
O15265	P54725
P33402	Q02153
P04406	P50583
Q13287	Q9NVZ3
Q16082	Q16539
P35626	Q8NH69
Q96AP7	Q9Y5I7
Q15831	Q8TEW0
P28066	P55036
P01112	Q13009
P12814	Q5TCQ9
P07202	Q8N6P7
P08588	P32121
P22694	P54646
P16298	Q9UJX4
P47813	Q14152
P63096	Q9UP65
O96013	P60953
O14775	Q14832
P62979	Q9HC16
Q14684	Q96BK5
O43657	Q12873
P06213	P22681
P49336	Q92731
P21673	Q9P2H0
P0C0S5	Q9NQS7
P04626	P40189
P02766	Q9UKR5
P55157	Q13087
Q9BQS7	Q9NP59
P32121	Q8NGK3
O94855	P61968
O14576	P04183
P41212	Q9HCE7
Q13950	Q8N6K7
P10914	P63165
P51817	Q9UKL4
O60739	P00492
Q9ULK4	Q9Y4A5
Q15562	Q9UJU2
O94806	P63027
Q6P4R8	Q9Y5K5
P48544	Q9UBI6
P16520	Q96PN6
P21333	P62993
P05106	Q9BRC7
Q9NR50	Q9UI10
O15047	P51610
P01567	P15260
Q8IZS8	Q9Y2T4
Q14738	Q9Y698
P35222	Q9UP38
Q16531	Q9Y6J9
O60266	Q13557
P62917	Q9UNX3
Q12923	Q9BUL8
P40337	Q9UHV9
O60258	P11362
Q96RP9	Q9BYV6
O14640	P60763
O00459	P40197
P25788	P55036
P02751	P05556
P16871	P29350
O14653	Q9NYM9
P08648	Q13418
P01871	Q16637
Q9H2G2	Q9UL51
P67870	Q02880
Q14197	Q8NFF5
P08581	P18031
P32121	Q8NGQ4
Q01082	Q96KM6
P17612	P62879
Q15788	Q9BYB0
O00571	Q96KM6
Q9Y243	Q9Y4K3
P20309	Q5JY77
Q13123	Q96N46
O75807	Q96KM6
P01116	Q9P212
P01308	P11362
P67870	P82979
O14757	P06400
O60840	P17612
Q9NV56	Q9Y4A5
O96013	Q96L33
P42772	Q9ULJ6
O95433	P54253
O43318	O43741
O14744	P04908
Q02539	Q09028
P11387	Q07955
O14757	P30291
A8K6C2	P40189
Q07890	Q13972
Q96NW7	Q9UQM7
Q96T76	Q9HAW0
P14678	P53618
P27361	P62873
P45985	Q13177
O15230	P05556
P60842	P78344
P01106	Q68CP9
