#node1	node2
P40938	Q13315
Q15047	Q9Y2V3
O60262	P35462
P60866	Q99558
O95886	P46108
P63261	Q9UKX3
P51587	Q14565
Q13112	Q9Y294
Q15303	Q96B97
O00505	Q86SQ7
P01137	Q06828
Q13315	Q15020
Q13618	Q16236
Q07890	Q562R1
P19793	P37231
P23141	P58062
P08107	P53041
P61981	Q9BPZ7
P19174	P29353
P43250	P51681
O60641	Q9UKG9
P29992	P48736
P12883	P68032
P08912	Q5JWF2
O43915	P08138
P04637	Q9UBU8
P04439	Q8N423
P22888	P50148
Q12962	Q9BRQ0
P17612	P48549
P34820	Q9H2X0
Q01082	Q99459
P01588	Q13651
O75084	Q01970
Q04864	Q8WV28
P20963	P52333
P40763	P42701
P05013	P40238
P46108	Q9UBS5
P09874	Q9UGL1
P05771	Q13393
P05556	Q14773
P21675	Q16695
O00459	P05019
Q96ST3	Q9UBP5
Q8TDB6	Q9UM47
Q93034	Q9NWX5
P43121	Q01094
P07108	P68543
P06241	P28340
P30519	Q99613
P13498	P53778
P18754	P55084
P62993	P63167
P62877	Q86VP6
O60674	P08700
P38405	Q8NH19
P0CAP2	Q9P2H0
Q92561	Q99584
P62993	Q9NVI7
O75030	P63279
P22392	Q00005
O00115	Q9Y265
P21854	Q8WV28
P63000	Q13017
P24723	Q9ULK5
P10398	Q96KB5
P17066	P19838
P23508	P30085
O14939	P62993
P68133	Q9Y4A5
Q6P1J9	Q8IX03
P15735	Q8TD86
Q96G75	Q9Y2X8
P41220	Q96QB1
P14316	P61769
P20248	Q92831
P36402	Q9P1Z2
P32302	P52333
Q08881	Q13094
P36897	P98082
P30480	P55209
Q8N6Q3	Q9Y2W7
O43252	Q96I34
P11142	Q86UA6
P05013	P42701
O75688	P62258
Q92934	Q9P1W9
Q16576	Q9BTC8
O60684	Q01201
O60266	P17252
O95251	Q96ED9
Q00839	Q13535
Q96H20	Q99816
Q8N6F1	Q8N7P3
P05412	P63279
Q03518	Q14194
O14561	O75251
406916	P35226
P55040	Q9NR12
P18564	Q05397
P48634	Q9UNL2
P05112	P10242
O14543	P40763
Q15323	Q9Y2H1
P49792	Q99567
O60383	P21673
P04628	Q9ULW2
P35348	Q9Y478
P02649	Q07954
O75528	Q9NS73
P60983	Q16539
O95396	O96033
P48736	Q9UDV7
O14641	P68400
P25024	Q14847
O14905	Q9ULW2
P62995	P84103
P45983	Q9UQF2
P48023	Q7Z6B7
P50570	P60709
O15360	P38398
P18031	P56945
O43592	P19438
P62314	P62318
P01589	P17096
O14640	O15169
Q15528	Q9NX70
O43889	P51610
P01225	P27361
P42229	Q8WXH5
Q7L590	Q9BXI2
P14859	P24385
P23443	P62753
P49716	Q13370
P14678	P67870
P11831	P15172
P60602	Q12933
Q14512	Q14526
Q6FHJ7	Q9Y6F9
P48788	Q9HAU4
O75116	Q96C90
Q92630	Q9Y620
O95863	Q9H0J4
P14618	P32121
P09429	P27695
P00441	P43004
Q92574	Q9UGI9
P17480	P22087
O14818	P25789
P61964	Q9H8E8
P55735	Q9NR31
O00505	P19838
P62070	Q9HAU4
P63218	Q92633
Q96RT1	Q99569
O60237	Q9BUA6
P33778	Q16777
P00450	P01857
P05112	Q03060
P62745	Q13829
O15297	P23025
P63279	Q9ULV8
P32121	Q8NGZ3
P07359	P40197
O43768	Q96SI1
P18146	P40939
P45984	P54829
O95229	Q9H081
P61513	Q5T3J3
P49792	Q96RY7
Q7Z2E3	Q9P1Z2
P19438	P31689
P60660	Q9BUA6
Q8WX92	Q9H3P2
P33316	Q03181
P50150	Q8TCU6
O95819	P11142
P25116	P32298
P54619	Q96B36
O15392	P55210
P60900	Q9Y478
P05141	P30405
P10275	P30613
Q15021	Q9HC98
P01111	P63096
P06400	Q6STE5
O75928	P42226
P08670	Q96AE4
Q93009	Q9Y6K9
P05019	P11362
P22681	Q8N6P7
P63279	Q8TEB7
Q13303	Q9H1K1
A1A4S6	P52198
P30153	Q99759
P61289	Q99460
Q8WVB3	Q9BPX7
Q96Q15	Q9Y5S9
P20248	Q01094
O75365	P52272
O75925	P52630
P31751	Q00653
O75365	Q8NE01
P01242	Q6UXL0
P07550	Q5JY77
Q86UW7	Q96B02
Q8TDB6	Q99466
P23497	P83916
O43617	P0DI81
442898	Q99835
P04141	P26992
P00533	P43403
Q9HCU5	Q9NR31
P35225	Q15717
O14529	Q13547
P10912	P60568
P01222	Q9UBR4
Q8TEY7	Q9NR30
P21802	Q92914
P43686	Q15654
P29353	Q2TAY7
Q96A54	Q96RR4
Q9NWB1	Q9Y6R0
P56746	P56750
Q13651	Q8WXH5
P19438	P25445
P63165	Q16778
Q04759	Q9NYF0
P62979	Q86WV6
O60861	Q8N693
P04839	P17947
O00193	Q13595
P50395	P62330
P15927	Q5T3J3
P38405	Q8NGG5
P22612	Q9Y691
P14416	P63215
O96013	P04049
P42574	P45984
O43439	Q9UPN9
O95433	Q9Y2H0
P18848	P28482
P01889	P41091
Q8IWF7	Q9NPB0
P35228	P47712
P60709	P62328
Q13315	Q9ULD9
P06400	P45973
P33176	P42263
P36873	Q99941
O15260	O75365
P02775	Q13794
P15104	Q6ZVK8
P43364	Q9BXY8
O43281	P62993
P53355	Q13526
Q14524	Q9NY99
P20827	P26641
P08754	P21917
406906	Q9Y6R0
P53420	Q13797
P62873	P63244
P10275	P51948
Q05513	Q9P212
O43677	P03901
P06727	P41235
P49959	Q13315
P98177	Q96BR1
Q13315	Q9Y4K3
O60383	Q9Y6M9
P48995	Q03135
Q9NX02	Q9Y6K9
P63000	Q01201
P09936	P83916
P33981	Q00653
P13631	P28702
O60333	P61981
Q12983	Q92843
P04792	Q13573
P38484	Q8IU54
O15264	P08637
Q14315	Q9H2G2
P50616	Q96GD3
O15379	Q99933
P38936	Q93063
P00747	P01876
Q96GD0	Q9GZT6
P06899	P0C5Y9
Q13315	Q562F6
O14641	Q9ULV1
O14508	P38484
Q13416	Q9UBD5
P31152	P51812
P00519	P63000
Q9BS18	Q9UJX6
Q13315	Q9UJZ1
O75530	Q15022
P13861	P31947
P18146	Q9BYU1
O14730	O60641
P22681	P52735
P08173	P63215
406948	P35226
O00459	P63000
P18074	P28715
P11802	P35606
P01133	P16234
P27361	P63000
Q13535	Q9Y2X9
P10912	P22681
P01241	P15509
P08631	Q9H6R7
O43524	P42224
P53680	P57735
P67870	Q16625
P42261	Q14957
P46108	Q02763
Q15797	Q5T5Y3
P51812	Q99640
O15533	P30450
Q14197	Q9Y2Q9
P54253	Q70IA6
P33992	Q9UJX2
Q9Y265	Q9Y572
P23458	P29350
O95166	Q9BQ83
P35268	Q13573
P38398	Q96RL1
P30279	P40763
P60709	Q9H9Y6
P51617	Q13526
O15534	Q13315
O43281	P46108
P19105	Q13464
Q17RW2	Q9UKX5
P09651	Q13242
P07359	P07948
P43686	P61289
P04899	Q9UP65
P10275	P63244
O43264	P50748
P02745	P27797
O15357	P29353
P35222	Q9NP95
P17081	Q9UKI2
Q13748	Q8IUQ4
P01571	Q13651
P01241	P41091
P58166	Q96S42
P40425	Q96S38
P33993	Q9NSU2
P84103	Q05519
O00327	P35398
P37231	Q9H0E9
P52434	Q8WVC0
P01130	Q92793
P06241	P51636
O00716	Q15021
O14713	Q9BSQ5
P01106	P43378
P11532	P68133
P13805	Q969Q1
Q92783	Q9H204
406937	P08069
P00533	P29466
P14866	Q16629
O43913	P33992
9757	Q6ZW49
P99999	Q96BK5
Q13485	Q9NRA8
Q13617	Q15843
P49792	Q9UHY7
P48051	Q9UK08
P78344	Q99459
Q14192	Q969Q1
P16144	P48736
Q13573	Q9Y2Z0
P29353	Q9UM73
P02751	P55001
Q13242	Q8IYB3
P01889	P13797
P45985	Q9BQI3
Q9BQ67	Q9NZJ0
P60568	Q9H334
P16333	P54762
P62308	Q16637
P06733	P63104
Q12913	Q13501
P05019	P27361
Q66LE6	Q9Y698
P04183	Q9NX74
Q9NQL2	Q9UHA4
P15056	P31947
O95782	P46940
O15379	P04908
P19438	P78527
P29460	Q00653
Q8NEU8	Q9HCB6
Q9UHV7	Q9Y2X0
P35609	Q16864
P05108	Q53ET0
P18621	P62888
O43255	P63279
P42263	P51817
Q8IYB3	Q99459
P05771	Q9HBA0
Q03001	Q8TDR0
P63279	Q13426
P01889	Q01813
O60500	P02768
P08567	P16871
P13987	P46940
O94761	P04637
P45984	P98177
P15735	P51817
Q00839	Q8IWZ8
P56524	Q93077
P32881	P32927
P10276	Q9Y618
B1A4H9	Q9HBE5
O75676	Q8TEY5
P30154	Q8IZS8
Q03113	Q86XP0
P46459	Q99459
P46100	Q14240
Q9BWH2	Q9NXU5
Q8TCU6	Q9P2W3
P61201	Q9GZT8
O75159	P42229
Q7Z3S7	Q9Y2T4
P18124	P62891
Q93009	Q9H0Y0
Q15788	Q9ULH1
P47985	Q9H8Y8
P63000	Q14155
406919	P54253
P05412	P40763
O75626	P59046
Q9H7L9	Q9UK53
P58876	Q9UQL6
P04141	P28482
P23409	Q02535
O95793	P50914
P01584	P20226
Q10586	Q92769
Q14919	Q9HBM6
P78334	Q15111
P62993	Q96T58
P48729	Q12778
406960	P31751
P62955	Q00005
O15259	Q9H204
Q8N122	Q9BVC4
Q13177	Q92730
A0JLT2	Q9UM73
P45985	P46108
O15520	P11362
P55268	Q9Y3C0
P27361	Q13464
P01574	Q04864
P50616	Q96DU9
P45973	Q92793
Q96ID5	Q99873
P01106	Q9GZS1
Q05655	Q15147
P56703	Q14332
P62330	Q99755
Q13077	Q9Y4K3
O75694	Q99567
P52272	Q92973
P25205	Q12905
O00222	Q9P2W3
Q13546	Q86XR7
O75478	Q8IYH5
O60296	P47869
P24821	Q13683
O14904	Q9ULV1
Q6FI13	Q93079
P05112	P23771
O15105	P37173
Q96BK5	Q99417
Q13315	Q16630
P07910	P48729
P19367	P21796
Q14240	Q92698
P41279	Q9Y6K9
P61952	Q14831
P06756	Q16363
Q01844	Q16558
P13807	Q8IXJ6
Q03164	Q6ZVZ8
P35626	Q9Y5P0
O96017	Q00987
O43464	P05067
P54725	Q9NRR5
P08912	P29992
P54284	Q13555
P62136	Q96GD4
Q14103	Q15365
P09529	Q13705
P12821	Q16665
Q01201	Q8IZI9
O95400	Q6P2Q9
P07900	P15172
O43261	Q9BVJ6
P49750	Q8TDY2
O75578	Q14031
P50914	Q8WV24
P09471	Q13936
O95931	P35227
P61313	P61513
O95251	Q9H8G2
P06239	P40763
P31943	P51991
Q13573	Q9BPX3
P07437	P26641
P51686	Q99731
Q9P2Y5	Q9Y4P1
P36873	P60660
P37173	Q02447
Q5VVX9	Q86TM6
P51587	Q99728
Q15047	Q9H0E2
Q02363	Q08999
P04637	Q9NPF5
P50552	Q13153
P62330	Q9Y265
Q13547	Q92769
Q03060	Q6UUV7
Q8NDV3	Q9UQE7
P61964	Q16531
P67870	Q15349
P49792	P78527
P35609	Q13683
P28074	Q15008
O60258	Q02763
P01583	P35228
P01112	P15498
P50151	Q9Y272
Q13596	Q92890
P18846	P51817
O95180	Q13224
Q7L5N1	Q96SN7
Q13177	Q9BX66
P30048	P43364
O00590	P13501
Q9H7D0	Q9HBH0
P07737	Q14194
O15131	Q06609
Q9H9D4	Q9HAU5
P14136	Q9UGJ1
Q96S44	Q9Y3C4
P27540	Q9UIJ7
Q92609	Q9UBQ0
P51686	Q9Y4X3
O00194	Q03135
P26951	Q9H2G2
440264	P67809
P41091	P43146
O43915	P08581
P02647	P22061
A8K6C2	P40189
Q13131	Q15717
Q13671	Q15796
P33993	P62805
Q16539	Q6IN85
Q12923	Q9BUL8
O75293	P14635
P22612	Q08493
P13798	P30480
O95848	P10398
Q13424	Q96G25
P20226	P21675
P98160	Q14512
P22087	Q9UKS6
P53778	Q12778
P12931	Q8NER1
P50570	Q01344
P00519	P15941
P31749	Q53EL6
P01106	P06730
P01111	Q14644
Q13188	Q8WWW0
O15258	Q16891
28442	Q99856
P19429	Q16537
O00401	P63261
Q15078	Q92574
O15067	Q99623
P23528	Q13387
P33240	Q10570
P07948	P63096
P62993	Q13796
P01106	Q14186
P10415	P62136
P01023	Q16637
Q08334	Q9NPF7
P01588	Q99062
Q13068	Q8NEA9
O43765	O95967
O95377	P49841
P12757	Q8IZ52
P22681	P62316
O14920	P04637
P27816	Q8TDR0
P78352	Q9ULV1
O95484	Q8NI35
P42345	Q8TCU6
Q15018	Q9HAU4
P06756	P18564
P09629	P78527
O95182	Q9P2P6
P11388	Q13526
O95832	Q8N6F1
P54253	Q8N554
P17612	P48436
P56750	Q8NI35
O75618	Q9H6Z4
P49815	Q15382
P15153	Q12967
P62244	P62979
Q969T9	Q9NZC7
P09110	P61964
Q13813	Q9UDY2
Q5VTD9	Q9UBX5
O15379	Q5VTD9
Q02763	Q9GZP0
Q13191	Q9Y6Q6
O60603	P49006
P24941	Q5MJ70
O94805	Q12824
P49792	Q8N5Z0
O00422	P46459
P49841	P51668
P10721	Q13191
P03915	Q16795
O15116	Q14684
P35869	Q16531
Q00839	Q15653
P08151	P51817
Q13885	Q9NXU5
P15336	P15408
Q8WYH8	Q9UGN5
Q02241	Q16537
P15621	P67870
P30480	Q15008
P01111	P53778
P00533	Q9GZV9
O14543	P42224
Q86YF9	Q9NQZ3
P50914	P62424
P68400	Q01892
P05067	P19087
P48643	P60510
Q13315	Q92576
Q01094	Q05682
P07864	P16220
Q5VTD9	Q96HC4
O43837	Q16659
O00459	P40189
Q13555	Q86YW0
P01106	P42166
P62993	P83731
P62266	Q13233
O14775	O15264
P08123	Q13683
O00422	O75446
P09471	Q92997
P20248	Q8WXE1
Q9NX02	Q9UNN5
O60503	P62873
P50150	P63092
P08670	Q15046
P25490	Q53TQ3
P15927	Q9NWQ8
P09455	Q13547
Q9BS18	Q9UM11
Q15428	Q8N163
P42574	P49768
P22087	Q99873
O43741	Q9Y478
P19838	P45983
P38405	Q8NH01
P01889	P35637
P60510	Q04206
P61956	Q15102
O14904	Q9NPG1
Q7Z3C6	Q9UHD2
P04070	Q9UNN8
O60673	P04637
Q9H2G2	Q9UL51
P21675	Q9HCU9
P35222	Q9HCK8
P61981	Q8N122
Q9NR96	Q9NX58
Q14106	Q4VXU2
Q13573	Q68E01
O15516	P10276
P48357	Q9NYY1
P00492	P11171
Q5THR3	Q96ST3
Q13490	Q6GPH4
P35626	Q8NH09
P26717	P30466
O96013	P60763
P01111	Q8WYR1
P49790	Q13573
Q15654	Q9Y4K3
O00267	Q58WW2
P54257	Q92796
P61077	Q96BQ3
P14784	P15248
O95405	P30153
P20701	Q9UKW4
O95619	Q9NV56
O15372	O60739
P13010	Q13426
Q13535	Q9Y2D5
O60783	Q96BK5
P54259	Q86TM6
O60508	Q15796
Q15475	Q99502
O00459	P42345
Q14934	Q15759
P22888	P84996
O95257	Q15262
P62993	Q9BQ89
P04637	Q9Y4A5
P84095	Q8N1I0
P60709	Q13952
O43242	Q16401
O60566	Q92831
O96014	P41221
P52756	Q13151
P00750	P05121
P15018	Q14626
P62805	Q16594
P28328	P50542
O14653	P54920
P14859	P40424
P63151	Q8WXS5
P31751	P42345
O14640	Q7KZI7
P06400	P24863
P07711	P19793
P12004	Q96FI4
P11831	Q14192
O00267	O43148
P50613	Q13889
Q13490	Q96B02
P55735	Q5JSH3
P25024	P55774
P16415	Q13153
P68104	Q00005
P60568	Q12968
P46782	P62241
P11362	P12830
P00749	P40424
P61019	Q16644
Q99558	Q9BQG0
Q05513	Q08209
P50990	Q99759
P40763	Q9UBE8
O14497	Q13573
A1A4S6	P62745
P05771	P62879
Q02094	Q08722
P56545	Q9H5Z1
J3KNP4	Q9ULL4
P01106	P35222
Q08881	Q13283
O00329	P05107
Q13501	Q9NWM8
P13569	P54652
P78395	Q13617
P55211	Q9Y2G2
O43623	P12830
P15153	Q15052
Q01844	Q13418
O00459	P30273
P30504	Q9Y266
O95835	Q15942
P15153	P42338
P26368	Q8IX12
P04183	Q5R3I4
P01857	P49327
Q15714	Q6UB35
P33993	Q13415
O75489	P19404
O75815	P49755
P16220	P62805
P22681	Q8IZP0
P30466	P43629
P01571	Q00653
P18206	Q14781
P18846	P78368
P84022	Q9HAU4
Q9BQD3	Q9NQZ6
P53618	Q13573
P33778	Q92769
P15260	Q969D9
P22694	P25963
P51654	Q9UBV4
P06899	Q9H0E3
P17948	Q16665
Q13444	Q9UI95
P35354	Q02818
Q9HC29	Q9Y2G2
O43524	P04637
Q15714	Q96R67
P25963	P56524
P41595	Q13698
P01889	P22061
O95402	Q16637
P01566	P15509
P28702	Q9Y6Q9
P30480	Q12904
P62258	Q02878
Q13535	Q14839
P13500	P32246
P38405	Q8NGK5
P04637	Q8N2W9
P41235	Q16594
P62993	Q96DH6
P21359	Q07890
P61224	Q9Y4G8
P42773	Q7L5N1
P31314	Q15172
574515	A5X5Y0
Q13620	Q6UXN9
P29590	Q5VVX9
406886	P35462
P55072	P63104
P05496	P56385
P49354	Q12974
P35680	Q92793
P20042	Q14152
P23458	Q9HBE5
Q9UDY8	Q9Y4K3
406884	P08727
P51149	Q15904
Q13126	Q13952
P48556	Q16401
P35609	P68133
Q6P4R8	Q9H9F9
Q01831	Q13569
P10153	P17947
O60506	Q9NR22
O75525	Q9UKA9
Q07960	Q9HBH0
P18146	Q96G03
P05112	P35228
O95757	P23508
Q9NPI5	Q9NRC1
Q16531	Q92830
Q02535	Q15717
Q14203	Q6ZU52
Q8N5D0	Q9ULK4
P10275	Q9Y252
O00221	P41252
P46379	Q05209
P27797	P30101
O95096	P78426
P54259	P98095
O94762	P49959
O00329	P62873
O15525	P17544
Q16514	Q96BN2
P10398	P31947
P62879	Q14832
Q05513	Q9Y4H2
Q9P0U4	Q9Y573
O14639	Q12772
O95997	Q01094
P00533	Q6WCQ1
O75154	Q15907
P05387	P46779
P01137	Q8TEU8
P61006	Q86TI0
P03886	P43490
P04629	Q9H0M0
P29350	Q9UQC2
P01106	Q9BTL4
O43491	P60709
P82914	Q14197
P61158	Q07889
Q8TAK5	Q9NWT6
407044	P00533
P05106	Q9UQF2
O14641	Q5SW24
P23508	P39656
P12544	P39687
O00221	P49642
P13807	P46976
P68400	Q96EB6
P25786	Q13838
P40337	Q9UM00
Q04206	Q12983
O00217	O00483
P31947	Q12774
Q13526	Q96Q89
P63151	Q9GZV5
Q9H9Y6	Q9NRC8
P21817	P62993
P56856	P56880
P49418	Q9UQ16
P39023	Q92901
Q9NX58	Q9UKY1
O15265	Q86TJ2
P55212	Q9H2X6
P56945	Q05209
P29353	P49137
P19838	P78545
P18146	Q05925
Q12874	Q15428
Q16665	Q9HBZ2
Q8IY92	Q9UKA4
Q9UBN1	Q9UQM7
P15173	P15923
P63165	Q96QC0
O15511	P62993
Q16548	Q96PG8
Q13368	Q67FW5
P05014	P42701
O96019	Q9ULG1
P05091	Q9NTG7
Q15648	Q99576
P07333	Q9NP95
Q92731	Q9GZR2
O60674	Q14765
P31751	Q9Y6K9
Q15631	Q9Y4K3
O15131	P00491
P30044	P46379
P63208	Q4G163
P61587	Q8IZD9
P63279	Q9NPI1
P10914	P19320
Q16611	Q16643
Q14156	Q15714
P01243	Q9UM73
P43034	Q9GZM8
Q8WYR1	Q9ULV8
Q5VWK5	Q9UHD0
Q8WUW1	Q92747
P62753	Q9UBS0
Q8N5U6	Q9Y2X8
Q9H2G2	Q9NYQ7
P15153	Q8WYR1
P35368	P50148
Q07889	Q9H7D0
P06899	P16104
P04637	Q05397
P04049	P45984
O95139	O96000
Q53TQ3	Q9Y230
Q04724	Q99547
O94916	P05181
A6NHL2	Q96NA2
P53779	Q8WZA2
O75448	P49336
O14744	P16581
P24941	P49662
P25391	P26006
Q12972	Q13263
P05386	Q92901
P62258	Q13489
P08754	Q8NFM4
P20701	P56945
P39019	P62244
O00267	Q96KM6
P17301	P17612
P56524	Q99880
P16144	P51636
P04629	P16885
P32121	Q8NGG2
P05387	Q9P2G9
Q8IY92	Q9UHW5
P05023	P13693
Q969J5	Q9P0W0
P19525	P63000
P47898	P62879
O75159	P24394
O75822	Q16890
Q13237	Q92934
O95347	Q13573
406970	P20823
P12644	Q13253
Q01780	Q86UX7
P01106	Q9NYJ1
O00303	Q92574
P14317	Q96HL8
406894	Q15910
O75800	P98170
O94906	P01106
P62987	Q15034
Q8NES3	Q99466
P43307	Q92611
P16220	Q15797
P55060	Q99459
O15524	P31785
Q9UBZ9	Q9Y253
P12757	Q9UPV9
O00161	Q12846
P13497	P35348
P06400	Q92543
P30443	Q99706
Q9NQ66	Q9UBI6
P62837	Q9Y4K3
O15379	P25963
P10720	P51681
P63261	Q92558
Q13315	Q14676
Q09028	Q16254
P39019	P62753
P01116	Q9NYA1
O43255	Q9HB71
P05771	Q96HC4
P48454	Q8NHZ8
P01135	P16234
O43292	Q92643
P04637	P06493
P61020	Q15075
P04350	Q9NYJ8
P16871	P63104
P03372	Q92841
Q14498	Q15287
P52657	Q08050
P01133	P29353
O15212	P62714
Q15303	Q16611
406906	Q9H334
Q14671	Q9UFF9
P16333	Q9UL42
P14859	P20226
P49674	P49841
O95347	P19532
442890	Q9UL51
P06400	P39880
Q13535	Q8N5P1
P18077	P27635
O43739	Q9P1Z2
Q13315	Q15013
P62888	Q00653
Q9NRM6	Q9UHF5
Q8IY18	Q96SB8
P11487	P17948
P06493	Q9UJX6
Q13547	Q9UJW3
O43638	Q93062
O75159	Q15370
P25963	Q9Y297
O00305	P62140
O00459	P01111
P46379	Q9P2S5
P12755	Q14938
Q07343	Q9UQM7
P08047	Q15796
P08581	Q15262
P26010	Q14315
406995	P35625
P30291	P63104
P14174	Q9UET6
P07948	P15941
P62854	Q9UL18
Q14627	Q8IZI9
P48023	P98177
P56915	Q03014
P21781	P51452
P52333	Q9Y4H2
Q16629	Q8IX12
P53779	P63000
Q99816	Q9H270
P11047	P56199
P51948	P68104
P05549	P08651
Q00653	Q9Y297
407045	Q13153
P30480	Q9BZK3
P63104	Q14432
5512	O14965
P05109	P15153
P63279	Q13569
P42345	Q9UGI9
P60953	Q9NRR8
Q92993	Q9H840
P04637	P55774
P19320	P42338
P49674	Q16625
P68104	Q13625
O75629	P07384
P37837	Q14164
O95433	P30793
P02787	Q13509
Q14627	Q969D9
Q01484	Q14573
P04222	P16152
P17252	P26012
Q92793	Q92985
O00329	P01589
O15504	Q92621
Q99759	Q9UHV9
P20042	P49770
Q9UBC2	Q9Y6I3
O00422	Q16576
Q8WYR1	Q9Y4H2
Q14164	Q9BRV8
Q5T5U3	Q7L0Q8
Q13188	Q9Y2T4
P53420	Q9UKX5
P08700	Q9HBE5
O95816	P52272
P22004	Q13253
P05112	P32927
P32121	Q8NH70
P43489	Q12933
Q96DX5	Q9NWT6
P49841	Q8N4C6
O95704	P00533
Q14524	Q9UQM7
P42331	Q8IXI1
P0CG48	P15976
Q92569	Q9UQC2
O75400	P42858
Q13315	Q96M86
Q07890	Q9BPX5
Q86VP1	Q9Y4K3
P51828	P63211
P00519	P78329
P32121	Q13362
P51965	Q8N8N0
Q16531	Q7Z569
P62258	Q00536
O14920	Q13315
P53779	Q13114
P53680	Q9H0H5
P62258	Q92628
P54646	Q92574
P21741	Q16659
P41220	P61019
P60709	Q92993
P19875	P51686
P01116	P27986
P18146	Q15797
P45984	Q12778
P33991	Q96HA7
O43427	P67870
Q13332	Q13432
O60739	P07355
P40337	P68036
O15083	O75334
P18146	P22033
Q8WWQ0	Q9H169
P61586	Q9BUA6
Q13315	Q9P2D1
P24928	Q6P1J9
Q8NFT6	Q9BQ66
Q86YP4	Q9BTC8
Q8IU57	Q9NYY1
Q99877	Q9Y5B9
P48058	Q9UQM7
Q00987	Q09472
P49662	P52701
Q13315	Q15257
P10398	P36507
406979	P07996
P18146	Q8N6M6
Q14164	Q9H329
O60266	Q13976
P10415	P22736
P00533	P62979
P18846	P67870
P05386	P36578
Q96FX2	Q9UGK8
P19013	Q8IY92
O15524	P01106
P01225	P21918
P01116	Q9UQ13
P12110	Q13683
O43491	Q14980
Q16777	Q9BY41
P32927	Q9GZX6
Q01780	Q9H7Z7
O00165	Q99759
P07900	Q16543
P27348	Q15139
O43683	Q5FBB7
P30793	P53778
P10828	P48552
P84022	Q93009
P01116	P63096
P12931	Q9ULH1
O60543	P55055
O43294	P31431
P84098	Q9UL18
Q13064	Q15819
O43318	P23396
O00501	P56748
P05141	Q14197
P62987	Q16621
P33992	Q99459
P51522	P84022
P01871	Q06187
P15976	P31749
