#node1	node2
Q15811	Q8TAQ2
O00459	P01589
A6NIT4	P17181
Q12933	Q93009
Q07890	Q14185
P30154	Q9Y624
P08514	P12109
P04183	P19793
O15335	P18084
O15085	Q9H4E5
O00303	P41567
P18146	P45983
O43516	Q14247
O14818	Q14164
P14866	P61978
P21917	Q9UBI6
P20718	P42574
P25398	P62269
P28482	P30153
P41220	Q13237
P29350	Q9Y286
P25025	P55072
P07948	P56945
P50552	P63104
P16885	P29474
P49662	P52701
P24844	P61586
Q13315	Q13363
P19012	P25054
P19474	Q92985
Q16659	Q96S59
Q14527	Q15819
O75558	Q9Y6J9
P62829	P62913
P04637	Q96GM5
P16422	Q6GTX8
P48634	Q13137
P42338	P55211
O95299	P03915
Q14152	Q99613
P05198	Q99613
Q86YV6	Q9NZT1
O95049	P63261
Q96KQ7	Q9UBC3
Q9GZM8	Q9NRI5
P06756	P12931
P51946	Q13330
O15294	O95644
P27482	P54750
O95139	P03901
P13521	Q9NRR5
Q14527	Q9Y5J5
Q13501	Q14790
P55084	Q13233
O00116	Q676U5
Q15427	Q9BWJ5
P28749	Q9Y468
O00267	P22415
Q13242	Q8IYB3
O43684	Q12834
P13612	P49747
P10914	P67870
P07202	Q13651
P04150	P10914
O15524	Q15370
P16144	P24043
P54727	P68104
P09669	Q8IXH7
O15085	Q7L0Q8
Q86XR7	Q9NPH3
O43432	O60573
O43439	Q9UPN9
P37198	Q9NVV9
P32121	P60953
P18621	P62888
Q12962	Q16594
P27986	Q9NSC5
O95628	P61088
Q15102	Q96ID5
P35626	Q8NG85
P18827	Q01955
O14733	P45984
P22681	P31946
P20333	Q15758
O75030	P63279
26765	P55209
Q14332	Q9Y6F9
P62879	Q01668
P25054	Q9ULH1
P25054	Q13263
Q9C0K7	Q9UGI9
P04844	P16104
P42167	P62258
P52294	Q13255
P16520	P41586
O95139	P03886
P30260	Q9H1A4
O43663	P33981
P62258	Q16543
P29692	P56537
P20810	P62993
P08047	P49716
P35637	Q99459
Q86VW0	Q99417
P50151	Q13698
P08588	P25098
P16234	Q9NQ66
O43541	Q16659
Q5VYV7	Q9UBW8
P54257	Q9NZM5
O15360	Q8N2Z9
P07550	P43250
P62256	Q8WVZ7
O43639	Q15654
P35228	Q16665
Q08379	Q96JF6
P14373	Q14164
P35626	Q5JRS4
P06241	P78345
A6NHL2	Q3ZCM7
P50914	P62945
P13805	Q9Y2Y6
P63092	Q96RI0
P53778	Q96RT1
P52756	Q08170
P22105	Q05397
Q9NZI8	Q9UHX1
O60359	Q9UQM7
P51681	Q14761
P10644	P82279
P16220	P56178
Q8WXC3	Q9ULZ3
Q9NQT4	Q9Y2L1
P11362	P16885
P62241	P62854
P49914	Q9Y3Q8
O95471	P56748
P05230	P10721
Q14CB8	Q8IXI1
Q92841	Q9NQT4
P38936	P39748
P21246	P63244
O95257	P14635
Q00987	Q9P1W9
O43395	Q15365
P35544	P62081
P12931	Q15139
P51677	Q99616
P14151	P62993
P61586	Q13972
P04629	P08138
P12830	P49748
Q13444	Q9Y5X1
P11926	P67870
O95998	P10914
Q5JWF2	Q99527
P01903	P27701
Q8WYR1	Q92633
P16298	Q92934
P22681	Q8IZP0
P02452	P07237
64397	P63279
P31749	P32927
P04406	P06899
O00625	O15198
Q96GD4	Q9H0H5
Q14134	Q96CN9
P14778	Q5H8C1
O14543	P19235
P54253	Q96A09
Q12933	Q9UM82
P17612	Q5MIZ7
P68402	Q9Y294
P13612	P63261
O60506	Q9NR22
P62877	P78395
Q14498	Q8IWX8
P21580	P22415
P04003	P0C0L5
Q13137	Q9UBZ4
P10275	P28482
P15374	Q15797
P14784	Q8IZI9
O94907	P04637
P08134	Q96N67
P48544	P61952
P06576	P21281
Q99623	Q9NZU0
Q7L0Q8	Q9NQU5
P47813	Q13347
406947	O95751
Q12926	Q13315
P30154	P31749
O75578	P02458
P49760	Q8IYD8
O14879	O95786
O14965	O75410
P06241	Q92529
O75390	P40926
Q9NQT4	Q9Y3B2
P04632	P62820
P45984	P51452
Q24JP5	Q96PP8
P12931	P78345
O60262	Q13698
Q9H4I2	Q9UKY1
P08700	P24394
P38936	Q9BT78
P12004	Q9NQR1
P47897	Q92569
P11308	Q15910
P60673	Q07889
P01286	P27487
O75604	P0CG48
P04406	Q96RI1
Q99653	Q9HAW0
Q05513	Q13009
O14920	P05771
P35222	Q14526
P22694	Q93100
O00716	Q96KQ4
P50570	Q15811
O14495	O14939
Q15942	Q9UKW4
P42677	P62280
Q96Q07	Q9P0U4
P17948	P29353
P22301	Q14627
P0CG47	Q969F2
P62993	Q8N3V7
Q02763	Q9Y264
P22736	Q9NQX6
Q13233	Q9BUF5
Q14257	Q9H0R8
P05107	Q14289
O15105	O75807
P63000	Q04206
Q8IY92	Q9NZT1
P48552	Q92753
P10599	Q9Y4K3
Q08334	Q8N6P7
Q15172	Q15257
O14727	Q07817
P35626	P41597
P22612	Q15361
P02452	P25067
406905	P23560
O15355	P61247
P46778	P61513
O15520	P22455
O15264	P01100
O60603	Q8IWL2
P18124	Q04206
P31749	P41279
P54259	Q15654
P07478	P25116
O60282	O95295
Q06190	Q9Y698
P05141	P21281
Q15797	Q8IWI9
O94983	P52952
Q9H0R8	Q9NT62
P22612	P62879
P09326	Q8TDN6
P14784	Q8IZJ0
O75367	Q96DB2
P33778	Q92769
O43353	Q14790
P05556	Q9Y6C2
O94776	P04637
O95832	Q96B33
O00459	Q9H204
O60551	P20073
P07204	P46695
P12956	Q96HA7
O15143	O15145
O14561	Q16795
P07199	P20073
P61247	P62851
P24723	P57087
P51686	Q9Y258
406942	P10242
P46734	Q9Y6R4
P36873	Q8TD86
O75964	P56385
P15923	Q13616
P30153	Q9UBS0
Q16584	Q9UPT6
O75380	Q16659
P46527	Q96PM5
Q96A08	Q96RL1
Q05209	Q9UQ72
P10276	P17947
O43169	P23508
P06756	Q9NVD7
Q00987	Q9NS23
P63104	Q9UI47
P05014	P42702
P27361	P35568
Q13315	Q9NUA8
O14818	Q16665
P61981	Q07955
P78504	Q9H488
P20226	Q13765
O60674	P42336
P24941	P68400
O60858	P78545
Q92806	Q9UK08
O75578	P50552
Q13596	Q92890
O60318	P60953
P18206	P62736
P01106	P30049
O14896	Q9H3D4
P31749	Q9UBS0
P12270	P49792
P62487	Q9NWA0
Q00005	Q05639
Q8IZS8	Q9Y2T4
O60814	P04908
P04637	P67775
O95067	O95257
P61247	P62241
P15884	Q9UPN9
P15311	P51817
P52756	Q86V81
P32780	Q6ZYL4
Q01844	Q9NPC6
Q15102	Q9Y4G2
O75486	Q9HBM6
P50539	Q9Y6D9
P36956	Q02363
P18077	P29372
Q07021	Q99558
P36873	Q9Y572
P37840	P51693
Q03701	Q9UHA4
P22612	P41181
P12270	P49790
P01375	Q9UL46
P12544	P12956
P22736	Q12873
P23786	P61421
P52948	Q9BUJ2
P35268	P62910
O00267	P50750
Q16363	Q6VMQ6
P30050	P62891
P05556	Q92752
Q13547	Q15014
P62805	Q9NPI1
A6NI73	P43405
P38484	Q86WN2
O75794	P61421
Q969G3	Q9NQC7
P78317	Q8NCF5
P00533	Q8WYP3
P27361	P59768
P15509	Q8IZJ0
P62750	P62945
P48736	Q9Y259
Q13237	Q9Y210
P12004	P30041
Q04724	Q15475
P05814	Q13315
P35579	Q9BX84
O43474	Q9H9S0
Q06787	Q13137
P32969	Q8TB05
P17948	Q9Y4K3
P34931	Q04864
O75369	Q13233
O95257	P68104
P01562	P31785
O00217	Q9Y6M9
Q9UBC1	Q9Y676
O94817	Q01804
P18146	P33151
P19838	Q15025
O75899	Q9HAV0
P51693	P68104
Q12988	Q9UJY1
P19419	P31152
P60953	Q05513
P62745	Q96QB1
Q9BZE4	Q9Y6K5
Q07021	Q14197
O00257	Q99496
P43657	P62879
P34995	P50148
C9JDP6	P78369
P02766	P16871
P38919	Q9UBU9
P22105	P26006
P20333	P63173
P03928	Q9H4A3
Q14164	Q9NTJ3
P01106	Q9NVI1
P32121	Q8NGI3
P00519	P62258
P36897	P46937
P52803	Q9UF33
Q13042	Q13257
O75369	P45983
O15524	Q9Y4H2
P01106	Q14765
P61224	Q5T3J3
P63104	Q9BT78
P31947	Q8N122
O00151	P35609
P52198	Q8IZD9
P49716	Q9UBT7
Q9H9J2	Q9UBC1
P49593	Q9UK73
P06239	Q16827
Q8IYF3	Q9UNH6
O95251	P10275
Q13573	Q96AE4
P38405	Q8NGL2
O15467	P32248
P20340	Q14203
P0CG48	Q93008
P61088	Q86UW7
P05014	P08887
P09429	P41208
P50402	Q13227
P21802	Q13191
P20333	Q07021
406904	Q96QU8
O75525	Q92530
P17066	Q13217
P05556	P11047
P30153	Q08289
P01243	P61247
P40337	Q9Y266
Q13619	Q9BQ67
Q92997	Q99466
O75530	Q13642
P11021	P20333
P25054	Q15691
P52565	Q15011
P23511	P30307
P19793	Q13352
P62136	Q7Z2W7
P67775	P78371
O15504	Q9H1B4
Q12906	Q96NB3
P08238	P60709
O95832	P56750
Q96AQ6	Q99598
P60709	Q9ULL8
P19429	Q969Q6
Q07817	Q9H6X2
Q9UGI8	Q9Y615
P62993	Q14624
Q01081	Q8IWX8
Q92585	Q92830
P48023	Q9UKS6
P12814	P17301
O95750	P21802
P67870	Q13426
P61981	Q8IYB3
O14920	Q8TEL6
O94979	O95487
Q86V81	Q8IYB3
O95477	Q15700
P00966	Q01850
P28749	Q14188
Q14344	Q68DD2
Q04206	Q92831
P31689	Q12809
O14836	P49069
Q15047	Q96SN7
P51610	Q96ES7
A6NMZ7	P16144
P53350	Q9H2G2
P14060	Q9H204
Q02750	Q9NQU5
P36897	Q86SG6
Q86V97	Q9H0R8
P51149	Q13748
Q96PY6	Q9GZX5
O75340	Q96A23
P17252	Q8NI35
Q03014	Q9H2X0
P54253	Q7Z6M4
Q8IYF3	Q8WW14
P63096	Q9NPG2
Q9HCE7	Q9UJX4
P78330	Q14011
Q01130	Q07955
Q8NB91	Q9HB96
P60983	Q16539
P12931	P31995
P02511	Q9UKT5
O94776	Q9UBB5
O95741	P20073
Q13257	Q9UJX5
P28482	Q15025
O14939	P42338
P31751	Q70SY1
P21860	P98077
P23508	P62750
Q15714	Q9GZT6
P31947	Q96QZ7
P30154	Q9UBN1
O00255	Q04206
P05455	Q9Y6D6
P30480	P61513
O15525	Q16236
P06400	Q14209
P03886	P51970
P63010	Q9NYB0
P14136	P49768
P41091	Q13573
P62837	Q12986
O00483	O95298
P55103	Q04771
P19438	P42677
O00750	P00533
Q03014	Q14973
P01303	P25101
O60404	P32121
O14818	P28066
Q5VVX9	Q86UV6
P04233	P28068
P17948	P22681
P17858	Q9BQ66
P20618	Q9P2S5
P16220	Q8WXK3
O94804	P36888
O15297	P13051
O15111	Q9NYJ8
P84022	Q08174
Q8N2W9	Q9H492
O60814	Q9P0U4
P10276	P55317
Q01094	Q9UQC2
P01138	P07333
O14980	P35232
O94941	Q96B02
Q6P996	Q9Y5J5
P35575	Q9Y261
P05106	Q9NQ66
P62158	Q8IU85
P05000	P48357
P50616	P84022
P05386	Q6ZRI6
P78330	Q9NZI8
O14497	Q12824
A0JLT2	Q9Y2X9
P04626	P62979
Q13526	Q8IY92
O94916	P09874
O43182	P61587
P62280	Q15843
Q12906	Q13535
Q7L590	Q96ED9
O43237	Q13748
P05026	Q5UIP0
Q05513	Q9BYG4
O43508	Q93038
O00459	P07332
P23246	P43243
Q12959	Q99759
P21291	Q9UHF1
P16871	Q13007
P12956	P84022
O00255	P35244
Q01094	Q6NT32
P04183	Q8IY18
P04156	Q96L34
P01106	Q92830
Q13323	Q92843
Q99459	Q9H0A0
P26368	P26599
P31947	P46527
P14923	P35221
Q6WCQ1	Q99832
O43524	P08833
P38646	Q15750
P29597	P42702
Q01081	Q13242
Q13415	Q9UJX2
O00459	P63000
Q07325	Q99873
P35222	Q9H173
O15143	Q92558
O95872	Q92900
P08754	P49019
P01106	P07858
P05060	P20073
P13232	Q969J5
O95831	Q96HA7
Q12879	Q13936
P22681	Q5VWK5
P68366	Q8NCM8
P21452	P29992
O14713	P05556
P35225	Q99062
O95967	Q9UMX0
Q13158	Q9H1Y0
O00505	Q04206
O95347	P01889
O00571	Q13077
P12931	P49916
P63010	Q6WCQ1
P05412	P18146
P04406	Q13077
P08238	P19838
P00519	Q9ULV8
P01106	P19484
P40197	P42338
Q13751	Q13753
P23246	Q01201
P01591	P17947
Q13526	Q9Y478
P18206	Q8NHR9
O15534	Q16526
P22301	Q9HC73
P32246	Q9UBD3
O14818	Q7Z434
Q16821	Q9UQK1
P16220	P35453
P18124	P83731
O60566	Q9NYG5
P62877	Q9NYL2
Q7Z2V1	Q96S99
P05388	P39023
P40763	Q06124
P06241	P63172
Q12778	Q96EB6
P63104	Q15208
O43929	Q13416
P09919	Q5VWK5
P40225	P42702
P10828	P55345
Q9BT78	Q9P2S5
O75461	P06493
P01241	P35998
Q9Y2B9	Q9Y664
P15927	Q13535
Q15139	Q96B18
O95685	P31751
P54253	Q8N1L9
P09874	Q12933
P02768	P05155
Q96EZ8	Q9H981
P11171	Q9GZT3
P26441	P26951
Q15052	Q9P286
P13637	Q13237
Q15366	Q8N5F7
P84098	Q02543
P26006	P78509
P53778	Q07812
P16144	P55268
P23219	P27361
P09919	P78552
P30520	Q14164
O95813	Q93097
P35626	Q8NGX3
O95715	P41597
P12814	Q13683
O60729	Q8NHZ8
O15111	Q15750
P27986	P43403
P61586	Q9Y2K3
P36578	P84022
Q14790	Q7LC44
P41182	Q9NYH9
P14678	P53618
Q04206	Q08211
P63279	Q06787
P29590	P67870
Q07889	Q13683
P05423	Q9H1D9
P28482	Q13643
P07355	P35232
P62993	Q9Y6U3
Q96Q15	Q9Y4R8
O15504	P78406
Q9HAU4	Q9UL26
Q96DA0	Q9NRR5
P32121	Q8NGB6
O15105	Q9HAU4
O15514	P61218
O15264	P31749
P12270	Q13315
P47224	Q6YP21
P11802	P14618
Q14517	Q86YM7
P78396	Q9H211
P27361	Q14247
P01889	P30040
P07737	P60709
Q6PEY2	Q9BUF5
Q12988	Q9NRN5
P29692	Q9Y4K3
P23378	Q14197
P19793	P22736
Q14789	Q9UEU0
O60739	P84090
P61927	Q07021
O43707	P63267
P49366	P62256
P25445	P51813
P19838	Q15759
Q02413	Q9Y265
P11142	P61106
P06213	P31946
O60216	Q9NRI5
P01266	Q03014
O95376	Q9NRI5
Q14192	Q8IZL8
P84243	Q96BD5
O00483	O96000
P04183	Q9GZT6
P35916	Q01970
P36578	Q92901
O14490	P27986
P98170	Q9Y5V3
P15622	Q9C0F1
Q96QV1	Q9UK22
P17181	P26441
P20042	Q14194
O60241	Q06547
P56705	Q9H1J7
P20340	P40337
O14920	P35580
P62136	P62158
Q15797	Q9Y2H8
Q15154	Q8TAM2
P0C0S5	P0C1H6
P25054	Q99814
Q68CZ6	Q9H6D7
P13798	P30480
O95295	Q16891
P30480	P52272
O60763	P62330
P36897	Q12931
P13164	P20023
Q9UIK4	Q9ULC4
Q7Z2G1	Q9P0M6
P11831	Q8N196
O75791	Q7L4P6
O15524	P16333
P63244	Q96QB1
O60508	P22626
P49841	Q13418
O75970	P34982
P31749	Q13153
Q14197	Q9HD33
P54652	Q99683
O95415	Q9UBF6
O43187	Q99558
P05129	P60709
P04049	P41743
Q9C0E2	Q9Y5J5
P28482	Q02779
P31749	Q15121
O43187	P14778
Q13485	Q13761
P20963	P51692
O15105	O15198
P49720	P56537
P31751	Q13418
O15551	Q9Y5I7
Q13315	Q99504
P04350	Q8NCM8
P08631	P21860
P08670	Q9BPY3
O95983	Q13330
P14416	Q14738
P35626	Q96R48
P12980	P60983
P27986	Q06187
Q12933	Q9P2J5
P22626	Q16629
P61981	Q9P0L2
Q9NRI5	Q9UL68
P42338	P63218
P68366	Q8IUQ4
P04637	P11388
P27361	Q9BV47
Q99836	Q9Y4K3
Q15369	Q9H765
P41235	Q86YN6
P49715	Q16520
P01588	Q08334
O43889	P51817
O75578	P04275
P06899	P61964
P17813	Q03167
O75970	P28223
Q14332	Q9UBV4
Q16537	Q7Z3S7
P62805	Q6STE5
O43187	Q9BYJ9
Q09472	Q9Y230
O75676	Q99941
P30793	Q99962
P26038	P32942
P10415	P17676
P62888	P62899
Q9P031	Q9Y4K3
Q9NX70	Q9ULK4
P52597	Q12986
P40933	Q01113
Q16643	Q9BVJ7
P21728	P30542
P15927	Q96E14
Q03169	Q99459
Q8N0X7	Q9HAU4
O95466	P07737
P51991	Q08211
O43182	P52198
O95989	Q16643
P04839	P13498
P01111	P06756
Q8NBM4	Q8WWI1
P22455	P55075
Q9BQE6	Q9NX58
P51955	Q8NG66
Q16236	Q16621
P62826	P68104
P03971	Q13873
Q01844	Q9BPW5
O43791	O95197
P16220	P19883
Q02505	Q16665
Q92519	Q9NRR5
P20809	Q13651
Q6ZRQ5	Q96BK5
P27986	Q13023
P01034	P0C0L4
O76031	Q14197
Q14240	Q15056
Q14289	Q7L0Q8
P56524	Q9UQM7
Q15075	Q8NEB9
P46777	P46778
P27986	Q7L0Q8
Q13485	Q9HCS4
P26373	P61254
Q08881	Q9UM73
P60228	Q9Y478
P43360	Q9Y5Q9
O95471	P56746
Q04206	Q7Z434
O14933	Q9NS56
P84022	Q9Y2K2
P42768	Q05209
P40238	Q8WWM7
P27986	Q8IZD9
P08912	P84996
P35222	Q13308
P16520	P22612
Q99459	Q9Y450
O95503	P84243
O95721	Q96LR2
P38405	Q8NH76
Q15369	Q9H8Y8
O75533	Q15393
P02746	P0C0L5
Q7L0Q8	Q96HP0
Q07869	Q9UBK2
Q9UHR5	Q9UHX1
P63165	Q92610
P50148	P63252
Q5SRE5	Q99567
P52198	Q13009
P30304	Q9UQ88
A8K8P3	P41208
P18084	P26006
P15918	P16333
P08637	P20963
P59998	Q86XS8
P35226	P62805
P51116	Q5VSY0
P55789	Q13098
O14920	Q06187
P04792	P13569
Q05397	Q13797
P23297	P36871
P19875	P51681
Q13547	Q8N108
P30876	Q8WVC0
P61289	Q14164
P01106	P33993
P33778	P56524
P51817	Q14957
P29016	P61769
145781	Q96GD3
Q7Z434	Q96C10
Q13114	Q9H171
P35558	P54619
P01569	P52333
P60709	Q04864
P27694	Q06609
P08908	P09471
P09874	Q04206
P00488	Q92890
P15976	Q8WW38
P13987	P46940
O95433	P08238
P08648	Q16787
O43294	P40337
P55081	Q70Z53
Q9H7J1	Q9NZT1
O60832	Q9NX58
P17301	P50552
P54259	Q96QZ7
O96019	Q15906
O00212	Q8N392
P63000	Q9HBY0
P53779	Q9P2W3
P04629	P08575
P10145	P35869
P15153	Q13233
O75116	P19105
P16520	P48549
O76021	Q9NV56
P78371	Q66LE6
O15055	P20393
Q68E01	Q9NRY2
Q96KR4	Q9NWT6
P04637	P63162
P10145	P46094
O14980	Q15910
P10914	P19838
P30153	Q13522
P07437	Q9NRI5
P35568	P53779
Q3KQU3	Q5RL73
Q13526	Q8IZ52
P08047	Q96FL8
P01588	Q01113
Q12830	Q14145
P62899	P62987
P50914	P62424
P18887	Q9UGP5
P04150	Q99816
O14920	Q04771
O15198	Q66K89
P35268	P60520
P09919	P31785
P51679	P78556
Q01844	Q8N684
O43524	P31751
P61073	Q16656
P62195	Q9UNM6
O75643	P31946
O60573	P63104
P30480	Q9NR28
O75367	P62875
O60244	P12814
P61981	Q14739
Q00987	Q9H4B7
P30876	Q8N7H5
P49903	Q96ID5
O15527	P39880
O75970	Q9BX67
P08473	P10275
P48058	P51817
O43915	P09619
O75643	Q96KG7
P27694	P35244
O60260	P68036
P16144	P25940
P08581	P21781
Q13151	Q13243
Q04917	Q15843
P08123	P10242
Q04206	Q14498
P05556	P30101
O14544	Q08334
Q9P0U4	Q9Y573
P04049	P17252
O75694	P49790
Q13315	Q96QR8
P35222	P49768
Q12873	Q13123
P16471	Q13007
P54253	Q03989
Q15398	Q9Y297
P22681	Q9NR46
P00441	P04156
Q9BQ66	Q9NRQ2
P27482	Q16816
P04183	Q8IV08
Q13546	Q92844
A0JLT2	O95071
P06756	P12111
P27797	Q12824
O95715	P32248
P49450	Q09028
P38936	Q13619
P49841	Q9NWM8
Q12824	Q9NRR5
Q6UXL0	Q9P0W0
Q16828	Q9UDV6
P35968	P48736
P61254	P62917
P38405	Q8NGL7
Q00005	Q15717
O43313	Q13535
P10599	P27695
2310	P50591
Q9HAW0	Q9NVI1
Q14164	Q9BRV8
P10301	Q13972
P02787	P17931
P40337	Q9Y5M8
P38405	Q6IFG1
O14602	O15372
O14718	P36897
O14641	P54259
P19174	Q15139
P63104	Q86U42
O60603	P49368
P04424	Q9H1D9
Q9H213	Q9NPI1
P42345	Q9UMX0
P35609	Q8IYT8
P60484	Q05397
P61077	Q13489
O95271	Q9NRI5
P06756	Q13797
P10721	Q9ULZ2
P04083	P21980
P23560	Q16620
Q07955	Q86U42
P49748	Q14197
Q15788	Q9Y6K9
P55157	Q14008
P63010	Q9HCE7
P08253	P63096
P50150	P51828
P52198	Q14CB8
P35268	P50914
P04637	P28360
P00533	P05230
P01241	Q9Y3D7
P01889	P30084
Q5JR59	Q9H4K1
O95999	Q14289
P25054	P35527
P01225	P29274
P01106	P33076
P20827	P20936
Q02080	Q12968
P51654	P56703
Q8N8N0	Q96B02
P04222	P49591
P63092	Q9P2W3
P25054	Q16787
P43360	Q6NXE6
P17612	Q6IN85
P01871	P35527
P24821	Q13797
O75390	P01889
P13196	Q9H7E9
P22301	Q13651
P56556	Q86Y39
P24394	Q05513
P13010	Q10586
P07900	Q9Y572
O15264	P52564
O95816	Q8N163
P10767	Q07890
P27986	Q15078
P36873	Q9UKF6
O00459	Q15303
P29992	P30411
P26010	P49023
O75909	Q9BQ66
P61586	Q12802
Q9NRH3	Q9NY65
P08581	P46109
O60925	Q9H9A7
P10720	P51681
P08138	Q15389
O75038	P00533
P18848	P62136
Q15427	Q9H2G2
P01730	P06239
Q13387	Q14194
P08579	Q13573
O43707	Q13797
P49760	P61981
P27986	P42345
B1A4H9	P48357
O15264	P19838
Q13432	Q14061
O60603	Q13200
O60674	P01236
P31947	Q86VP3
P27658	Q9BQ66
P60660	Q01844
Q07021	Q14103
Q07812	Q8IVG9
P30154	Q16537
P85037	Q92560
P27635	Q9Y3U8
P13236	P49682
P26368	Q96LR2
Q14686	Q9NWQ8
P49918	P78396
O00291	P53680
O00468	Q14118
A6ZKI3	P55157
P22612	Q9UD71
Q9UI95	Q9UJX5
O60285	P05109
Q13315	Q6UXV1
O95163	Q9NX18
P62195	Q14457
P18146	P67775
P30519	Q6QNY1
P19525	P52630
Q13485	Q8IXH7
Q99750	Q9NUU7
O60262	P47898
P61421	Q96GM5
Q07869	Q96A54
P00519	Q9Y5X2
P42574	P78527
P21860	Q00987
P08908	Q9UBU3
P54259	Q3KQU3
O75886	Q12965
Q13554	Q9BXT2
Q15459	Q99459
P0CG47	P52735
P16885	P42680
P68363	Q96RT8
P46778	P62993
P32243	Q9Y261
P07148	Q07869
Q7Z6G3	Q93009
Q05513	Q07021
P48736	Q13114
O75116	Q13315
P07858	P78556
A7KAX9	Q13588
P61587	Q9Y3M8
P01834	P02647
O15198	Q9UBL3
O00505	P38432
Q5VVX9	Q8WU17
P27986	P62873
P04264	Q92844
O94868	Q96QZ7
O75554	Q00839
O95166	Q16445
P38405	Q8NGB9
P25445	Q15628
P27986	Q9NQ76
O60437	Q9P2S5
P06703	Q00987
O96013	Q9HBH0
O14639	Q13137
P04406	Q99759
O95206	Q9NRR5
P35813	Q9BS40
Q08AD1	Q15843
O00443	P00533
P05387	P36578
P00533	Q9UJM3
Q96CW5	Q9NRH3
O75578	P12109
P19525	Q9UL40
P10276	Q8N2W9
P39019	P62241
O43187	P51617
P04271	P23297
P17612	P54284
P15692	P22607
Q13164	Q15349
P16104	P62807
Q13257	Q9UJX2
P04637	Q15831
P62879	Q16539
P21673	Q96F10
O14939	Q9UET6
Q06732	Q9UKY1
O43586	Q9Y265
P27361	Q03135
P06756	Q9Y490
P62805	P62993
P62191	Q9Y5K5
P42574	Q07817
P62857	P62979
Q02156	Q9NSI5
Q15038	Q86YR5
Q15287	Q6P1X5
P08138	P46108
P42771	Q9UER7
O00311	P33993
P62910	P62913
P03372	P38398
Q9Y230	Q9Y4K3
O15111	Q969T4
O15379	Q6FI13
P61077	Q96EQ8
P55210	Q96CA5
P0CAP1	P63167
P20020	P22694
P35268	P39023
P09619	Q6S5L8
P02751	P31431
P10721	Q05209
O75400	Q5T4S7
P63165	Q7Z3J3
Q9BWF3	Q9NW64
P09874	P62805
Q14005	Q99712
442918	Q9NRM7
O60503	P27482
Q8N5Z5	Q9UGJ1
O14744	Q9Y5B0
P01034	P07858
P01137	P22897
O15379	Q9H8S9
O60861	Q7L576
P04183	P15880
O43242	O75365
P25098	P51686
P68032	Q969Q1
P62837	Q9HCM9
Q01201	Q03164
P29372	P51149
Q15714	Q9Y241
P05412	Q14457
Q96HF1	Q9UP38
P24534	Q05639
P53350	Q9H8V3
P78552	Q9NPH9
P18848	Q13557
O75832	P62333
P14618	P16104
O15392	P42574
O14802	Q9Y250
407006	P01100
O14920	Q9Y243
Q07890	Q13546
P14859	Q14653
P05106	P11047
Q15459	Q9NRG4
P62993	Q06124
O60739	P23526
P62888	Q9UNX3
